account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,last_observed_month_revenue,segment_company_share_pct
Healthy revenue account,ALL,business,initial_plan,261,43287.29323136207139227819,137144.93900377910356170436,43287.29323136207139227819,74.57
Recovered / monitor,ALL,business,initial_plan,1,24.39047084821917117000,39.26309749698623749000,24.39047084821917117000,0.29
At-risk,ALL,business,initial_plan,35,0.00000000000000000000,11576.99321349319264319520,3363.07798615780303466550,10.0
Churned proxy,ALL,business,initial_plan,51,0.00000000000000000000,10639.32975269808088474888,7478.26096236997051372680,14.57
Never monetized,ALL,business,initial_plan,2,0.00000000000000000000,,,0.57
Healthy revenue account,ALL,free,initial_plan,6455,138246.35207397121906428158,488408.11270378471113823733,138246.35207397121906428158,90.51
Recovered / monitor,ALL,free,initial_plan,70,393.32345415616339591460,2956.21099405585009564977,393.32345415616339591460,0.98
At-risk,ALL,free,initial_plan,354,0.00000000000000000000,10665.56650635636969070400,2969.51680887890005817347,4.96
Churned proxy,ALL,free,initial_plan,228,0.00000000000000000000,9248.25936523060619500091,4155.18336873046751144138,3.2
Never monetized,ALL,free,initial_plan,25,0.00000000000000000000,,,0.35
Healthy revenue account,ALL,plus,initial_plan,2001,167903.28866606373363741061,602244.45689696424805650861,167903.28866606373363741061,87.8
Recovered / monitor,ALL,plus,initial_plan,26,908.04877437534164030958,4215.39176994949660112524,908.04877437534164030958,1.14
At-risk,ALL,plus,initial_plan,120,0.00000000000000000000,15529.99036199582239934008,5761.76374149313480219482,5.27
Churned proxy,ALL,plus,initial_plan,124,0.00000000000000000000,12201.14871792085613866949,4927.83029402761427117642,5.44
Never monetized,ALL,plus,initial_plan,8,0.00000000000000000000,,,0.35
Healthy revenue account,ALL,start,initial_plan,7266,286537.77572664810822317184,1010235.02699901354279399165,286537.77572664810822317184,92.37
Recovered / monitor,ALL,start,initial_plan,50,777.12918635617686268591,2987.88197137651783167816,777.12918635617686268591,0.64
At-risk,ALL,start,initial_plan,301,0.00000000000000000000,21596.12401050511838622153,5877.30298637313903155968,3.83
Churned proxy,ALL,start,initial_plan,225,0.00000000000000000000,11142.87424496221811409342,3560.95321877588327091095,2.86
Never monetized,ALL,start,initial_plan,24,0.00000000000000000000,,,0.31
Healthy revenue account,ALL,ALL,overall,15983,635974.70969804513231714222,2238032.53560354160555044195,635974.70969804513231714222,90.67
Recovered / monitor,ALL,ALL,overall,147,2102.89188573590107008009,10198.74783287885076594317,2102.89188573590107008009,0.83
At-risk,ALL,ALL,overall,810,0.00000000000000000000,59368.67409235050311946081,17971.66152290297692659347,4.6
Churned proxy,ALL,ALL,overall,628,0.00000000000000000000,43231.61208081176133251270,20122.22784390393556725555,3.56
Never monetized,ALL,ALL,overall,59,0.00000000000000000000,,,0.33
Healthy revenue account,Automobile_Trade_Repair,ALL,persona,655,32313.68312818699557444151,120573.25348591128012577340,32313.68312818699557444151,88.63
Recovered / monitor,Automobile_Trade_Repair,ALL,persona,2,50.03139189041095889910,240.98739911981735866916,50.03139189041095889910,0.27
At-risk,Automobile_Trade_Repair,ALL,persona,45,0.00000000000000000000,2508.56827704378190511789,1147.07819209698271376519,6.09
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,0.00000000000000000000,5130.86487783252986680376,966.41019339767343282770,4.6
Never monetized,Automobile_Trade_Repair,ALL,persona,3,0.00000000000000000000,,,0.41
Healthy revenue account,BTP,ALL,persona,2875,153167.12134590265244338656,571515.99888269727912636083,153167.12134590265244338656,91.53
Recovered / monitor,BTP,ALL,persona,20,337.35353039013642453280,1619.40109566199482177290,337.35353039013642453280,0.64
At-risk,BTP,ALL,persona,129,0.00000000000000000000,15459.68032455356956155109,4010.33371913916930265074,4.11
Churned proxy,BTP,ALL,persona,109,0.00000000000000000000,8979.06255488742313603011,3381.64285241006761046025,3.47
Never monetized,BTP,ALL,persona,8,0.00000000000000000000,,,0.25
Healthy revenue account,Bankers_Insurance,ALL,persona,253,11419.72196577342861456068,40117.33756450833628826860,11419.72196577342861456068,91.67
Recovered / monitor,Bankers_Insurance,ALL,persona,4,12.04796459178082287000,111.15771701780679388700,12.04796459178082287000,1.45
At-risk,Bankers_Insurance,ALL,persona,7,0.00000000000000000000,106.25968944931504503420,39.14624884657532604820,2.54
Churned proxy,Bankers_Insurance,ALL,persona,10,0.00000000000000000000,611.09223620066593173210,314.97323319111223944167,3.62
Never monetized,Bankers_Insurance,ALL,persona,2,0.00000000000000000000,,,0.72
Healthy revenue account,Bikers_Drivers,ALL,persona,867,30648.46278690929877753439,101792.68939991342654964302,30648.46278690929877753439,82.65
Recovered / monitor,Bikers_Drivers,ALL,persona,14,233.72036824054732127548,1190.41540904099120161161,233.72036824054732127548,1.33
At-risk,Bikers_Drivers,ALL,persona,73,0.00000000000000000000,5939.21017061756485506305,1479.31152406301161038288,6.96
Churned proxy,Bikers_Drivers,ALL,persona,89,0.00000000000000000000,6936.75583114997612651460,3180.38771060274756510250,8.48
Never monetized,Bikers_Drivers,ALL,persona,6,0.00000000000000000000,,,0.57
Healthy revenue account,Cleaning_CallCenters,ALL,persona,89,2376.37556231999511733935,9494.80437520760422510150,2376.37556231999511733935,93.68
At-risk,Cleaning_CallCenters,ALL,persona,4,0.00000000000000000000,410.29734089530980848505,50.23136946465734107865,4.21
