activation_month,revenue_month,months_since_activation,revenue_companies,total_revenue,revenue_per_revenue_company
2025-10-01,2025-10-01,0,1193,35604.88,29.84
2025-10-01,2025-11-01,1,1153,49548.97,42.97
2025-10-01,2025-12-01,2,1101,50324.37,45.71
2025-10-01,2026-01-01,3,1067,51207.27,47.99
2025-10-01,2026-02-01,4,1039,54565.29,52.52
2025-10-01,2026-03-01,5,1021,53645.82,52.54
2025-10-01,2026-04-01,6,1000,50772.97,50.77
2025-10-01,2026-05-01,7,972,46667.12,48.01
2025-11-01,2025-11-01,0,2425,74311.80,30.64
2025-11-01,2025-12-01,1,2354,98639.31,41.9
2025-11-01,2026-01-01,2,2259,106194.84,47.01
2025-11-01,2026-02-01,3,2198,116643.21,53.07
2025-11-01,2026-03-01,4,2146,116241.13,54.17
2025-11-01,2026-04-01,5,2109,107354.26,50.9
2025-11-01,2026-05-01,6,2065,100220.21,48.53
2025-12-01,2025-12-01,0,2694,74133.71,27.52
2025-12-01,2026-01-01,1,2583,98227.08,38.03
2025-12-01,2026-02-01,2,2502,113938.59,45.54
2025-12-01,2026-03-01,3,2441,108124.86,44.3
2025-12-01,2026-04-01,4,2393,107695.34,45.0
2025-12-01,2026-05-01,5,2353,105979.01,45.04
2026-01-01,2026-01-01,0,2737,63341.52,23.14
2026-01-01,2026-02-01,1,2638,103090.04,39.08
2026-01-01,2026-03-01,2,2517,101788.79,40.44
2026-01-01,2026-04-01,3,2462,100708.69,40.91
2026-01-01,2026-05-01,4,2399,95131.00,39.65
2026-02-01,2026-02-01,0,3218,77885.85,24.2
2026-02-01,2026-03-01,1,3071,111558.49,36.33
2026-02-01,2026-04-01,2,2987,120587.63,40.37
2026-02-01,2026-05-01,3,2913,113873.12,39.09
2026-03-01,2026-03-01,0,2427,53738.14,22.14
2026-03-01,2026-04-01,1,2324,81896.36,35.24
2026-03-01,2026-05-01,2,2251,81312.27,36.12
2026-04-01,2026-04-01,0,2855,69062.34,24.19
2026-04-01,2026-05-01,1,2748,88323.11,32.14
2026-05-01,2026-05-01,0,1732,37080.46,21.41
