activation_month,observation_month,months_since_activation,prior_revenue_lifecycle_state,revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,transition_rate_from_prior_state_pct
2025-10-01,2025-11-01,1,Active,Active,ALL,business,initial_plan,25,89.29
2025-10-01,2025-11-01,1,Active,At-risk,ALL,business,initial_plan,3,10.71
2025-10-01,2025-11-01,1,Active,Active,ALL,free,initial_plan,391,95.83
2025-10-01,2025-11-01,1,Active,At-risk,ALL,free,initial_plan,17,4.17
2025-10-01,2025-11-01,1,Never monetized,Never monetized,ALL,free,initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,ALL,plus,initial_plan,199,94.76
2025-10-01,2025-11-01,1,Active,At-risk,ALL,plus,initial_plan,11,5.24
2025-10-01,2025-11-01,1,Never monetized,Active,ALL,plus,initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,ALL,start,initial_plan,537,98.17
2025-10-01,2025-11-01,1,Active,At-risk,ALL,start,initial_plan,10,1.83
2025-10-01,2025-11-01,1,Never monetized,Never monetized,ALL,start,initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,ALL,ALL,overall,1152,96.56
2025-10-01,2025-11-01,1,Active,At-risk,ALL,ALL,overall,41,3.44
2025-10-01,2025-11-01,1,Never monetized,Active,ALL,ALL,overall,1,33.33
2025-10-01,2025-11-01,1,Never monetized,Never monetized,ALL,ALL,overall,2,66.67
2025-10-01,2025-11-01,1,Active,Active,Automobile_Trade_Repair,ALL,persona,53,100.0
2025-10-01,2025-11-01,1,Active,Active,BTP,ALL,persona,228,95.4
2025-10-01,2025-11-01,1,Active,At-risk,BTP,ALL,persona,11,4.6
2025-10-01,2025-11-01,1,Never monetized,Active,BTP,ALL,persona,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Bankers_Insurance,ALL,persona,14,93.33
2025-10-01,2025-11-01,1,Active,At-risk,Bankers_Insurance,ALL,persona,1,6.67
2025-10-01,2025-11-01,1,Active,Active,Bikers_Drivers,ALL,persona,92,92.93
2025-10-01,2025-11-01,1,Active,At-risk,Bikers_Drivers,ALL,persona,7,7.07
2025-10-01,2025-11-01,1,Never monetized,Never monetized,Bikers_Drivers,ALL,persona,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Cleaning_CallCenters,ALL,persona,6,100.0
2025-10-01,2025-11-01,1,Active,Active,Consultant,ALL,persona,197,97.52
2025-10-01,2025-11-01,1,Active,At-risk,Consultant,ALL,persona,5,2.48
2025-10-01,2025-11-01,1,Active,Active,Developer_IT,ALL,persona,84,93.33
2025-10-01,2025-11-01,1,Active,At-risk,Developer_IT,ALL,persona,6,6.67
2025-10-01,2025-11-01,1,Never monetized,Never monetized,Developer_IT,ALL,persona,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Media_Publishing,ALL,persona,32,94.12
2025-10-01,2025-11-01,1,Active,At-risk,Media_Publishing,ALL,persona,2,5.88
2025-10-01,2025-11-01,1,Active,Active,Medical_Professionals,ALL,persona,14,100.0
2025-10-01,2025-11-01,1,Active,Active,Others,ALL,persona,185,96.86
2025-10-01,2025-11-01,1,Active,At-risk,Others,ALL,persona,6,3.14
2025-10-01,2025-11-01,1,Active,Active,Professeur,ALL,persona,34,100.0
2025-10-01,2025-11-01,1,Active,Active,Repair,ALL,persona,8,100.0
2025-10-01,2025-11-01,1,Active,Active,Restauration,ALL,persona,27,96.43
2025-10-01,2025-11-01,1,Active,At-risk,Restauration,ALL,persona,1,3.57
2025-10-01,2025-11-01,1,Active,Active,Retail,ALL,persona,155,98.73
2025-10-01,2025-11-01,1,Active,At-risk,Retail,ALL,persona,2,1.27
2025-10-01,2025-11-01,1,Active,Active,Wholesale,ALL,persona,23,100.0
2025-10-01,2025-11-01,1,Active,Active,Automobile_Trade_Repair,business,persona_x_initial_plan,5,100.0
2025-10-01,2025-11-01,1,Active,Active,Automobile_Trade_Repair,free,persona_x_initial_plan,15,100.0
2025-10-01,2025-11-01,1,Active,Active,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,100.0
2025-10-01,2025-11-01,1,Active,Active,Automobile_Trade_Repair,start,persona_x_initial_plan,22,100.0
2025-10-01,2025-11-01,1,Active,Active,BTP,business,persona_x_initial_plan,7,87.5
2025-10-01,2025-11-01,1,Active,At-risk,BTP,business,persona_x_initial_plan,1,12.5
2025-10-01,2025-11-01,1,Active,Active,BTP,free,persona_x_initial_plan,69,94.52
2025-10-01,2025-11-01,1,Active,At-risk,BTP,free,persona_x_initial_plan,4,5.48
2025-10-01,2025-11-01,1,Active,Active,BTP,plus,persona_x_initial_plan,63,94.03
2025-10-01,2025-11-01,1,Active,At-risk,BTP,plus,persona_x_initial_plan,4,5.97
2025-10-01,2025-11-01,1,Never monetized,Active,BTP,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,BTP,start,persona_x_initial_plan,89,97.8
2025-10-01,2025-11-01,1,Active,At-risk,BTP,start,persona_x_initial_plan,2,2.2
2025-10-01,2025-11-01,1,Active,Active,Bankers_Insurance,free,persona_x_initial_plan,7,87.5
2025-10-01,2025-11-01,1,Active,At-risk,Bankers_Insurance,free,persona_x_initial_plan,1,12.5
2025-10-01,2025-11-01,1,Active,Active,Bankers_Insurance,start,persona_x_initial_plan,7,100.0
2025-10-01,2025-11-01,1,Active,Active,Bikers_Drivers,business,persona_x_initial_plan,5,100.0
2025-10-01,2025-11-01,1,Active,Active,Bikers_Drivers,free,persona_x_initial_plan,33,94.29
2025-10-01,2025-11-01,1,Active,At-risk,Bikers_Drivers,free,persona_x_initial_plan,2,5.71
2025-10-01,2025-11-01,1,Never monetized,Never monetized,Bikers_Drivers,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Bikers_Drivers,plus,persona_x_initial_plan,23,88.46
2025-10-01,2025-11-01,1,Active,At-risk,Bikers_Drivers,plus,persona_x_initial_plan,3,11.54
2025-10-01,2025-11-01,1,Active,Active,Bikers_Drivers,start,persona_x_initial_plan,31,93.94
2025-10-01,2025-11-01,1,Active,At-risk,Bikers_Drivers,start,persona_x_initial_plan,2,6.06
2025-10-01,2025-11-01,1,Active,Active,Cleaning_CallCenters,free,persona_x_initial_plan,4,100.0
