signup_month,persona,initial_subscription_group,segment_level,eligible_signups,validated_within_30d,activated_within_30d,pre_activation_closed_within_30d,signup_to_validation_dropout_pct,validation_to_activation_dropout_pct,total_signup_to_activation_dropout_pct,pre_activation_closure_rate_pct
2025-10-01,ALL,business,initial_plan,199,81,52,15,59.3,35.8,73.9,7.5
2025-10-01,ALL,free,initial_plan,2170,1329,714,115,38.8,46.3,67.1,5.3
2025-10-01,ALL,plus,initial_plan,886,476,317,36,46.3,33.4,64.2,4.1
2025-10-01,ALL,start,initial_plan,2303,1407,962,120,38.9,31.6,58.2,5.2
2025-10-01,ALL,ALL,overall,5558,3293,2045,286,40.8,37.9,63.2,5.1
2025-10-01,Automobile_Trade_Repair,ALL,persona,243,135,84,9,44.4,37.8,65.4,3.7
2025-10-01,BTP,ALL,persona,1110,605,397,30,45.5,34.4,64.2,2.7
2025-10-01,Bankers_Insurance,ALL,persona,51,31,29,3,39.2,6.5,43.1,5.9
2025-10-01,Bikers_Drivers,ALL,persona,405,272,150,12,32.8,44.9,63.0,3.0
2025-10-01,Cleaning_CallCenters,ALL,persona,27,18,11,0,33.3,38.9,59.3,0.0
2025-10-01,Consultant,ALL,persona,814,557,367,14,31.6,34.1,54.9,1.7
2025-10-01,Developer_IT,ALL,persona,399,291,181,9,27.1,37.8,54.6,2.3
2025-10-01,Media_Publishing,ALL,persona,143,106,64,1,25.9,39.6,55.2,0.7
2025-10-01,Medical_Professionals,ALL,persona,56,36,26,3,35.7,27.8,53.6,5.4
2025-10-01,Others,ALL,persona,1120,549,305,171,51.0,44.4,72.8,15.3
2025-10-01,Professeur,ALL,persona,132,84,57,4,36.4,32.1,56.8,3.0
2025-10-01,Repair,ALL,persona,40,21,12,2,47.5,42.9,70.0,5.0
2025-10-01,Repair_Installation,ALL,persona,11,7,2,0,36.4,71.4,81.8,0.0
2025-10-01,Restauration,ALL,persona,154,85,49,5,44.8,42.4,68.2,3.2
2025-10-01,Retail,ALL,persona,674,422,268,15,37.4,36.5,60.2,2.2
2025-10-01,Wholesale,ALL,persona,179,74,43,8,58.7,41.9,76.0,4.5
2025-10-01,Automobile_Trade_Repair,business,persona_x_initial_plan,18,10,7,1,44.4,30.0,61.1,5.6
2025-10-01,Automobile_Trade_Repair,free,persona_x_initial_plan,67,38,23,1,43.3,39.5,65.7,1.5
2025-10-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,50,31,21,2,38.0,32.3,58.0,4.0
2025-10-01,Automobile_Trade_Repair,start,persona_x_initial_plan,108,56,33,5,48.1,41.1,69.4,4.6
2025-10-01,BTP,business,persona_x_initial_plan,65,24,16,5,63.1,33.3,75.4,7.7
2025-10-01,BTP,free,persona_x_initial_plan,362,214,117,13,40.9,45.3,67.7,3.6
2025-10-01,BTP,plus,persona_x_initial_plan,254,130,96,4,48.8,26.2,62.2,1.6
2025-10-01,BTP,start,persona_x_initial_plan,429,237,168,8,44.8,29.1,60.8,1.9
2025-10-01,Bankers_Insurance,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-10-01,Bankers_Insurance,free,persona_x_initial_plan,27,18,16,1,33.3,11.1,40.7,3.7
2025-10-01,Bankers_Insurance,start,persona_x_initial_plan,23,13,13,2,43.5,0.0,43.5,8.7
2025-10-01,Bikers_Drivers,business,persona_x_initial_plan,18,11,9,2,38.9,18.2,50.0,11.1
2025-10-01,Bikers_Drivers,free,persona_x_initial_plan,162,115,51,7,29.0,55.7,68.5,4.3
2025-10-01,Bikers_Drivers,plus,persona_x_initial_plan,79,56,38,0,29.1,32.1,51.9,0.0
2025-10-01,Bikers_Drivers,start,persona_x_initial_plan,146,90,52,3,38.4,42.2,64.4,2.1
2025-10-01,Cleaning_CallCenters,business,persona_x_initial_plan,1,1,1,0,0.0,0.0,0.0,0.0
2025-10-01,Cleaning_CallCenters,free,persona_x_initial_plan,8,6,5,0,25.0,16.7,37.5,0.0
2025-10-01,Cleaning_CallCenters,plus,persona_x_initial_plan,5,2,0,0,60.0,100.0,100.0,0.0
2025-10-01,Cleaning_CallCenters,start,persona_x_initial_plan,13,9,5,0,30.8,44.4,61.5,0.0
2025-10-01,Consultant,business,persona_x_initial_plan,13,6,3,0,53.8,50.0,76.9,0.0
2025-10-01,Consultant,free,persona_x_initial_plan,396,276,155,3,30.3,43.8,60.9,0.8
2025-10-01,Consultant,plus,persona_x_initial_plan,69,30,25,2,56.5,16.7,63.8,2.9
2025-10-01,Consultant,start,persona_x_initial_plan,336,245,184,9,27.1,24.9,45.2,2.7
2025-10-01,Developer_IT,business,persona_x_initial_plan,11,6,2,0,45.5,66.7,81.8,0.0
2025-10-01,Developer_IT,free,persona_x_initial_plan,176,135,72,5,23.3,46.7,59.1,2.8
2025-10-01,Developer_IT,plus,persona_x_initial_plan,40,21,17,0,47.5,19.0,57.5,0.0
2025-10-01,Developer_IT,start,persona_x_initial_plan,172,129,90,4,25.0,30.2,47.7,2.3
2025-10-01,Media_Publishing,business,persona_x_initial_plan,2,1,0,1,50.0,100.0,100.0,50.0
2025-10-01,Media_Publishing,free,persona_x_initial_plan,69,54,29,0,21.7,46.3,58.0,0.0
2025-10-01,Media_Publishing,plus,persona_x_initial_plan,10,3,1,0,70.0,66.7,90.0,0.0
2025-10-01,Media_Publishing,start,persona_x_initial_plan,62,48,34,0,22.6,29.2,45.2,0.0
2025-10-01,Medical_Professionals,business,persona_x_initial_plan,3,0,0,0,100.0,,100.0,0.0
2025-10-01,Medical_Professionals,free,persona_x_initial_plan,27,17,11,1,37.0,35.3,59.3,3.7
2025-10-01,Medical_Professionals,plus,persona_x_initial_plan,2,1,1,0,50.0,0.0,50.0,0.0
2025-10-01,Medical_Professionals,start,persona_x_initial_plan,24,18,14,2,25.0,22.2,41.7,8.3
2025-10-01,Others,business,persona_x_initial_plan,30,12,8,3,60.0,33.3,73.3,10.0
2025-10-01,Others,free,persona_x_initial_plan,421,196,100,72,53.4,49.0,76.2,17.1
2025-10-01,Others,plus,persona_x_initial_plan,199,109,49,25,45.2,55.0,75.4,12.6
2025-10-01,Others,start,persona_x_initial_plan,470,232,148,71,50.6,36.2,68.5,15.1
2025-10-01,Professeur,free,persona_x_initial_plan,63,39,25,1,38.1,35.9,60.3,1.6
2025-10-01,Professeur,plus,persona_x_initial_plan,13,2,2,0,84.6,0.0,84.6,0.0
2025-10-01,Professeur,start,persona_x_initial_plan,56,43,30,3,23.2,30.2,46.4,5.4
2025-10-01,Repair,business,persona_x_initial_plan,5,1,0,0,80.0,100.0,100.0,0.0
2025-10-01,Repair,free,persona_x_initial_plan,12,7,5,0,41.7,28.6,58.3,0.0
2025-10-01,Repair,plus,persona_x_initial_plan,5,2,1,0,60.0,50.0,80.0,0.0
2025-10-01,Repair,start,persona_x_initial_plan,18,11,6,2,38.9,45.5,66.7,11.1
2025-10-01,Repair_Installation,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-10-01,Repair_Installation,plus,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-10-01,Repair_Installation,start,persona_x_initial_plan,9,7,2,0,22.2,71.4,77.8,0.0
2025-10-01,Restauration,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-10-01,Restauration,free,persona_x_initial_plan,62,33,14,1,46.8,57.6,77.4,1.6
2025-10-01,Restauration,plus,persona_x_initial_plan,27,18,15,1,33.3,16.7,44.4,3.7
2025-10-01,Restauration,start,persona_x_initial_plan,64,34,20,3,46.9,41.2,68.8,4.7
2025-10-01,Retail,business,persona_x_initial_plan,20,4,3,2,80.0,25.0,85.0,10.0
2025-10-01,Retail,free,persona_x_initial_plan,259,156,78,6,39.8,50.0,69.9,2.3
2025-10-01,Retail,plus,persona_x_initial_plan,99,63,44,0,36.4,30.2,55.6,0.0
2025-10-01,Retail,start,persona_x_initial_plan,296,199,143,7,32.8,28.1,51.7,2.4
2025-10-01,Wholesale,business,persona_x_initial_plan,10,5,3,1,50.0,40.0,70.0,10.0
2025-10-01,Wholesale,free,persona_x_initial_plan,59,25,13,4,57.6,48.0,78.0,6.8
2025-10-01,Wholesale,plus,persona_x_initial_plan,33,8,7,2,75.8,12.5,78.8,6.1
2025-10-01,Wholesale,start,persona_x_initial_plan,77,36,20,1,53.2,44.4,74.0,1.3
2025-11-01,ALL,business,initial_plan,169,56,37,4,66.9,33.9,78.1,2.4
2025-11-01,ALL,free,initial_plan,2357,1484,807,124,37.0,45.6,65.8,5.3
2025-11-01,ALL,plus,initial_plan,786,457,310,32,41.9,32.2,60.6,4.1
2025-11-01,ALL,start,initial_plan,2282,1300,875,121,43.0,32.7,61.7,5.3
2025-11-01,ALL,ALL,overall,5594,3297,2029,281,41.1,38.5,63.7,5.0
2025-11-01,Automobile_Trade_Repair,ALL,persona,228,131,86,5,42.5,34.4,62.3,2.2
2025-11-01,BTP,ALL,persona,1090,558,353,32,48.8,36.7,67.6,2.9
2025-11-01,Bankers_Insurance,ALL,persona,63,31,26,2,50.8,16.1,58.7,3.2
2025-11-01,Bikers_Drivers,ALL,persona,340,239,133,12,29.7,44.4,60.9,3.5
2025-11-01,Cleaning_CallCenters,ALL,persona,33,22,16,0,33.3,27.3,51.5,0.0
2025-11-01,Consultant,ALL,persona,808,564,354,18,30.2,37.2,56.2,2.2
2025-11-01,Developer_IT,ALL,persona,396,283,171,16,28.5,39.6,56.8,4.0
2025-11-01,Media_Publishing,ALL,persona,168,130,81,5,22.6,37.7,51.8,3.0
2025-11-01,Medical_Professionals,ALL,persona,39,29,20,3,25.6,31.0,48.7,7.7
2025-11-01,Others,ALL,persona,1158,557,319,165,51.9,42.7,72.5,14.2
2025-11-01,Professeur,ALL,persona,164,110,65,4,32.9,40.9,60.4,2.4
2025-11-01,Repair,ALL,persona,42,28,14,2,33.3,50.0,66.7,4.8
2025-11-01,Repair_Installation,ALL,persona,15,7,6,0,53.3,14.3,60.0,0.0
2025-11-01,Restauration,ALL,persona,163,92,56,1,43.6,39.1,65.6,0.6
2025-11-01,Retail,ALL,persona,727,433,274,13,40.4,36.7,62.3,1.8
2025-11-01,Wholesale,ALL,persona,160,83,55,3,48.1,33.7,65.6,1.9
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,9,5,4,0,44.4,20.0,55.6,0.0
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,77,44,25,1,42.9,43.2,67.5,1.3
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,44,27,17,2,38.6,37.0,61.4,4.5
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,98,55,40,2,43.9,27.3,59.2,2.0
2025-11-01,BTP,business,persona_x_initial_plan,58,10,6,1,82.8,40.0,89.7,1.7
2025-11-01,BTP,free,persona_x_initial_plan,379,224,133,12,40.9,40.6,64.9,3.2
2025-11-01,BTP,plus,persona_x_initial_plan,222,106,80,3,52.3,24.5,64.0,1.4
2025-11-01,BTP,start,persona_x_initial_plan,431,218,134,16,49.4,38.5,68.9,3.7
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,34,18,17,0,47.1,5.6,50.0,0.0
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,5,4,0,1,20.0,100.0,100.0,20.0
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,24,9,9,1,62.5,0.0,62.5,4.2
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,11,6,3,0,45.5,50.0,72.7,0.0
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,150,113,55,4,24.7,51.3,63.3,2.7
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,53,40,25,3,24.5,37.5,52.8,5.7
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,126,80,50,5,36.5,37.5,60.3,4.0
2025-11-01,Cleaning_CallCenters,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-11-01,Cleaning_CallCenters,free,persona_x_initial_plan,12,9,6,0,25.0,33.3,50.0,0.0
2025-11-01,Cleaning_CallCenters,plus,persona_x_initial_plan,9,6,6,0,33.3,0.0,33.3,0.0
2025-11-01,Cleaning_CallCenters,start,persona_x_initial_plan,11,7,4,0,36.4,42.9,63.6,0.0
2025-11-01,Consultant,business,persona_x_initial_plan,15,8,5,0,46.7,37.5,66.7,0.0
2025-11-01,Consultant,free,persona_x_initial_plan,386,272,134,8,29.5,50.7,65.3,2.1
2025-11-01,Consultant,plus,persona_x_initial_plan,62,39,33,2,37.1,15.4,46.8,3.2
2025-11-01,Consultant,start,persona_x_initial_plan,345,245,182,8,29.0,25.7,47.2,2.3
2025-11-01,Developer_IT,business,persona_x_initial_plan,7,1,0,0,85.7,100.0,100.0,0.0
2025-11-01,Developer_IT,free,persona_x_initial_plan,190,148,76,8,22.1,48.6,60.0,4.2
2025-11-01,Developer_IT,plus,persona_x_initial_plan,33,20,12,4,39.4,40.0,63.6,12.1
2025-11-01,Developer_IT,start,persona_x_initial_plan,166,114,83,4,31.3,27.2,50.0,2.4
2025-11-01,Media_Publishing,business,persona_x_initial_plan,4,2,2,0,50.0,0.0,50.0,0.0
2025-11-01,Media_Publishing,free,persona_x_initial_plan,92,71,42,5,22.8,40.8,54.3,5.4
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,13,10,9,0,23.1,10.0,30.8,0.0
2025-11-01,Media_Publishing,start,persona_x_initial_plan,59,47,28,0,20.3,40.4,52.5,0.0
2025-11-01,Medical_Professionals,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,12,11,8,2,8.3,27.3,33.3,16.7
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,1,1,1,0,0.0,0.0,0.0,0.0
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,25,17,11,1,32.0,35.3,56.0,4.0
2025-11-01,Others,business,persona_x_initial_plan,28,11,9,2,60.7,18.2,67.9,7.1
2025-11-01,Others,free,persona_x_initial_plan,504,239,128,73,52.6,46.4,74.6,14.5
2025-11-01,Others,plus,persona_x_initial_plan,163,111,57,14,31.9,48.6,65.0,8.6
2025-11-01,Others,start,persona_x_initial_plan,463,196,125,76,57.7,36.2,73.0,16.4
2025-11-01,Professeur,business,persona_x_initial_plan,3,1,1,0,66.7,0.0,66.7,0.0
2025-11-01,Professeur,free,persona_x_initial_plan,77,53,29,3,31.2,45.3,62.3,3.9
2025-11-01,Professeur,plus,persona_x_initial_plan,16,8,8,0,50.0,0.0,50.0,0.0
2025-11-01,Professeur,start,persona_x_initial_plan,68,48,27,1,29.4,43.8,60.3,1.5
2025-11-01,Repair,business,persona_x_initial_plan,1,0,0,0,100.0,,100.0,0.0
2025-11-01,Repair,free,persona_x_initial_plan,19,12,6,1,36.8,50.0,68.4,5.3
2025-11-01,Repair,plus,persona_x_initial_plan,4,2,1,1,50.0,50.0,75.0,25.0
2025-11-01,Repair,start,persona_x_initial_plan,18,14,7,0,22.2,50.0,61.1,0.0
2025-11-01,Repair_Installation,free,persona_x_initial_plan,7,4,3,0,42.9,25.0,57.1,0.0
2025-11-01,Repair_Installation,plus,persona_x_initial_plan,4,1,1,0,75.0,0.0,75.0,0.0
2025-11-01,Repair_Installation,start,persona_x_initial_plan,4,2,2,0,50.0,0.0,50.0,0.0
2025-11-01,Restauration,business,persona_x_initial_plan,5,1,0,0,80.0,100.0,100.0,0.0
2025-11-01,Restauration,free,persona_x_initial_plan,59,38,22,0,35.6,42.1,62.7,0.0
2025-11-01,Restauration,plus,persona_x_initial_plan,25,12,8,0,52.0,33.3,68.0,0.0
2025-11-01,Restauration,start,persona_x_initial_plan,74,41,26,1,44.6,36.6,64.9,1.4
2025-11-01,Retail,business,persona_x_initial_plan,18,6,4,1,66.7,33.3,77.8,5.6
2025-11-01,Retail,free,persona_x_initial_plan,299,199,111,6,33.4,44.2,62.9,2.0
2025-11-01,Retail,plus,persona_x_initial_plan,92,50,33,1,45.7,34.0,64.1,1.1
2025-11-01,Retail,start,persona_x_initial_plan,318,178,126,5,44.0,29.2,60.4,1.6
2025-11-01,Wholesale,business,persona_x_initial_plan,8,5,3,0,37.5,40.0,62.5,0.0
2025-11-01,Wholesale,free,persona_x_initial_plan,60,29,12,1,51.7,58.6,80.0,1.7
2025-11-01,Wholesale,plus,persona_x_initial_plan,40,20,19,1,50.0,5.0,52.5,2.5
2025-11-01,Wholesale,start,persona_x_initial_plan,52,29,21,1,44.2,27.6,59.6,1.9
2025-12-01,ALL,business,initial_plan,175,69,53,9,60.6,23.2,69.7,5.1
2025-12-01,ALL,free,initial_plan,2342,1483,790,121,36.7,46.7,66.3,5.2
2025-12-01,ALL,plus,initial_plan,742,417,269,31,43.8,35.5,63.7,4.2
2025-12-01,ALL,start,initial_plan,2166,1266,843,133,41.6,33.4,61.1,6.1
2025-12-01,ALL,ALL,overall,5425,3235,1955,294,40.4,39.6,64.0,5.4
2025-12-01,Automobile_Trade_Repair,ALL,persona,247,154,90,6,37.7,41.6,63.6,2.4
2025-12-01,BTP,ALL,persona,975,541,342,38,44.5,36.8,64.9,3.9
2025-12-01,Bankers_Insurance,ALL,persona,62,35,28,3,43.5,20.0,54.8,4.8
2025-12-01,Bikers_Drivers,ALL,persona,354,229,106,6,35.3,53.7,70.1,1.7
2025-12-01,Cleaning_CallCenters,ALL,persona,19,10,7,0,47.4,30.0,63.2,0.0
2025-12-01,Consultant,ALL,persona,791,545,336,17,31.1,38.3,57.5,2.1
2025-12-01,Developer_IT,ALL,persona,395,262,154,5,33.7,41.2,61.0,1.3
2025-12-01,Media_Publishing,ALL,persona,146,110,79,2,24.7,28.2,45.9,1.4
2025-12-01,Medical_Professionals,ALL,persona,49,35,19,4,28.6,45.7,61.2,8.2
2025-12-01,Others,ALL,persona,1183,572,328,180,51.6,42.7,72.3,15.2
2025-12-01,Professeur,ALL,persona,134,87,56,3,35.1,35.6,58.2,2.2
2025-12-01,Repair,ALL,persona,32,19,13,2,40.6,31.6,59.4,6.3
2025-12-01,Repair_Installation,ALL,persona,10,5,2,1,50.0,60.0,80.0,10.0
2025-12-01,Restauration,ALL,persona,145,87,51,2,40.0,41.4,64.8,1.4
2025-12-01,Retail,ALL,persona,735,483,307,24,34.3,36.4,58.2,3.3
2025-12-01,Wholesale,ALL,persona,148,61,37,1,58.8,39.3,75.0,0.7
2025-12-01,Automobile_Trade_Repair,business,persona_x_initial_plan,13,4,3,1,69.2,25.0,76.9,7.7
2025-12-01,Automobile_Trade_Repair,free,persona_x_initial_plan,71,50,23,0,29.6,54.0,67.6,0.0
2025-12-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,55,34,22,2,38.2,35.3,60.0,3.6
2025-12-01,Automobile_Trade_Repair,start,persona_x_initial_plan,108,66,42,3,38.9,36.4,61.1,2.8
2025-12-01,BTP,business,persona_x_initial_plan,49,17,16,4,65.3,5.9,67.3,8.2
2025-12-01,BTP,free,persona_x_initial_plan,356,225,125,18,36.8,44.4,64.9,5.1
2025-12-01,BTP,plus,persona_x_initial_plan,189,101,75,1,46.6,25.7,60.3,0.5
2025-12-01,BTP,start,persona_x_initial_plan,381,198,126,15,48.0,36.4,66.9,3.9
2025-12-01,Bankers_Insurance,free,persona_x_initial_plan,36,17,13,1,52.8,23.5,63.9,2.8
2025-12-01,Bankers_Insurance,plus,persona_x_initial_plan,6,5,4,1,16.7,20.0,33.3,16.7
2025-12-01,Bankers_Insurance,start,persona_x_initial_plan,20,13,11,1,35.0,15.4,45.0,5.0
2025-12-01,Bikers_Drivers,business,persona_x_initial_plan,12,7,7,1,41.7,0.0,41.7,8.3
2025-12-01,Bikers_Drivers,free,persona_x_initial_plan,144,91,34,2,36.8,62.6,76.4,1.4
2025-12-01,Bikers_Drivers,plus,persona_x_initial_plan,48,39,17,1,18.8,56.4,64.6,2.1
2025-12-01,Bikers_Drivers,start,persona_x_initial_plan,150,92,48,2,38.7,47.8,68.0,1.3
2025-12-01,Cleaning_CallCenters,free,persona_x_initial_plan,8,7,4,0,12.5,42.9,50.0,0.0
2025-12-01,Cleaning_CallCenters,plus,persona_x_initial_plan,6,2,2,0,66.7,0.0,66.7,0.0
2025-12-01,Cleaning_CallCenters,start,persona_x_initial_plan,5,1,1,0,80.0,0.0,80.0,0.0
2025-12-01,Consultant,business,persona_x_initial_plan,12,4,3,0,66.7,25.0,75.0,0.0
2025-12-01,Consultant,free,persona_x_initial_plan,427,293,152,13,31.4,48.1,64.4,3.0
2025-12-01,Consultant,plus,persona_x_initial_plan,68,42,30,0,38.2,28.6,55.9,0.0
2025-12-01,Consultant,start,persona_x_initial_plan,284,206,151,4,27.5,26.7,46.8,1.4
2025-12-01,Developer_IT,business,persona_x_initial_plan,15,2,1,1,86.7,50.0,93.3,6.7
2025-12-01,Developer_IT,free,persona_x_initial_plan,186,134,65,3,28.0,51.5,65.1,1.6
2025-12-01,Developer_IT,plus,persona_x_initial_plan,49,20,11,0,59.2,45.0,77.6,0.0
2025-12-01,Developer_IT,start,persona_x_initial_plan,145,106,77,1,26.9,27.4,46.9,0.7
2025-12-01,Media_Publishing,free,persona_x_initial_plan,71,55,36,0,22.5,34.5,49.3,0.0
2025-12-01,Media_Publishing,plus,persona_x_initial_plan,7,5,4,0,28.6,20.0,42.9,0.0
2025-12-01,Media_Publishing,start,persona_x_initial_plan,68,50,39,2,26.5,22.0,42.6,2.9
2025-12-01,Medical_Professionals,business,persona_x_initial_plan,2,1,0,0,50.0,100.0,100.0,0.0
2025-12-01,Medical_Professionals,free,persona_x_initial_plan,24,19,10,2,20.8,47.4,58.3,8.3
2025-12-01,Medical_Professionals,plus,persona_x_initial_plan,6,3,2,1,50.0,33.3,66.7,16.7
2025-12-01,Medical_Professionals,start,persona_x_initial_plan,17,12,7,1,29.4,41.7,58.8,5.9
2025-12-01,Others,business,persona_x_initial_plan,41,20,13,2,51.2,35.0,68.3,4.9
2025-12-01,Others,free,persona_x_initial_plan,498,257,141,67,48.4,45.1,71.7,13.5
2025-12-01,Others,plus,persona_x_initial_plan,150,81,41,19,46.0,49.4,72.7,12.7
2025-12-01,Others,start,persona_x_initial_plan,494,214,133,92,56.7,37.9,73.1,18.6
2025-12-01,Professeur,business,persona_x_initial_plan,4,2,2,0,50.0,0.0,50.0,0.0
2025-12-01,Professeur,free,persona_x_initial_plan,66,41,19,2,37.9,53.7,71.2,3.0
2025-12-01,Professeur,plus,persona_x_initial_plan,7,3,2,0,57.1,33.3,71.4,0.0
2025-12-01,Professeur,start,persona_x_initial_plan,57,41,33,1,28.1,19.5,42.1,1.8
2025-12-01,Repair,business,persona_x_initial_plan,1,1,1,0,0.0,0.0,0.0,0.0
2025-12-01,Repair,free,persona_x_initial_plan,15,9,5,2,40.0,44.4,66.7,13.3
2025-12-01,Repair,plus,persona_x_initial_plan,4,1,1,0,75.0,0.0,75.0,0.0
2025-12-01,Repair,start,persona_x_initial_plan,12,8,6,0,33.3,25.0,50.0,0.0
2025-12-01,Repair_Installation,free,persona_x_initial_plan,5,3,2,1,40.0,33.3,60.0,20.0
2025-12-01,Repair_Installation,plus,persona_x_initial_plan,2,0,0,0,100.0,,100.0,0.0
2025-12-01,Repair_Installation,start,persona_x_initial_plan,3,2,0,0,33.3,100.0,100.0,0.0
2025-12-01,Restauration,business,persona_x_initial_plan,6,2,1,0,66.7,50.0,83.3,0.0
2025-12-01,Restauration,free,persona_x_initial_plan,62,41,24,1,33.9,41.5,61.3,1.6
2025-12-01,Restauration,plus,persona_x_initial_plan,18,13,9,0,27.8,30.8,50.0,0.0
2025-12-01,Restauration,start,persona_x_initial_plan,59,31,17,1,47.5,45.2,71.2,1.7
2025-12-01,Retail,business,persona_x_initial_plan,13,5,2,0,61.5,60.0,84.6,0.0
2025-12-01,Retail,free,persona_x_initial_plan,325,226,132,9,30.5,41.6,59.4,2.8
2025-12-01,Retail,plus,persona_x_initial_plan,89,54,39,5,39.3,27.8,56.2,5.6
2025-12-01,Retail,start,persona_x_initial_plan,308,198,134,10,35.7,32.3,56.5,3.2
2025-12-01,Wholesale,business,persona_x_initial_plan,7,4,4,0,42.9,0.0,42.9,0.0
2025-12-01,Wholesale,free,persona_x_initial_plan,48,15,5,0,68.8,66.7,89.6,0.0
2025-12-01,Wholesale,plus,persona_x_initial_plan,38,14,10,1,63.2,28.6,73.7,2.6
