activation_month,months_since_activation,persona,initial_subscription_group,segment_level,revenue_type,activated_cohort_size,monthly_revenue,cumulative_revenue,observed_ltv_per_activated_company
2025-10-01,0,ALL,business,initial_plan,Banking fees,28,398.00000000000000000000,398.00000000000000000000,14.214285714285714
2025-10-01,0,ALL,business,initial_plan,Deposit interest,28,185.02885769369861670951,185.02885769369861670951,6.608173489060666
2025-10-01,0,ALL,business,initial_plan,Interchange,28,1219.45155582925844833000,1219.45155582925844833000,43.551841279616376
2025-10-01,0,ALL,business,initial_plan,Subscription,28,0.00000000000000000000,0.00000000000000000000,0.0
2025-10-01,0,ALL,business,initial_plan,Total revenue,28,1802.48041352295706503951,1802.48041352295706503951,64.37430048296275
2025-10-01,0,ALL,free,initial_plan,Banking fees,409,7688.00000000000000000000,7688.00000000000000000000,18.797066014669927
2025-10-01,0,ALL,free,initial_plan,Deposit interest,409,1159.89368328273968996608,1159.89368328273968996608,2.8359258759969186
2025-10-01,0,ALL,free,initial_plan,Interchange,409,2284.29594601270553887600,2284.29594601270553887600,5.585075662622751
2025-10-01,0,ALL,free,initial_plan,Subscription,409,0.00000000000000000000,0.00000000000000000000,0.0
2025-10-01,0,ALL,free,initial_plan,Total revenue,409,11132.18962929544522884208,11132.18962929544522884208,27.218067553289593
2025-10-01,0,ALL,plus,initial_plan,Banking fees,211,4306.68000000000000000000,4306.68000000000000000000,20.410805687203794
2025-10-01,0,ALL,plus,initial_plan,Deposit interest,211,665.78803301863010842483,665.78803301863010842483,3.155393521415309
2025-10-01,0,ALL,plus,initial_plan,Interchange,211,3487.93497582367831999000,3487.93497582367831999000,16.53049751575203
2025-10-01,0,ALL,plus,initial_plan,Subscription,211,146.30208333200000000000,146.30208333200000000000,0.693374802521327
2025-10-01,0,ALL,plus,initial_plan,Total revenue,211,8606.70509217430842841483,8606.70509217430842841483,40.790071526892454
2025-10-01,0,ALL,start,initial_plan,Banking fees,548,6779.06000000000000000000,6779.06000000000000000000,12.370547445255475
2025-10-01,0,ALL,start,initial_plan,Deposit interest,548,1999.85228985534244199101,1999.85228985534244199101,3.6493654924367562
2025-10-01,0,ALL,start,initial_plan,Interchange,548,4839.88583439878039110400,4839.88583439878039110400,8.831908456932082
2025-10-01,0,ALL,start,initial_plan,Subscription,548,444.70900537700000000000,444.70900537700000000000,0.8115127835346715
2025-10-01,0,ALL,start,initial_plan,Total revenue,548,14063.50712963112283309501,14063.50712963112283309501,25.663334178158983
2025-10-01,0,ALL,ALL,overall,Banking fees,1196,19171.74000000000000000000,19171.74000000000000000000,16.029882943143814
2025-10-01,0,ALL,ALL,overall,Deposit interest,1196,4010.56286385041085709143,4010.56286385041085709143,3.3533134313130524
2025-10-01,0,ALL,ALL,overall,Interchange,1196,11831.56831206442269830000,11831.56831206442269830000,9.892615645538815
2025-10-01,0,ALL,ALL,overall,Subscription,1196,591.01108870900000000000,591.01108870900000000000,0.4941564286864548
2025-10-01,0,ALL,ALL,overall,Total revenue,1196,35604.88226462383355539143,35604.88226462383355539143,29.769968448682135
2025-10-01,0,Automobile_Trade_Repair,ALL,persona,Banking fees,53,840.00000000000000000000,840.00000000000000000000,15.849056603773585
