persona,revenue_companies,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,average_revenue_per_company,median_revenue_per_company,total_revenue_share_pct
BTP,3148,32445.28,80473.24,6331.48,44578.97,163828.97,52.04,20.40,24.5
Consultant,3117,20669.64,36656.57,4985.82,49380.37,111692.40,35.83,12.64,16.7
Others,2886,24092.14,34902.28,8884.40,18847.01,86725.83,30.05,12.31,13.0
Retail,2319,17982.86,35923.70,10286.96,17019.02,81212.55,35.02,11.69,12.1
Developer_IT,1456,9741.71,16947.51,3697.10,28086.50,58472.82,40.16,14.00,8.7
Automobile_Trade_Repair,693,8544.16,18161.93,3259.54,4411.45,34377.07,49.61,17.68,5.1
Bikers_Drivers,946,9327.74,16243.57,2428.46,4138.76,32138.52,33.97,15.53,4.8
Media_Publishing,665,4409.59,8755.68,1931.20,7597.92,22694.39,34.13,11.56,3.4
Restauration,448,4267.13,10930.12,2829.00,2371.70,20397.96,45.53,15.45,3.1
Wholesale,434,4951.38,7976.28,959.56,4889.58,18776.80,43.26,16.34,2.8
Professeur,574,3856.46,4803.74,654.14,3711.99,13026.33,22.69,11.66,1.9
Bankers_Insurance,277,1337.67,2113.01,160.98,5517.82,9129.48,32.96,10.55,1.4
Medical_Professionals,224,1397.90,2772.77,564.32,3288.03,8023.02,35.82,16.27,1.2
Repair,112,758.74,2145.21,169.30,334.36,3407.62,30.43,11.10,0.5
Cleaning_CallCenters,95,882.26,655.55,96.70,738.13,2372.64,24.98,12.17,0.4
Repair_Installation,39,403.00,1165.76,118.22,622.92,2309.90,59.23,35.89,0.3
