company_profile_id,expected_month,first_observed_month,last_observed_month,gap_type
127d3fe4-7010-4e15-a476-4ef3705ef08f,2025-10-01,,,no revenue ever
511c23d1-0283-40b4-9f0f-d04c4fc94468,2025-10-01,2025-11-01,2025-12-01,before first observed
8dbd8ec0-d865-4930-86e7-3091c7d602fc,2025-10-01,,,no revenue ever
0120a00a-347a-4c06-a192-824a2f84e711,2025-11-01,2025-10-01,2026-02-01,internal gap
048f6a91-7909-49f4-899a-6a491de36c1b,2025-11-01,2025-10-01,2026-05-01,internal gap
04efc4a8-86c7-49b6-826f-1f8c3c8da5e1,2025-11-01,2025-10-01,2025-10-01,after last observed
072bf771-5438-4d5b-a90c-3466991b6c5b,2025-11-01,2026-01-01,2026-02-01,before first observed
123251b7-c779-4114-b9b8-ba4833d6ce07,2025-11-01,2025-10-01,2025-10-01,after last observed
127d3fe4-7010-4e15-a476-4ef3705ef08f,2025-11-01,,,no revenue ever
19ef6857-fffa-45d7-9807-a8a3efbed527,2025-11-01,,,no revenue ever
23a26ac0-5d44-4c90-a9c3-e83db6221154,2025-11-01,2025-10-01,2025-10-01,after last observed
2b17fe21-19ea-46d9-bdef-2c6ca051a159,2025-11-01,2025-10-01,2025-10-01,after last observed
2bdcbbd9-25cb-491f-8724-d76796a3b3e0,2025-11-01,2025-10-01,2026-05-01,internal gap
2c2c1bc9-64aa-400c-8acc-2d3c929ef62a,2025-11-01,,,no revenue ever
2d0d01d2-dadc-4a0c-bf04-af36e64a6d54,2025-11-01,,,no revenue ever
3ca675b1-61e7-4a06-9f2c-a6d5f16ee4e1,2025-11-01,2025-10-01,2025-10-01,after last observed
3cb0441a-a5fa-4fad-a93d-a1468b0a6c81,2025-11-01,2025-10-01,2026-05-01,internal gap
3cf0b571-57ce-4c71-a8b5-a6d25409ff32,2025-11-01,2025-10-01,2025-10-01,after last observed
3f6e90ee-d0dc-4abc-8c57-43c9a8c1a4bb,2025-11-01,2026-01-01,2026-05-01,before first observed
4c840a35-e25a-4471-a60c-3496891f7332,2025-11-01,2025-10-01,2025-10-01,after last observed
50de7ce7-d968-492a-b9f4-a2f5a91e8256,2025-11-01,2025-10-01,2026-01-01,internal gap
5a0686f1-3d94-49b9-9b94-a066ab0a0920,2025-11-01,,,no revenue ever
5cb6a8f0-a5f1-48d1-a744-478b1f6e7547,2025-11-01,,,no revenue ever
6187150f-b030-4319-834d-f988f70a2694,2025-11-01,2025-10-01,2025-10-01,after last observed
6f745be7-4837-45e5-b0ff-270b3838aa17,2025-11-01,2025-10-01,2025-10-01,after last observed
751dd969-8936-4174-ba02-a05fbcbde7b1,2025-11-01,2025-10-01,2026-04-01,internal gap
85eea126-8d98-4432-88ce-ceecf04f16db,2025-11-01,2025-10-01,2025-10-01,after last observed
86d51ac8-efd3-4662-bb07-c79ec3c96284,2025-11-01,2025-10-01,2026-05-01,internal gap
87047ae8-1e35-4d74-accd-a1eaf7449ed7,2025-11-01,,,no revenue ever
8dbd8ec0-d865-4930-86e7-3091c7d602fc,2025-11-01,,,no revenue ever
8eee0373-4d15-4c9b-a1be-f1e8335e0a78,2025-11-01,2025-10-01,2026-01-01,internal gap
95000cd5-b8b6-4eb5-b214-2679ad344476,2025-11-01,2025-10-01,2026-05-01,internal gap
9974d278-215d-46b1-a593-60a88fb23d94,2025-11-01,2025-10-01,2025-10-01,after last observed
9ad688f6-dc3c-451c-926b-94e3c6c19f83,2025-11-01,2025-10-01,2025-10-01,after last observed
a1b75f68-13a2-4ee0-bd43-0b1a4c6220f0,2025-11-01,2025-10-01,2025-10-01,after last observed
a5d0dea0-00dd-498c-9384-2d6a0e366e8e,2025-11-01,2025-10-01,2025-10-01,after last observed
ab2a4fd8-8d3b-4e5a-8fe1-911a7612d47c,2025-11-01,2025-10-01,2025-10-01,after last observed
ac18b497-68cb-4ce5-b867-9c2c33ccbee5,2025-11-01,2026-04-01,2026-05-01,before first observed
af61d2c6-9429-4177-bd6b-6239c34bedcd,2025-11-01,2025-10-01,2025-10-01,after last observed
b18c06e6-9c76-4b05-8e72-634d64a22592,2025-11-01,2025-10-01,2026-05-01,internal gap
b7ebad8f-b35d-4719-ab88-da008aaa8d2b,2025-11-01,2025-10-01,2026-05-01,internal gap
bd3ffe42-1f90-472a-8907-8bd76b390bab,2025-11-01,2025-10-01,2025-10-01,after last observed
c250f902-2ee2-4b9a-bc0a-025d51855ecb,2025-11-01,2025-10-01,2025-10-01,after last observed
ded139f2-b579-4211-8404-e10c742e29c2,2025-11-01,2025-10-01,2025-10-01,after last observed
e4b4343d-746d-4eaf-8dd5-bc569130249c,2025-11-01,2025-12-01,2026-01-01,before first observed
e62c7964-47df-4187-a4a9-b672ecd806c3,2025-11-01,2025-10-01,2025-10-01,after last observed
fd1aba41-7ab7-4593-adcc-7160fcef4d52,2025-11-01,2025-10-01,2026-05-01,internal gap
00dcfdc4-14e1-4790-a0cd-a74913018017,2025-12-01,2025-10-01,2025-11-01,after last observed
0120a00a-347a-4c06-a192-824a2f84e711,2025-12-01,2025-10-01,2026-02-01,internal gap
04a5ce74-1603-4c52-a4e1-e983694901b2,2025-12-01,2025-11-01,2026-02-01,internal gap
04c1eeb9-5e56-43d1-9216-d6cf7f325e31,2025-12-01,2025-10-01,2025-11-01,after last observed
072bf771-5438-4d5b-a90c-3466991b6c5b,2025-12-01,2026-01-01,2026-02-01,before first observed
08c4a206-983c-4f5d-816d-979b467b615c,2025-12-01,2025-11-01,2025-11-01,after last observed
0973019e-1c10-4ecb-ba88-c3580fd1be69,2025-12-01,2025-11-01,2025-11-01,after last observed
0a54cd96-b17f-41be-8670-39bb27f10081,2025-12-01,2025-11-01,2026-05-01,internal gap
0baf383d-d899-42c2-a487-5c328a65e480,2025-12-01,2025-10-01,2025-11-01,after last observed
0bb5b361-b4ad-4afa-9b57-20598a8300ae,2025-12-01,2025-10-01,2026-01-01,internal gap
0d5e4ce7-3200-4612-aa85-7b281a79ca43,2025-12-01,2025-10-01,2025-11-01,after last observed
0f32df49-df72-424e-a1fc-ebc8eefd539f,2025-12-01,2025-11-01,2025-11-01,after last observed
115e1da1-647e-48c6-a00a-31f720ceabab,2025-12-01,2025-11-01,2025-11-01,after last observed
123251b7-c779-4114-b9b8-ba4833d6ce07,2025-12-01,2025-10-01,2025-10-01,after last observed
127d3fe4-7010-4e15-a476-4ef3705ef08f,2025-12-01,,,no revenue ever
12c6364a-8e26-4efd-ab21-07f769ae0e19,2025-12-01,2025-11-01,2025-11-01,after last observed
14271e11-0b79-40a0-95be-dab0a268e485,2025-12-01,2025-10-01,2026-05-01,internal gap
15449607-bf85-4d43-8f18-2e0f7e8cb15e,2025-12-01,2025-11-01,2025-11-01,after last observed
17749968-d613-404b-a530-7893f775df89,2025-12-01,2025-10-01,2025-11-01,after last observed
19ef6857-fffa-45d7-9807-a8a3efbed527,2025-12-01,,,no revenue ever
1ac0f2f6-b4c8-4d88-80c9-0e95399c383c,2025-12-01,2025-10-01,2026-05-01,internal gap
1b2c7941-0870-4288-be7c-e3f60b284859,2025-12-01,2025-10-01,2025-11-01,after last observed
1b8b19a1-8b8c-40f5-81db-5c962e954d20,2025-12-01,2025-11-01,2025-11-01,after last observed
