month_start,persona,initial_subscription_group,segment_level,revenue_type,prior_revenue,dropped_prior_revenue,one_month_gross_revenue_dropout_pct
2025-11-01,ALL,business,initial_plan,Banking fees,398.00000000000000000000,4.00000000000000000000,1.01
2025-11-01,ALL,business,initial_plan,Deposit interest,185.02885769369861670951,3.88982992876712270000,2.1
2025-11-01,ALL,business,initial_plan,Interchange,1219.45155582925844833000,436.16156492177549000000,35.77
2025-11-01,ALL,business,initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,ALL,business,initial_plan,Total revenue,1802.48041352295706503951,444.05139485054261270000,24.64
2025-11-01,ALL,free,initial_plan,Banking fees,7688.00000000000000000000,500.00000000000000000000,6.5
2025-11-01,ALL,free,initial_plan,Deposit interest,1159.89368328273968996608,10.63402746904109539920,0.92
2025-11-01,ALL,free,initial_plan,Interchange,2284.29594601270553887600,318.85442769954908614000,13.96
2025-11-01,ALL,free,initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,ALL,free,initial_plan,Total revenue,11132.18962929544522884208,829.48845516859018153920,7.45
2025-11-01,ALL,plus,initial_plan,Banking fees,4306.68000000000000000000,0.00000000000000000000,0.0
2025-11-01,ALL,plus,initial_plan,Deposit interest,665.78803301863010842483,4.83098832273972623800,0.73
2025-11-01,ALL,plus,initial_plan,Interchange,3487.93497582367831999000,317.61315387485923080000,9.11
2025-11-01,ALL,plus,initial_plan,Subscription,146.30208333200000000000,0.00000000000000000000,0.0
2025-11-01,ALL,plus,initial_plan,Total revenue,8606.70509217430842841483,322.44414219759895703800,3.75
2025-11-01,ALL,start,initial_plan,Banking fees,6779.06000000000000000000,118.00000000000000000000,1.74
2025-11-01,ALL,start,initial_plan,Deposit interest,1999.85228985534244199101,5.65393060493150741772,0.28
2025-11-01,ALL,start,initial_plan,Interchange,4839.88583439878039110400,22.44780734497440772000,0.46
2025-11-01,ALL,start,initial_plan,Subscription,444.70900537700000000000,9.62500000000000000000,2.16
2025-11-01,ALL,start,initial_plan,Total revenue,14063.50712963112283309501,155.72673794990591513772,1.11
2025-11-01,ALL,ALL,overall,Banking fees,19171.74000000000000000000,622.00000000000000000000,3.24
2025-11-01,ALL,ALL,overall,Deposit interest,4010.56286385041085709143,25.00877632547945175492,0.62
2025-11-01,ALL,ALL,overall,Interchange,11831.56831206442269830000,1095.07695384115821466000,9.26
2025-11-01,ALL,ALL,overall,Subscription,591.01108870900000000000,9.62500000000000000000,1.63
2025-11-01,ALL,ALL,overall,Total revenue,35604.88226462383355539143,1751.71073016663766641492,4.92
2025-11-01,Automobile_Trade_Repair,ALL,persona,Banking fees,840.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,ALL,persona,Deposit interest,146.87505948438355842006,,
2025-11-01,Automobile_Trade_Repair,ALL,persona,Interchange,2482.76418829728949583000,,
2025-11-01,Automobile_Trade_Repair,ALL,persona,Subscription,16.87500000000000000000,,
2025-11-01,Automobile_Trade_Repair,ALL,persona,Total revenue,3486.51424778167305425006,,
2025-11-01,BTP,ALL,persona,Banking fees,1590.00000000000000000000,122.00000000000000000000,7.67
2025-11-01,BTP,ALL,persona,Deposit interest,1872.14339214904106296468,12.83846229260273878530,0.69
2025-11-01,BTP,ALL,persona,Interchange,3541.44714571629516714300,544.86360859149804400000,15.39
2025-11-01,BTP,ALL,persona,Subscription,72.03125000000000000000,0.00000000000000000000,0.0
2025-11-01,BTP,ALL,persona,Total revenue,7075.62178786533623010768,679.70207088410078278530,9.61
2025-11-01,Bankers_Insurance,ALL,persona,Banking fees,419.06000000000000000000,0.00000000000000000000,0.0
2025-11-01,Bankers_Insurance,ALL,persona,Deposit interest,27.94756988657533891220,0.04045945205479451600,0.14
2025-11-01,Bankers_Insurance,ALL,persona,Interchange,252.53642193246836006000,0.00000000000000000000,0.0
2025-11-01,Bankers_Insurance,ALL,persona,Subscription,20.46875000000000000000,0.00000000000000000000,0.0
2025-11-01,Bankers_Insurance,ALL,persona,Total revenue,720.01274181904369897220,0.04045945205479451600,0.01
2025-11-01,Bikers_Drivers,ALL,persona,Banking fees,1666.00000000000000000000,240.00000000000000000000,14.41
2025-11-01,Bikers_Drivers,ALL,persona,Deposit interest,124.13683208493150411050,2.28003526904109604632,1.84
2025-11-01,Bikers_Drivers,ALL,persona,Interchange,1167.39876211141362225300,259.75490230221020084000,22.25
2025-11-01,Bikers_Drivers,ALL,persona,Subscription,30.46875000000000000000,0.00000000000000000000,0.0
2025-11-01,Bikers_Drivers,ALL,persona,Total revenue,2988.00434419634512636350,502.03493757125129688632,16.8
2025-11-01,Cleaning_CallCenters,ALL,persona,Banking fees,138.00000000000000000000,,
2025-11-01,Cleaning_CallCenters,ALL,persona,Deposit interest,11.24100030520547723484,,
2025-11-01,Cleaning_CallCenters,ALL,persona,Interchange,0.00000000000000000000,,
2025-11-01,Cleaning_CallCenters,ALL,persona,Subscription,0.00000000000000000000,,
2025-11-01,Cleaning_CallCenters,ALL,persona,Total revenue,149.24100030520547723484,,
2025-11-01,Consultant,ALL,persona,Banking fees,3388.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Consultant,ALL,persona,Deposit interest,695.37149882191778081683,0.75191998684931496520,0.11
2025-11-01,Consultant,ALL,persona,Interchange,807.83394392028917436100,6.95081122441054160000,0.86
2025-11-01,Consultant,ALL,persona,Subscription,168.32358871000000000000,9.62500000000000000000,5.72
2025-11-01,Consultant,ALL,persona,Total revenue,5059.52903145220695517783,17.32773121125985656520,0.34
2025-11-01,Developer_IT,ALL,persona,Banking fees,2618.00000000000000000000,138.00000000000000000000,5.27
2025-11-01,Developer_IT,ALL,persona,Deposit interest,158.77933978410959184440,0.58163861041095895880,0.37
2025-11-01,Developer_IT,ALL,persona,Interchange,403.73032400499453243000,8.25724743531012530000,2.05
2025-11-01,Developer_IT,ALL,persona,Subscription,103.79166666600000000000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,ALL,persona,Total revenue,3284.30133045510412427440,146.83888604572108425880,4.47
2025-11-01,Media_Publishing,ALL,persona,Banking fees,256.00000000000000000000,118.00000000000000000000,46.09
2025-11-01,Media_Publishing,ALL,persona,Deposit interest,233.77246200821916928265,4.85823649315068550000,2.08
2025-11-01,Media_Publishing,ALL,persona,Interchange,194.73845406206524177000,0.00000000000000000000,0.0
2025-11-01,Media_Publishing,ALL,persona,Subscription,26.37500000000000000000,0.00000000000000000000,0.0
2025-11-01,Media_Publishing,ALL,persona,Total revenue,710.88591607028441105265,122.85823649315068550000,17.28
2025-11-01,Medical_Professionals,ALL,persona,Banking fees,4.00000000000000000000,,
2025-11-01,Medical_Professionals,ALL,persona,Deposit interest,14.73797814027397225943,,
2025-11-01,Medical_Professionals,ALL,persona,Interchange,7.02409007870888260000,,
2025-11-01,Medical_Professionals,ALL,persona,Subscription,0.00000000000000000000,,
2025-11-01,Medical_Professionals,ALL,persona,Total revenue,25.76206821898285485943,,
2025-11-01,Others,ALL,persona,Banking fees,3090.00000000000000000000,4.00000000000000000000,0.13
2025-11-01,Others,ALL,persona,Deposit interest,278.09799848767121263556,2.28723737205479450330,0.82
2025-11-01,Others,ALL,persona,Interchange,1564.47165264189053427300,128.27980979803950292000,8.2
2025-11-01,Others,ALL,persona,Subscription,38.37500000000000000000,0.00000000000000000000,0.0
2025-11-01,Others,ALL,persona,Total revenue,4970.94465112956174690856,134.56704717009429742330,2.71
2025-11-01,Professeur,ALL,persona,Banking fees,122.00000000000000000000,,
2025-11-01,Professeur,ALL,persona,Deposit interest,35.11840073863013507550,,
2025-11-01,Professeur,ALL,persona,Interchange,32.95733241993773031000,,
2025-11-01,Professeur,ALL,persona,Subscription,17.15625000000000000000,,
2025-11-01,Professeur,ALL,persona,Total revenue,207.23198315856786538550,,
2025-11-01,Repair,ALL,persona,Banking fees,4.00000000000000000000,,
2025-11-01,Repair,ALL,persona,Deposit interest,5.39412137863013733280,,
2025-11-01,Repair,ALL,persona,Interchange,160.49577944514755671000,,
2025-11-01,Repair,ALL,persona,Subscription,7.21875000000000000000,,
2025-11-01,Repair,ALL,persona,Total revenue,177.10865082377769404280,,
2025-11-01,Repair_Installation,ALL,persona,Banking fees,,,
2025-11-01,Repair_Installation,ALL,persona,Deposit interest,,,
2025-11-01,Repair_Installation,ALL,persona,Interchange,,,
2025-11-01,Repair_Installation,ALL,persona,Subscription,,,
2025-11-01,Repair_Installation,ALL,persona,Total revenue,,,
2025-11-01,Restauration,ALL,persona,Banking fees,897.34000000000000000000,0.00000000000000000000,0.0
2025-11-01,Restauration,ALL,persona,Deposit interest,86.57598201369863055890,0.74163287671232880000,0.86
2025-11-01,Restauration,ALL,persona,Interchange,224.73137415774967698000,0.00000000000000000000,0.0
2025-11-01,Restauration,ALL,persona,Subscription,8.75000000000000000000,0.00000000000000000000,0.0
2025-11-01,Restauration,ALL,persona,Total revenue,1217.39735617144830753890,0.74163287671232880000,0.06
2025-11-01,Retail,ALL,persona,Banking fees,3863.34000000000000000000,0.00000000000000000000,0.0
2025-11-01,Retail,ALL,persona,Deposit interest,251.35046619780821480562,0.62915397260273968000,0.25
2025-11-01,Retail,ALL,persona,Interchange,896.90945574952166740000,146.97057448968980000000,16.39
2025-11-01,Retail,ALL,persona,Subscription,64.86458333300000000000,0.00000000000000000000,0.0
2025-11-01,Retail,ALL,persona,Total revenue,5076.46450528032988220562,147.59972846229253968000,2.91
2025-11-01,Wholesale,ALL,persona,Banking fees,276.00000000000000000000,,
2025-11-01,Wholesale,ALL,persona,Deposit interest,69.02076236931507083746,,
2025-11-01,Wholesale,ALL,persona,Interchange,94.52938752665105618000,,
2025-11-01,Wholesale,ALL,persona,Subscription,16.31250000000000000000,,
2025-11-01,Wholesale,ALL,persona,Total revenue,455.86264989596612701746,,
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,Banking fees,0.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,Deposit interest,14.43951172602739678680,,
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,Interchange,115.10495104322153423000,,
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,Total revenue,129.54446276924893101680,,
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,Banking fees,264.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,Deposit interest,36.85969401753424962486,,
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,Interchange,155.92155986880653430000,,
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,Total revenue,456.78125388634078392486,,
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,Banking fees,138.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,Deposit interest,71.67619202958903548200,,
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,Interchange,302.65077066863400030000,,
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,Subscription,16.87500000000000000000,,
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,Total revenue,529.20196269822303578200,,
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,Banking fees,438.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,Deposit interest,23.89966171123287652640,,
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,Interchange,1909.08690671662742700000,,
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,Total revenue,2370.98656842786030352640,,
2025-11-01,BTP,business,persona_x_initial_plan,Banking fees,0.00000000000000000000,0.00000000000000000000,
2025-11-01,BTP,business,persona_x_initial_plan,Deposit interest,74.03988364493149735000,1.95041495890410910000,2.63
2025-11-01,BTP,business,persona_x_initial_plan,Interchange,669.85667136297194200000,165.55306091942072000000,24.71
