revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,last_subscription_revenue,last_interchange_revenue,last_banking_fees,last_deposit_interest_revenue,last_total_revenue,segment_company_share_pct
Active,ALL,business,initial_plan,262,16199.00000000000000000000,22041.81049319987933344000,1194.45999999999999860000,3876.41320901041123140819,43311.68370221029056344819,75.29
At-risk,ALL,business,initial_plan,35,1931.00000000000000000000,1234.59253199999480177000,30.65999999999999910000,166.82545415780823379550,3363.07798615780303466550,10.06
Churned proxy,ALL,business,initial_plan,51,1200.00000000000000000000,6141.40209036503896300000,8.04000000000000000000,128.81887200493155072680,7478.26096236997051372680,14.66
Active,ALL,free,initial_plan,6525,3768.03791774899999600000,46180.89959039975010193158,22047.14000000000000228000,66643.59801997863235998460,138639.67552812738246019618,91.81
At-risk,ALL,free,initial_plan,354,183.03999999999999900000,918.77284979999590004000,1226.15999999999999540000,641.54395907890416373347,2969.51680887890005817347,4.98
Churned proxy,ALL,free,initial_plan,228,46.15000000000000000000,1591.23318645539895171800,1864.67999999999999740000,653.12018227506856232338,4155.18336873046751144138,3.21
Active,ALL,plus,initial_plan,2027,43233.05206987900000000000,86989.94620199952730073010,8054.48000000000000970000,30533.85916856054796729009,168811.33744043907527772019,89.26
At-risk,ALL,plus,initial_plan,120,1681.90000000000000000000,3936.42512099998409749600,-7.42000000000000000000,150.85862049315070469882,5761.76374149313480219482,5.28
Churned proxy,ALL,plus,initial_plan,124,1434.90000000000000000000,3134.73620393446344169100,-0.61999999999999986000,358.81409009315082934542,4927.83029402761427117642,5.46
Active,ALL,start,initial_plan,7316,71041.45751662407157150000,112691.79741419938886433900,21234.04000000000002000000,82347.60998218082463001875,287314.90491300428508585775,93.29
At-risk,ALL,start,initial_plan,301,2239.71875000000000000000,2704.11988499998828351600,267.88000000000000078900,665.58435137315074725468,5877.30298637313903155968,3.84
Churned proxy,ALL,start,initial_plan,225,1437.77083333300000000000,1298.47878845548586011000,410.55999999999999810000,414.14359698739741270095,3560.95321877588327091095,2.87
Active,ALL,ALL,overall,16130,134241.54750425207156750000,267904.45369979854560044068,52530.12000000000003058000,183401.48037973041618870163,638077.60158378103338722231,91.81
At-risk,ALL,ALL,overall,810,6035.65874999999999900000,8793.91038779996308282200,1517.27999999999999528900,1624.81238510301384948247,17971.66152290297692659347,4.61
Churned proxy,ALL,ALL,overall,628,4118.82083333300000000000,12165.85026921038721651900,2282.65999999999999564000,1554.89674136054835509655,20122.22784390393556725555,3.57
Active,Automobile_Trade_Repair,ALL,persona,657,7886.67478494600000100000,18539.11768139989943599100,1996.46000000000000900000,3941.46205373150708734961,32363.71452007740653334061,89.27
At-risk,Automobile_Trade_Repair,ALL,persona,45,268.00000000000000000000,757.73134799999640795400,55.06000000000000000000,66.28684409698630581119,1147.07819209698271376519,6.11
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,439.00000000000000000000,236.12908738233090680500,48.04000000000000000000,243.24110601534252602270,966.41019339767343282770,4.62
Active,BTP,ALL,persona,2895,30145.36647849264515500000,74729.82748499959474268630,5405.38000000000002000000,43223.90091280054895023306,153504.47487629278886791936,92.4
At-risk,BTP,ALL,persona,129,1305.42000000000000000000,2096.35788959999117500000,68.88000000000000071800,539.67582953917812693274,4010.33371913916930265074,4.12
Churned proxy,BTP,ALL,persona,109,827.90000000000000000000,1901.85633227088943242800,420.55999999999999550000,231.32652013917818253225,3381.64285241006761046025,3.48
Active,Bankers_Insurance,ALL,persona,257,1219.76120967700000000000,1877.36164019998984237400,1428.06000000000000000000,6906.58708048821959505668,11431.76993036520943743068,93.8
At-risk,Bankers_Insurance,ALL,persona,7,18.00000000000000000000,1.31122799999999360000,0.00000000000000000000,19.83502084657533244820,39.14624884657532604820,2.55
Churned proxy,Bankers_Insurance,ALL,persona,10,26.00000000000000000000,2.35894436371497700000,276.00000000000000000000,10.61428882739726244167,314.97323319111223944167,3.65
Active,Bikers_Drivers,ALL,persona,881,8831.21959345678125000000,15816.31627499991409373260,2743.38000000000000078000,3491.26728669315075429727,30882.18315514984609880987,84.47
At-risk,Bikers_Drivers,ALL,persona,73,562.83750000000000000000,487.41496199999790838000,397.16000000000000007100,31.89906206301370193188,1479.31152406301161038288,7.0
Churned proxy,Bikers_Drivers,ALL,persona,89,807.00000000000000000000,1649.87732383672010853000,612.50000000000000014000,111.01038676602745643250,3180.38771060274756510250,8.53
Active,Cleaning_CallCenters,ALL,persona,89,863.21875000000000000000,912.07704599999507173500,25.60000000000000000000,575.47976632000004560435,2376.37556231999511733935,94.68
At-risk,Cleaning_CallCenters,ALL,persona,4,0.00000000000000000000,40.09129199999980400000,-9.60000000000000000000,19.74007746465753707865,50.23136946465734107865,4.26
Churned proxy,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,40.11922937724229100000,0.00000000000000000000,0.40881242739726043000,40.52804180463955143000,1.06
Active,Consultant,ALL,persona,2866,19250.53098225864515600000,35488.83568859980572660880,6696.42000000000000000000,45675.97407779068598374490,107111.76074864913686635370,93.51
At-risk,Consultant,ALL,persona,125,599.09000000000000000000,1276.89548399999475568400,100.26000000000000000000,341.64158373972604976226,2317.88706773972080544626,4.08
Churned proxy,Consultant,ALL,persona,74,369.77083333300000000000,1172.03201498516004385000,286.52000000000000000000,66.50815712164385387691,1894.83100543980389772691,2.41
Active,Developer_IT,ALL,persona,1336,9027.18829608100000000000,15719.14628459991496737754,6585.00000000000000000000,23420.45107864328851736374,54751.78565932420348474128,93.49
At-risk,Developer_IT,ALL,persona,52,512.58750000000000000000,163.14123779999930537000,282.16000000000000000000,150.38289616547946932693,1108.27163396547877469693,3.64
Churned proxy,Developer_IT,ALL,persona,41,210.00000000000000000000,1537.10848836845454448500,281.04000000000000000000,62.39390127506853329746,2090.54238964352307778246,2.87
Active,Media_Publishing,ALL,persona,613,3886.23021848700000200000,6635.38408019996349018700,3361.72000000000000000000,7000.33800140547982502974,20883.67230009244331721674,94.89
At-risk,Media_Publishing,ALL,persona,24,135.00000000000000000000,39.90017699999980594100,28.52000000000000000000,13.24321207671232871661,216.66338907671213465761,3.72
Churned proxy,Media_Publishing,ALL,persona,9,47.00000000000000000000,0.03360067980960969300,138.00000000000000000000,28.93281298684931220431,213.96641366665892189731,1.39
Active,Medical_Professionals,ALL,persona,213,1220.93548387100000000000,2162.91329999998827560400,311.39999999999999960000,3043.29831469972597938550,6738.54709857071425458950,95.95
At-risk,Medical_Professionals,ALL,persona,6,0.00000000000000000000,0.51299999999999757000,6.00000000000000000000,2.75838507123287736014,9.27138507123287493014,2.7
Churned proxy,Medical_Professionals,ALL,persona,3,22.00000000000000000000,0.00000000000000000000,0.00000000000000000000,2.80921698630136975000,24.80921698630136975000,1.35
Active,Others,ALL,persona,2678,22130.08432795553125150000,34375.40000279981403164500,10217.01999999999999860000,18012.30421815232936628870,84734.80854890767464803370,91.43
At-risk,Others,ALL,persona,144,1269.50499999999999900000,1074.70747619999552376000,221.21999999999999910000,143.46836119890411824093,2708.90083739889964010093,4.92
Churned proxy,Others,ALL,persona,107,539.15000000000000000000,3488.30631242535881620000,180.00000000000000000000,415.52330933698627172784,4622.97962176234508792784,3.65
Active,Professeur,ALL,persona,508,3490.55177419300000000000,3999.10052159997844789400,1119.30000000000000000000,3579.04334630630180367522,12187.99564209928025156922,93.55
At-risk,Professeur,ALL,persona,20,171.00000000000000000000,605.81854799999767527000,8.00000000000000000000,11.87698850301369900420,796.69553650301137427420,3.68
Churned proxy,Professeur,ALL,persona,15,11.00000000000000000000,111.95849994671388440000,0.80000000000000000000,13.85294598136986616302,137.61144592808375056302,2.76
Active,Repair,ALL,persona,104,600.82426075200000000000,982.32845399999476200500,66.34000000000000000000,373.29445542082192246454,2022.78717017281668446954,87.39
At-risk,Repair,ALL,persona,7,36.00000000000000000000,1.49939999999999319000,24.00000000000000000000,9.42026029369863134400,70.91966029369862453400,5.88
Churned proxy,Repair,ALL,persona,8,11.00000000000000000000,152.55830682374777100000,4.00000000000000000000,8.13933373643835783893,175.69764056018612883893,6.72
Active,Repair_Installation,ALL,persona,37,394.64645161300000000000,1056.59251199999417096000,16.80000000000000000000,500.09032217643837512200,1968.12928578943254608200,97.37
At-risk,Repair_Installation,ALL,persona,1,11.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.01212328767123287800,11.01212328767123287800,2.63
Active,Restauration,ALL,persona,431,4034.49610215000000100000,12439.80184679993312762100,3367.18000000000000000000,2588.71324065260292254691,22430.19118960253605116791,91.9
At-risk,Restauration,ALL,persona,21,150.00000000000000000000,33.14896199999983766000,32.51999999999999600000,3.99848507835616458303,219.66744707835599824303,4.48
Churned proxy,Restauration,ALL,persona,17,31.00000000000000000000,652.34890350540066070000,12.00000000000000000000,14.38128984493150931725,709.73019335033217001725,3.62
Active,Retail,ALL,persona,2165,16448.28180107146875100000,34273.41428339981329402544,7491.58000000000000260000,16670.76196407561633577813,74884.03804854689838340357,90.36
At-risk,Retail,ALL,persona,133,787.31250000000000000000,1996.31513519999180462300,280.69999999999999940000,145.31305442465757044921,3209.64068962464937447221,5.55
Churned proxy,Retail,ALL,persona,98,670.00000000000000000000,1202.59354324484426729300,13.60000000000000000000,339.86583499287686682368,2226.05937823772113411668,4.09
Active,Wholesale,ALL,persona,400,4811.53698924700000000000,8896.83659819995211999400,1698.48000000000000000000,4398.51426037369872476128,19805.36784782065084475528,92.59
At-risk,Wholesale,ALL,persona,19,209.90625000000000000000,219.06424799999909482000,22.40000000000000000000,125.26020125315070361450,576.63069925314979843450,4.4
Churned proxy,Wholesale,ALL,persona,13,108.00000000000000000000,18.56968199999990313500,9.60000000000000000000,5.88882492273972623803,142.05850692273962937303,3.01
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,1360.00000000000000000000,2424.10811579998639288300,12.00000000000000000000,379.19971849589048433313,4175.30783429587687721613,88.46
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,160.00000000000000000000,4.24959458707764700000,4.04000000000000000000,10.77378796876712533400,179.06338255584477233400,11.54
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,116.38451612900000000000,1400.54324399999244987000,493.10000000000000000000,592.49299684383561950084,2602.52075697282806937084,88.12
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,17,0.00000000000000000000,48.87718199999978886400,21.60000000000000000000,20.11328565041096011997,90.59046765041074898397,8.42
Churned proxy,Automobile_Trade_Repair,free,persona_x_initial_plan,7,0.00000000000000000000,34.11892782729789900000,44.00000000000000000000,66.45047682082197004290,144.56940464811986904290,3.47
Active,Automobile_Trade_Repair,plus,persona_x_initial_plan,146,3199.13978494600000000000,7152.71739479996139200800,517.36000000000000900000,1595.12196490904118536541,12464.33914465500258637341,90.68
At-risk,Automobile_Trade_Repair,plus,persona_x_initial_plan,7,125.00000000000000000000,128.38690799999939800000,0.00000000000000000000,9.58059442630137052500,262.96750242630076852500,4.35
Churned proxy,Automobile_Trade_Repair,plus,persona_x_initial_plan,8,125.00000000000000000000,48.01829496795613760000,0.00000000000000000000,103.44551389643835742840,276.46380886439449502840,4.97
Active,Automobile_Trade_Repair,start,persona_x_initial_plan,310,3211.15048387100000100000,7561.74892679995920123000,974.00000000000000000000,1374.64737348273979815023,13121.54678415369900038023,89.34
At-risk,Automobile_Trade_Repair,start,persona_x_initial_plan,21,143.00000000000000000000,580.46725799999722109000,33.46000000000000000000,36.59296402027397516622,793.52022202027119625622,6.05
Churned proxy,Automobile_Trade_Repair,start,persona_x_initial_plan,16,154.00000000000000000000,149.74226999999922320500,0.00000000000000000000,62.57132732931507321740,366.31359732931429642240,4.61
Active,BTP,business,persona_x_initial_plan,86,5423.00000000000000000000,11648.69201339993592128000,138.00000000000000000000,1364.56715752164403691191,18574.25917092157995819191,82.69
At-risk,BTP,business,persona_x_initial_plan,5,400.00000000000000000000,445.33837799999793864000,0.00000000000000000000,123.32201422684932757279,968.66039222684726621279,4.81
Churned proxy,BTP,business,persona_x_initial_plan,13,320.00000000000000000000,1192.85022302730703500000,0.00000000000000000000,11.18345411013698650800,1524.03367713744402150800,12.5
