inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
1,ALL,business,initial_plan,87,1,86,68,1,51,0,1.1,1.5,0.0
1,ALL,free,initial_plan,662,80,582,469,53,291,54,12.1,11.3,18.6
1,ALL,plus,initial_plan,273,29,244,216,22,147,19,10.6,10.2,12.9
1,ALL,start,initial_plan,582,56,526,426,46,255,27,9.6,10.8,10.6
1,ALL,ALL,overall,1604,166,1438,1179,122,744,100,10.3,10.3,13.4
1,Automobile_Trade_Repair,ALL,persona,84,5,79,58,3,39,4,6.0,5.2,10.3
1,BTP,ALL,persona,260,22,238,197,15,123,11,8.5,7.6,8.9
1,Bankers_Insurance,ALL,persona,21,4,17,16,4,12,2,19.0,25.0,16.7
1,Bikers_Drivers,ALL,persona,178,16,162,145,12,99,10,9.0,8.3,10.1
1,Cleaning_CallCenters,ALL,persona,5,0,5,2,0,1,0,0.0,0.0,0.0
1,Consultant,ALL,persona,222,23,199,150,16,90,12,10.4,10.7,13.3
1,Developer_IT,ALL,persona,113,20,93,87,12,56,13,17.7,13.8,23.2
1,Media_Publishing,ALL,persona,44,11,33,28,7,19,8,25.0,25.0,42.1
1,Medical_Professionals,ALL,persona,10,1,9,6,1,4,1,10.0,16.7,25.0
1,Others,ALL,persona,275,24,251,198,19,120,12,8.7,9.6,10.0
1,Professeur,ALL,persona,40,5,35,32,4,19,4,12.5,12.5,21.1
1,Repair,ALL,persona,15,0,15,12,0,8,0,0.0,0.0,0.0
1,Repair_Installation,ALL,persona,1,0,1,0,0,0,0,0.0,,
1,Restauration,ALL,persona,45,7,38,32,5,23,5,15.6,15.6,21.7
1,Retail,ALL,persona,257,26,231,190,22,116,16,10.1,11.6,13.8
1,Wholesale,ALL,persona,34,2,32,26,2,15,2,5.9,7.7,13.3
1,Automobile_Trade_Repair,business,persona_x_initial_plan,3,0,3,3,0,3,0,0.0,0.0,0.0
1,Automobile_Trade_Repair,free,persona_x_initial_plan,26,2,24,17,2,9,2,7.7,11.8,22.2
1,Automobile_Trade_Repair,plus,persona_x_initial_plan,17,2,15,14,1,10,1,11.8,7.1,10.0
1,Automobile_Trade_Repair,start,persona_x_initial_plan,38,1,37,24,0,17,1,2.6,0.0,5.9
1,BTP,business,persona_x_initial_plan,18,0,18,16,0,13,0,0.0,0.0,0.0
1,BTP,free,persona_x_initial_plan,95,12,83,67,8,42,7,12.6,11.9,16.7
1,BTP,plus,persona_x_initial_plan,61,8,53,48,6,31,3,13.1,12.5,9.7
1,BTP,start,persona_x_initial_plan,86,2,84,66,1,37,1,2.3,1.5,2.7
1,Bankers_Insurance,free,persona_x_initial_plan,15,4,11,13,4,9,2,26.7,30.8,22.2
1,Bankers_Insurance,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
1,Bankers_Insurance,start,persona_x_initial_plan,5,0,5,3,0,3,0,0.0,0.0,0.0
1,Bikers_Drivers,business,persona_x_initial_plan,11,1,10,9,1,7,0,9.1,11.1,0.0
1,Bikers_Drivers,free,persona_x_initial_plan,62,7,55,53,5,38,7,11.3,9.4,18.4
1,Bikers_Drivers,plus,persona_x_initial_plan,36,1,35,26,0,22,1,2.8,0.0,4.5
1,Bikers_Drivers,start,persona_x_initial_plan,69,7,62,57,6,32,2,10.1,10.5,6.3
1,Cleaning_CallCenters,free,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
1,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
1,Cleaning_CallCenters,start,persona_x_initial_plan,3,0,3,1,0,1,0,0.0,0.0,0.0
1,Consultant,business,persona_x_initial_plan,6,0,6,6,0,4,0,0.0,0.0,0.0
1,Consultant,free,persona_x_initial_plan,119,15,104,78,9,44,8,12.6,11.5,18.2
1,Consultant,plus,persona_x_initial_plan,25,1,24,18,1,11,1,4.0,5.6,9.1
1,Consultant,start,persona_x_initial_plan,72,7,65,48,6,31,3,9.7,12.5,9.7
1,Developer_IT,business,persona_x_initial_plan,4,0,4,2,0,1,0,0.0,0.0,0.0
1,Developer_IT,free,persona_x_initial_plan,65,9,56,49,4,34,7,13.8,8.2,20.6
1,Developer_IT,plus,persona_x_initial_plan,13,1,12,10,1,6,0,7.7,10.0,0.0
1,Developer_IT,start,persona_x_initial_plan,31,10,21,26,7,15,6,32.3,26.9,40.0
1,Media_Publishing,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
1,Media_Publishing,free,persona_x_initial_plan,23,5,18,15,2,10,4,21.7,13.3,40.0
1,Media_Publishing,plus,persona_x_initial_plan,3,1,2,3,1,2,1,33.3,33.3,50.0
1,Media_Publishing,start,persona_x_initial_plan,17,5,12,10,4,7,3,29.4,40.0,42.9
1,Medical_Professionals,free,persona_x_initial_plan,4,1,3,1,1,1,1,25.0,100.0,100.0
1,Medical_Professionals,plus,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
1,Medical_Professionals,start,persona_x_initial_plan,5,0,5,4,0,3,0,0.0,0.0,0.0
1,Others,business,persona_x_initial_plan,28,0,28,20,0,17,0,0.0,0.0,0.0
1,Others,free,persona_x_initial_plan,91,7,84,59,5,35,4,7.7,8.5,11.4
1,Others,plus,persona_x_initial_plan,52,5,47,43,4,27,3,9.6,9.3,11.1
1,Others,start,persona_x_initial_plan,104,12,92,76,10,41,5,11.5,13.2,12.2
1,Professeur,business,persona_x_initial_plan,2,0,2,2,0,1,0,0.0,0.0,0.0
1,Professeur,free,persona_x_initial_plan,25,4,21,20,3,12,3,16.0,15.0,25.0
1,Professeur,plus,persona_x_initial_plan,2,1,1,2,1,1,1,50.0,50.0,100.0
1,Professeur,start,persona_x_initial_plan,11,0,11,8,0,5,0,0.0,0.0,0.0
1,Repair,business,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
1,Repair,free,persona_x_initial_plan,10,0,10,7,0,5,0,0.0,0.0,0.0
1,Repair,plus,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
1,Repair,start,persona_x_initial_plan,3,0,3,3,0,2,0,0.0,0.0,0.0
1,Repair_Installation,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
1,Restauration,business,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
1,Restauration,free,persona_x_initial_plan,18,1,17,12,1,8,0,5.6,8.3,0.0
1,Restauration,plus,persona_x_initial_plan,8,3,5,6,1,5,2,37.5,16.7,40.0
1,Restauration,start,persona_x_initial_plan,18,3,15,13,3,9,3,16.7,23.1,33.3
1,Retail,business,persona_x_initial_plan,10,0,10,7,0,3,0,0.0,0.0,0.0
1,Retail,free,persona_x_initial_plan,95,12,83,68,8,39,8,12.6,11.8,20.5
1,Retail,plus,persona_x_initial_plan,46,6,40,38,6,27,6,13.0,15.8,22.2
1,Retail,start,persona_x_initial_plan,106,8,98,77,8,47,2,7.5,10.4,4.3
1,Wholesale,business,persona_x_initial_plan,2,0,2,1,0,0,0,0.0,0.0,
