segment_level,segment_name,eligible_companies,top_20pct_companies,segment_revenue,average_first3_full_month_revenue,segment_top_20pct_penetration_pct,share_of_all_top_20pct_revenue_pct,company_representation_index,revenue_opportunity_rank
initial_plan,start,4012,775,490328.41435340808305014889,122.21545721670192,19.32,39.7,0.97,1
initial_plan,plus,1286,560,313731.15183375395610330588,243.9589050029191,43.55,33.42,2.18,2
initial_plan,free,3594,344,217993.78431532312115102546,60.65492051066308,9.57,17.2,0.48,3
initial_plan,business,196,139,76382.66965657827292002571,389.7074982478484,70.92,9.67,3.55,4
persona,BTP,1642,482,293676.09948692293064312804,178.85267934648166,29.35,30.28,1.47,1
persona,Consultant,1585,274,174115.11046255930138266334,109.8518047082393,17.29,14.91,0.86,2
persona,Retail,1254,200,133929.25003784307678748407,106.80163479891792,15.95,11.57,0.8,3
persona,Others,1441,222,134482.74960873033784418024,93.32598862507311,15.41,10.68,0.77,4
persona,Automobile_Trade_Repair,396,108,63502.51279402257454652717,160.3598807929863,27.27,6.45,1.36,5
persona,Developer_IT,763,157,77016.91651754510780763205,100.93960225104207,20.58,6.35,1.03,6
persona,Bikers_Drivers,563,95,54449.61340119415476091408,96.71334529519388,16.87,4.5,0.84,7
persona,Wholesale,210,58,36854.42561200011551329751,175.49726481904816,27.62,3.79,1.38,8
persona,Restauration,246,67,36206.18962163501970621709,147.17963260827244,27.24,3.65,1.36,9
persona,Media_Publishing,337,55,31459.81495497727982546420,93.35256663198005,16.32,2.61,0.82,10
persona,Professeur,278,37,22555.18126792262157515393,81.13374556806698,13.31,1.73,0.67,11
persona,Bankers_Insurance,133,25,16437.71108719194273398467,123.59181268565371,18.8,1.61,0.94,12
persona,Medical_Professionals,101,12,10660.01375697798987957817,105.5446906631484,11.88,0.76,0.59,13
persona,Cleaning_CallCenters,44,10,4669.45463191278453117288,106.12396890710875,22.73,0.47,1.14,14
persona,Repair_Installation,26,10,4636.44680588165111283800,178.32487714929428,38.46,0.46,1.92,15
persona,Repair,69,6,3784.53011174654457427050,54.848262489080355,8.7,0.19,0.43,16
