segment_level,persona,initial_subscription_group,eligible_signups_30d,total_funnel_dropout_30d_pct,pre_activation_closure_30d_pct,april_new_companies,april_active_at_start,april_churned,april_logo_churn_rate_pct,april_revenue_companies,april_total_revenue,april_revenue_per_company,age_3_companies,observed_ltv_proxy_at_age_3
initial_plan,ALL,start,13196,59.6,5.7,2130,6342,98,1.55,7316,287314.90,39.27,4012,147.73
initial_plan,ALL,plus,4261,62.0,4.4,622,1806,45,2.49,2027,168811.34,83.28,1286,287.26
initial_plan,ALL,free,13476,65.8,4.8,2411,5653,75,1.33,6525,138639.68,21.25,3594,80.72
initial_plan,ALL,business,948,73.3,4.2,149,230,19,8.26,262,43311.68,165.31,196,477.44
persona,BTP,ALL,6056,64.7,2.8,1025,2519,48,1.91,2895,153504.47,53.02,1642,211.38
persona,Consultant,ALL,4626,56.5,1.8,757,2503,28,1.12,2866,107111.76,37.37,1585,137.04
persona,Others,ALL,6773,71.4,14.6,1267,2286,38,1.66,2678,84734.81,31.64,1441,114.02
persona,Retail,ALL,4070,59.1,2.6,636,1875,31,1.65,2165,74884.04,34.59,1254,134.43
persona,Developer_IT,ALL,2247,58.0,2.2,348,1186,26,2.19,1336,54751.79,40.98,763,134.21
persona,Automobile_Trade_Repair,ALL,1346,61.7,2.7,187,598,11,1.84,657,32363.71,49.26,396,190.77
persona,Bikers_Drivers,ALL,2107,66.1,2.6,361,794,19,2.39,881,30882.18,35.05,563,123.32
persona,Restauration,ALL,868,64.5,1.6,107,375,5,1.33,431,22430.19,52.04,246,179.94
persona,Media_Publishing,ALL,884,51.7,2.3,141,532,4,0.75,613,20883.67,34.07,337,116.11
persona,Wholesale,ALL,923,69.4,2.7,128,342,10,2.92,400,19805.37,49.51,210,201.98
persona,Professeur,ALL,838,58.5,2.9,170,432,7,1.62,508,12188.00,23.99,278,94.59
persona,Bankers_Insurance,ALL,367,51.5,3.5,72,211,3,1.42,257,11431.77,44.48,133,159.09
persona,Medical_Professionals,ALL,334,49.7,6.9,45,173,4,2.31,213,6738.55,31.64,101,117.16
persona,Cleaning_CallCenters,ALL,162,53.7,0.0,21,81,1,1.23,89,2376.38,26.7,44,137.71
persona,Repair,ALL,213,60.6,4.7,35,92,2,2.17,104,2022.79,19.45,69,70.08
persona,Repair_Installation,ALL,67,70.1,3.0,12,32,0,0.0,37,1968.13,53.19,26,203.25
