persona,initial_subscription_group,segment_level,revenue_companies,top_10pct_companies,segment_total_revenue,top_10pct_revenue,segment_top_10pct_penetration_pct,top_10pct_company_mix_pct,base_revenue_company_mix_pct,company_representation_index,top_10pct_share_of_segment_revenue_pct,share_of_all_top_10pct_revenue_pct
ALL,start,initial_plan,7842,719,1045961.90722585739712598476,519728.55766750659724703512,9.17,40.92,44.64,0.92,49.69,39.05
ALL,plus,initial_plan,2271,568,634190.98774683042319564342,443177.54987653368132001678,25.01,32.33,12.93,2.5,69.88,33.3
ALL,free,initial_plan,7107,323,511278.14956942753711959201,236068.31999818356477606253,4.54,18.38,40.45,0.45,46.17,17.74
ALL,business,initial_plan,348,147,159400.52506746736332713844,131791.29354694635792559452,42.24,8.37,1.98,4.22,82.68,9.9
ALL,ALL,overall,17568,1757,2350831.56960958272076835863,1330765.72108917020126870895,10.0,100.0,100.0,1.0,56.61,100.0
BTP,ALL,persona,3133,472,597574.14285780026664571493,393218.21557200639364200345,15.07,26.86,17.83,1.51,65.8,29.55
Consultant,ALL,persona,3065,286,384737.73017299417621775337,214037.70758492256132389653,9.33,16.28,17.45,0.93,55.63,16.08
Retail,ALL,persona,2396,204,291984.67002050045097877659,163838.07934429131629288789,8.51,11.61,13.64,0.85,56.11,12.31
Others,ALL,persona,2929,189,295546.58652269588646269302,131155.29885303129865112231,6.45,10.76,16.67,0.65,44.38,9.86
Developer_IT,ALL,persona,1429,167,184854.23736698044952223694,99397.01676924822551924815,11.69,9.5,8.13,1.17,53.77,7.47
Automobile_Trade_Repair,ALL,persona,736,107,128453.67403990740925636421,84740.71840060425145910581,14.54,6.09,4.19,1.45,65.97,6.37
Bikers_Drivers,ALL,persona,1043,79,115859.07081072195873283228,50757.50190334362264460380,7.57,4.5,5.94,0.76,43.81,3.81
Restauration,ALL,persona,469,58,75518.10489373926102290519,45119.30084743291289670650,12.37,3.3,2.67,1.24,59.75,3.39
Wholesale,ALL,persona,432,58,72476.35167534423521237810,46458.22832535383758865906,13.43,3.3,2.46,1.34,64.1,3.49
Media_Publishing,ALL,persona,646,52,72077.45712755294756564133,39189.03639009877601306420,8.05,2.96,3.68,0.8,54.37,2.94
Bankers_Insurance,ALL,persona,274,31,40945.84720717612405892190,26473.64901694359806455983,11.31,1.76,1.56,1.13,64.66,1.99
Professeur,ALL,persona,543,25,44232.18846712606142061367,16438.91705845217388632402,4.6,1.42,3.09,0.46,37.17,1.24
Medical_Professionals,ALL,persona,222,13,22398.07407799487757127998,10957.11954951584051606500,5.86,0.74,1.26,0.59,48.92,0.82
Cleaning_CallCenters,ALL,persona,94,7,9945.62975790755358501655,4199.75536119104966917940,7.45,0.4,0.54,0.74,42.23,0.32
Repair_Installation,ALL,persona,38,7,6850.23972786855200456470,3949.74393357111428208300,18.42,0.4,0.22,1.84,57.66,0.3
Repair,ALL,persona,119,2,7377.56488327251051066587,835.43217916322881920000,1.68,0.11,0.68,0.17,11.32,0.06
BTP,plus,persona_x_initial_plan,607,168,183930.98840290062003172416,130474.33901708254890072439,27.68,9.56,3.46,2.77,70.94,9.8
BTP,start,persona_x_initial_plan,1250,160,209827.69375224051539251615,117500.87835247498633910244,12.8,9.11,7.12,1.28,56.0,8.83
Consultant,start,persona_x_initial_plan,1411,147,207650.32237535012524764015,112538.23115668351570351393,10.42,8.37,8.03,1.04,54.2,8.46
BTP,free,persona_x_initial_plan,1172,95,139877.80260346101175142653,89999.85516865091569213083,8.11,5.41,6.67,0.81,64.34,6.76
Retail,start,persona_x_initial_plan,1097,95,148614.57127777996334894575,80214.54505592648665119132,8.66,5.41,6.24,0.87,53.97,6.03
Developer_IT,start,persona_x_initial_plan,637,83,92230.64279083792443861792,46959.16412873538825600169,13.03,4.72,3.63,1.3,50.91,3.53
Others,start,persona_x_initial_plan,1316,74,134926.28023499978291985483,51256.38028730876349936620,5.62,4.21,7.49,0.56,37.99,3.85
Retail,plus,persona_x_initial_plan,285,72,81484.35125746845981115598,58411.14784082093852199011,25.26,4.1,1.62,2.53,71.68,4.39
Others,plus,persona_x_initial_plan,397,66,81530.04034878401145381362,48783.07281186231310264340,16.62,3.76,2.26,1.66,59.83,3.67
Consultant,plus,persona_x_initial_plan,232,65,68907.25564879686495456878,50285.36792214405782332040,28.02,3.7,1.32,2.8,72.98,3.78
Consultant,free,persona_x_initial_plan,1391,58,97410.76522515495923749058,42407.18373195896760227664,4.17,3.3,7.92,0.42,43.53,3.19
BTP,business,persona_x_initial_plan,104,49,63937.65809919811947004809,55243.14303379794271004579,47.12,2.79,0.59,4.71,86.4,4.15
Developer_IT,free,persona_x_initial_plan,654,49,57154.55104960445693379045,29131.56907848509891382197,7.49,2.79,3.72,0.75,50.97,2.19
Automobile_Trade_Repair,plus,persona_x_initial_plan,161,48,51099.58327347322455417692,38947.06606928266358458500,29.81,2.73,0.92,2.98,76.22,2.93
Automobile_Trade_Repair,start,persona_x_initial_plan,347,37,48064.13773118562725463874,25964.83544219055758760530,10.66,2.11,1.98,1.07,54.02,1.95
Bikers_Drivers,plus,persona_x_initial_plan,172,33,33809.16052507498832279233,17488.52251850160855138370,19.19,1.88,0.98,1.92,51.73,1.31
Media_Publishing,start,persona_x_initial_plan,313,29,43025.88802878831939898980,22433.60177819565140219420,9.27,1.65,1.78,0.93,52.14,1.69
