reporting_month,persona,initial_subscription_group,segment_level,revenue_companies_two_months_prior,confirmed_two_month_inactive_companies,base_month_revenue,revenue_from_confirmed_inactive_companies,confirmed_two_month_inactivity_rate_pct,confirmed_two_month_revenue_rate_pct
2025-12-01,ALL,business,initial_plan,28,3,1802.48041352295706503951,444.05139485054261270000,10.71,24.64
2025-12-01,ALL,free,initial_plan,408,14,11132.18962929544522884208,710.96507239491123275950,3.43,6.39
2025-12-01,ALL,plus,initial_plan,210,10,8606.70509217430842841483,321.70250932088662823800,4.76,3.74
2025-12-01,ALL,start,initial_plan,547,8,14063.50712963112283309501,141.13672151154975020772,1.46,1.0
2025-12-01,ALL,ALL,overall,1193,35,35604.88226462383355539143,1617.85569807789022390522,2.93,4.54
2025-12-01,Automobile_Trade_Repair,ALL,persona,53,0,3486.51424778167305425006,,0.0,
2025-12-01,BTP,ALL,persona,239,11,7075.62178786533623010768,679.70207088410078278530,4.6,9.61
2025-12-01,Bankers_Insurance,ALL,persona,15,0,720.01274181904369897220,,0.0,
2025-12-01,Bikers_Drivers,ALL,persona,99,6,2988.00434419634512636350,383.55544849620248508782,6.06,12.84
2025-12-01,Cleaning_CallCenters,ALL,persona,6,0,149.24100030520547723484,,0.0,
2025-12-01,Consultant,ALL,persona,202,3,5059.52903145220695517783,7.54414354002697987000,1.49,0.15
2025-12-01,Developer_IT,ALL,persona,90,6,3284.30133045510412427440,146.83888604572108425880,6.67,4.47
2025-12-01,Media_Publishing,ALL,persona,34,1,710.88591607028441105265,118.04837347945205480000,2.94,16.61
2025-12-01,Medical_Professionals,ALL,persona,14,0,25.76206821898285485943,,0.0,
2025-12-01,Others,ALL,persona,191,6,4970.94465112956174690856,134.56704717009429742330,3.14,2.71
2025-12-01,Professeur,ALL,persona,34,0,207.23198315856786538550,,0.0,
2025-12-01,Repair,ALL,persona,8,0,177.10865082377769404280,,0.0,
2025-12-01,Restauration,ALL,persona,28,0,1217.39735617144830753890,,0.0,
2025-12-01,Retail,ALL,persona,157,2,5076.46450528032988220562,147.59972846229253968000,1.27,2.91
2025-12-01,Wholesale,ALL,persona,23,0,455.86264989596612701746,,0.0,
2025-12-01,Automobile_Trade_Repair,business,persona_x_initial_plan,5,0,129.54446276924893101680,,0.0,
2025-12-01,Automobile_Trade_Repair,free,persona_x_initial_plan,15,0,456.78125388634078392486,,0.0,
2025-12-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,0,529.20196269822303578200,,0.0,
2025-12-01,Automobile_Trade_Repair,start,persona_x_initial_plan,22,0,2370.98656842786030352640,,0.0,
2025-12-01,BTP,business,persona_x_initial_plan,8,1,743.89655500790343935000,167.50347587832482910000,12.5,22.52
2025-12-01,BTP,free,persona_x_initial_plan,73,4,2057.96252622807252244390,280.33120024070823456650,5.48,13.62
2025-12-01,BTP,plus,persona_x_initial_plan,67,4,2114.27796744281269514613,231.82316681986223967100,5.97,10.96
2025-12-01,BTP,start,persona_x_initial_plan,91,2,2159.48473918654757316765,0.04422794520547944780,2.2,0.0
2025-12-01,Bankers_Insurance,free,persona_x_initial_plan,8,0,299.11712315013698272220,,0.0,
2025-12-01,Bankers_Insurance,start,persona_x_initial_plan,7,0,420.89561866890671625000,,0.0,
2025-12-01,Bikers_Drivers,business,persona_x_initial_plan,5,0,297.18655090650905367970,,0.0,
2025-12-01,Bikers_Drivers,free,persona_x_initial_plan,35,1,1000.84366750082648500702,165.20903525587917430000,2.86,16.51
2025-12-01,Bikers_Drivers,plus,persona_x_initial_plan,26,3,775.16200376528228401490,85.52381029221359550920,11.54,11.03
