persona,initial_subscription_group,segment_level,companies,active_companies,continuously_active_companies,reactivated_active_companies,active_share_pct,continuously_active_share_pct,reactivated_active_share_pct,average_current_streak_among_active,total_revenue,monthly_revenue_per_original_activated_company
ALL,business,initial_plan,196,137,137,0,69.9,69.9,0.0,4.0,24942.79402253310268458340,127.2591531761893
ALL,free,initial_plan,3594,3246,3197,49,90.32,88.95,1.36,3.96,77453.74457453542295802717,21.550847127027104
ALL,plus,initial_plan,1286,1109,1094,15,86.24,85.07,1.17,3.97,103400.83846520645186563751,80.40500658258667
ALL,start,initial_plan,4012,3676,3649,27,91.63,90.95,0.67,3.98,170886.65409616751676683051,42.593881878406656
ALL,ALL,overall,9088,8168,8077,91,89.88,88.88,1.0,3.97,376684.03115844249427507859,41.44850694965256
Automobile_Trade_Repair,ALL,persona,396,345,343,2,87.12,86.62,0.51,3.99,20980.33635753623224747377,52.980647367515736
BTP,ALL,persona,1642,1486,1474,12,90.5,89.77,0.73,3.98,93591.28159329095706021075,56.99834445389218
Bankers_Insurance,ALL,persona,133,119,117,2,89.47,87.97,1.5,3.96,5077.46971236931081539648,38.17646400277677
Bikers_Drivers,ALL,persona,563,453,444,9,80.46,78.86,1.6,3.95,19818.67291461460079907216,35.20190570979503
Cleaning_CallCenters,ALL,persona,44,42,42,0,95.45,95.45,0.0,4.0,1209.54881817095709864030,27.48974586752175
Consultant,ALL,persona,1585,1467,1457,10,92.56,91.92,0.63,3.98,61661.33522396517233558489,38.90305061448907
Developer_IT,ALL,persona,763,701,690,11,91.87,90.43,1.44,3.96,28326.46672309104579034889,37.12512021374973
Media_Publishing,ALL,persona,337,320,311,9,94.96,92.28,2.67,3.94,11218.49615838902330297818,33.2893061079793
Medical_Professionals,ALL,persona,101,97,96,1,96.04,95.05,0.99,3.97,4375.04734303780019592410,43.31730042611684
Others,ALL,persona,1441,1284,1272,12,89.1,88.27,0.83,3.98,46160.43373598066579893079,32.0336111977659
Professeur,ALL,persona,278,259,255,4,93.17,91.73,1.44,3.96,8228.14883120835381772810,29.597657666217096
Repair,ALL,persona,69,56,56,0,81.16,81.16,0.0,4.0,1216.82939782465568147440,17.635208664125443
Repair_Installation,ALL,persona,26,26,26,0,100.0,100.0,0.0,4.0,1831.97895762136454454700,70.46072913928325
Restauration,ALL,persona,246,219,215,4,89.02,87.4,1.63,3.95,12733.78450199433376998033,51.76335163412331
Retail,ALL,persona,1254,1107,1094,13,88.28,87.24,1.04,3.97,46987.82301246843117031128,37.47035327948041
Wholesale,ALL,persona,210,187,185,2,89.05,88.1,0.95,3.97,13266.37787687958984647717,63.1732279851409
Automobile_Trade_Repair,business,persona_x_initial_plan,17,14,14,0,82.35,82.35,0.0,4.0,2471.93222552273497927837,145.40777797192558
Automobile_Trade_Repair,free,persona_x_initial_plan,116,104,103,1,89.66,88.79,0.86,3.98,1667.44441411835177477606,14.3745208113651
Automobile_Trade_Repair,plus,persona_x_initial_plan,100,86,85,1,86.0,85.0,1.0,3.97,9383.39713137954890285323,93.83397131379549
Automobile_Trade_Repair,start,persona_x_initial_plan,163,141,141,0,86.5,86.5,0.0,4.0,7457.56258651559659056611,45.75191770868464
BTP,business,persona_x_initial_plan,56,44,44,0,78.57,78.57,0.0,4.0,9558.34922700874125567179,170.68480762515608
BTP,free,persona_x_initial_plan,586,535,527,8,91.3,89.93,1.37,3.96,20928.76910231146606818795,35.714623041487144
BTP,plus,persona_x_initial_plan,348,310,308,2,89.08,88.51,0.57,3.99,29841.97449579054721522757,85.75280027526019
BTP,start,persona_x_initial_plan,652,597,595,2,91.56,91.26,0.31,3.99,33262.18876818020252112344,51.01562694506166
