persona,initial_subscription_group,segment_level,eligible_companies,top_10pct_companies,segment_revenue,top_10pct_revenue,segment_top_10pct_penetration_pct,top_10pct_company_mix_pct,base_company_mix_pct,company_representation_index,share_of_all_top_10pct_revenue_pct
ALL,start,initial_plan,4012,360,592712.39207429053097267736,256120.30679085228555363783,8.97,39.6,44.15,0.9,38.36
ALL,plus,initial_plan,1286,319,369413.62061537851499119754,233296.41916677845696162667,24.81,35.09,14.15,2.48,34.94
ALL,free,initial_plan,3594,144,290124.13857219247722355711,107278.66460609345164625879,4.01,15.84,39.55,0.4,16.07
ALL,business,initial_plan,196,86,93577.77577093821424467150,71035.77536240681172478870,43.88,9.46,2.16,4.39,10.64
ALL,ALL,overall,9088,909,1345827.92703279973743210351,667731.16592613100588631199,10.0,100.0,100.0,1.0,100.0
BTP,ALL,persona,1642,265,347088.01892371928426179907,213250.65152276110118626242,16.14,29.15,18.07,1.61,31.94
Consultant,ALL,persona,1585,139,217206.51460247821623578544,102981.08578403126041832444,8.77,15.29,17.44,0.88,15.42
Retail,ALL,persona,1254,104,168570.77912833359822450042,79293.14107811994872914359,8.29,11.44,13.8,0.83,11.88
Others,ALL,persona,1441,97,164305.47295276827952148582,62276.88653077454232134440,6.73,10.67,15.86,0.67,9.33
Developer_IT,ALL,persona,763,69,102405.62869155670950824259,40651.10266516010156865890,9.04,7.59,8.4,0.9,6.09
Automobile_Trade_Repair,ALL,persona,396,63,75544.77632128346278340974,45414.51385705970112444610,15.91,6.93,4.36,1.59,6.8
Bikers_Drivers,ALL,persona,563,42,69429.40964675161814383144,26824.79241939759059052860,7.46,4.62,6.19,0.75,4.02
Restauration,ALL,persona,246,36,44264.89415324365055796559,25009.06562595642505213700,14.63,3.96,2.71,1.46,3.75
Wholesale,ALL,persona,210,28,42415.99632784212202135619,24270.77865044264459307966,13.33,3.08,2.31,1.33,3.63
Media_Publishing,ALL,persona,337,24,39129.74762969449288326435,16315.82264899589640527700,7.12,2.64,3.71,0.71,2.44
Bankers_Insurance,ALL,persona,133,16,21158.67622200050913042591,12295.11637582890394531400,12.03,1.76,1.46,1.2,1.84
Professeur,ALL,persona,278,12,26295.13680882584251231327,8715.88444866379636834548,4.32,1.32,3.06,0.43,1.31
Cleaning_CallCenters,ALL,persona,44,5,6059.06288415851939869262,2998.70209892728349714840,11.36,0.55,0.48,1.14,0.45
Medical_Professionals,ALL,persona,101,5,11833.37642834858000317047,5021.90421639559876321900,4.95,0.55,1.11,0.49,0.75
Repair_Installation,ALL,persona,26,4,5284.58964821007598008400,2411.71800361621132308300,15.38,0.44,0.29,1.54,0.36
Repair,ALL,persona,69,0,4835.84666358477626577659,,0.0,0.0,0.76,0.0,0.0
BTP,plus,persona_x_initial_plan,348,100,110926.98416576917194601753,74202.90440103447426613700,28.74,11.0,3.83,2.87,11.11
BTP,start,persona_x_initial_plan,652,85,120446.76106966168002798826,61130.27342696729677236690,13.04,9.35,7.17,1.3,9.15
Consultant,start,persona_x_initial_plan,735,71,117386.61466546121455782353,53890.13464142808381502893,9.66,7.81,8.09,0.97,8.07
BTP,free,persona_x_initial_plan,586,52,80111.00004436967887430409,48799.41469275081861170583,8.87,5.72,6.45,0.89,7.31
Retail,start,persona_x_initial_plan,577,51,86314.00345952415596633861,41567.64630413700123484190,8.84,5.61,6.35,0.88,6.23
Consultant,plus,persona_x_initial_plan,122,37,39004.42807190964664844221,26270.00246895324566520240,30.33,4.07,1.34,3.03,3.93
Retail,plus,persona_x_initial_plan,173,37,46732.19194266145785214212,26921.25112644622697517169,21.39,4.07,1.9,2.14,4.03
Developer_IT,start,persona_x_initial_plan,364,36,50737.68618920601385624018,19071.56409939500878294700,9.89,3.96,4.01,0.99,2.86
Others,start,persona_x_initial_plan,628,36,72675.90166557227058619155,22852.08110152900127471980,5.73,3.96,6.91,0.57,3.42
Others,plus,persona_x_initial_plan,214,34,45279.01011108816369848771,24014.21295133634808237520,15.89,3.74,2.35,1.59,3.6
