persona,revenue_companies,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,average_revenue_per_company,median_revenue_per_company,total_revenue_share_pct
BTP,2895,30145.37,74729.83,5405.38,43223.90,153504.47,53.02,19.04,24.1
Consultant,2866,19250.53,35488.84,6696.42,45675.97,107111.76,37.37,12.48,16.8
Others,2678,22130.08,34375.40,10217.02,18012.30,84734.81,31.64,12.42,13.3
Retail,2165,16448.28,34273.41,7491.58,16670.76,74884.04,34.59,11.60,11.7
Developer_IT,1336,9027.19,15719.15,6585.00,23420.45,54751.79,40.98,13.97,8.6
Automobile_Trade_Repair,657,7886.67,18539.12,1996.46,3941.46,32363.71,49.26,17.00,5.1
Bikers_Drivers,881,8831.22,15816.32,2743.38,3491.27,30882.18,35.05,14.99,4.8
Restauration,431,4034.50,12439.80,3367.18,2588.71,22430.19,52.04,18.07,3.5
Media_Publishing,613,3886.23,6635.38,3361.72,7000.34,20883.67,34.07,11.21,3.3
Wholesale,400,4811.54,8896.84,1698.48,4398.51,19805.37,49.51,17.97,3.1
Professeur,508,3490.55,3999.10,1119.30,3579.04,12188.00,23.99,11.78,1.9
Bankers_Insurance,257,1219.76,1877.36,1428.06,6906.59,11431.77,44.48,11.27,1.8
Medical_Professionals,213,1220.94,2162.91,311.40,3043.30,6738.55,31.64,13.30,1.1
Cleaning_CallCenters,89,863.22,912.08,25.60,575.48,2376.38,26.7,12.56,0.4
Repair,104,600.82,982.33,66.34,373.29,2022.79,19.45,9.08,0.3
Repair_Installation,37,394.65,1056.59,16.80,500.09,1968.13,53.19,29.03,0.3
