activation_month,observation_month,months_since_activation,segment_level,persona,initial_subscription_group,activated_cohort_size,active_companies,at_risk_companies,churned_proxy_companies,never_monetized_companies,active_share_pct,at_risk_share_pct,churned_proxy_share_pct,never_monetized_share_pct,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,revenue_per_original_activated_company
2025-10-01,2025-10-01,0,initial_plan,ALL,business,28,28,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,1219.45155582925844833000,398.00000000000000000000,185.02885769369861670951,1802.48041352295706503951,64.37430048296275
2025-10-01,2025-10-01,0,initial_plan,ALL,free,409,408,0,0,1,99.76,0.0,0.0,0.24,0.00000000000000000000,2284.29594601270553887600,7688.00000000000000000000,1159.89368328273968996608,11132.18962929544522884208,27.218067553289593
2025-10-01,2025-10-01,0,initial_plan,ALL,plus,211,210,0,0,1,99.53,0.0,0.0,0.47,146.30208333200000000000,3487.93497582367831999000,4306.68000000000000000000,665.78803301863010842483,8606.70509217430842841483,40.790071526892454
2025-10-01,2025-10-01,0,initial_plan,ALL,start,548,547,0,0,1,99.82,0.0,0.0,0.18,444.70900537700000000000,4839.88583439878039110400,6779.06000000000000000000,1999.85228985534244199101,14063.50712963112283309501,25.663334178158983
2025-10-01,2025-10-01,0,overall,ALL,ALL,1196,1193,0,0,3,99.75,0.0,0.0,0.25,591.01108870900000000000,11831.56831206442269830000,19171.74000000000000000000,4010.56286385041085709143,35604.88226462383355539143,29.769968448682135
2025-10-01,2025-10-01,0,persona,Automobile_Trade_Repair,ALL,53,53,0,0,0,100.0,0.0,0.0,0.0,16.87500000000000000000,2482.76418829728949583000,840.00000000000000000000,146.87505948438355842006,3486.51424778167305425006,65.78328769399383
2025-10-01,2025-10-01,0,persona,BTP,ALL,240,239,0,0,1,99.58,0.0,0.0,0.42,72.03125000000000000000,3541.44714571629516714300,1590.00000000000000000000,1872.14339214904106296468,7075.62178786533623010768,29.4817574494389
2025-10-01,2025-10-01,0,persona,Bankers_Insurance,ALL,15,15,0,0,0,100.0,0.0,0.0,0.0,20.46875000000000000000,252.53642193246836006000,419.06000000000000000000,27.94756988657533891220,720.01274181904369897220,48.000849454602914
2025-10-01,2025-10-01,0,persona,Bikers_Drivers,ALL,100,99,0,0,1,99.0,0.0,0.0,1.0,30.46875000000000000000,1167.39876211141362225300,1666.00000000000000000000,124.13683208493150411050,2988.00434419634512636350,29.88004344196345
2025-10-01,2025-10-01,0,persona,Cleaning_CallCenters,ALL,6,6,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,138.00000000000000000000,11.24100030520547723484,149.24100030520547723484,24.87350005086758
2025-10-01,2025-10-01,0,persona,Consultant,ALL,202,202,0,0,0,100.0,0.0,0.0,0.0,168.32358871000000000000,807.83394392028917436100,3388.00000000000000000000,695.37149882191778081683,5059.52903145220695517783,25.047173423030728
2025-10-01,2025-10-01,0,persona,Developer_IT,ALL,91,90,0,0,1,98.9,0.0,0.0,1.1,103.79166666600000000000,403.73032400499453243000,2618.00000000000000000000,158.77933978410959184440,3284.30133045510412427440,36.09122341159455
2025-10-01,2025-10-01,0,persona,Media_Publishing,ALL,34,34,0,0,0,100.0,0.0,0.0,0.0,26.37500000000000000000,194.73845406206524177000,256.00000000000000000000,233.77246200821916928265,710.88591607028441105265,20.908409296184836
2025-10-01,2025-10-01,0,persona,Medical_Professionals,ALL,14,14,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,7.02409007870888260000,4.00000000000000000000,14.73797814027397225943,25.76206821898285485943,1.8401477299273468
2025-10-01,2025-10-01,0,persona,Others,ALL,191,191,0,0,0,100.0,0.0,0.0,0.0,38.37500000000000000000,1564.47165264189053427300,3090.00000000000000000000,278.09799848767121263556,4970.94465112956174690856,26.025888225809226
2025-10-01,2025-10-01,0,persona,Professeur,ALL,34,34,0,0,0,100.0,0.0,0.0,0.0,17.15625000000000000000,32.95733241993773031000,122.00000000000000000000,35.11840073863013507550,207.23198315856786538550,6.095058328193172
2025-10-01,2025-10-01,0,persona,Repair,ALL,8,8,0,0,0,100.0,0.0,0.0,0.0,7.21875000000000000000,160.49577944514755671000,4.00000000000000000000,5.39412137863013733280,177.10865082377769404280,22.138581352972214
2025-10-01,2025-10-01,0,persona,Restauration,ALL,28,28,0,0,0,100.0,0.0,0.0,0.0,8.75000000000000000000,224.73137415774967698000,897.34000000000000000000,86.57598201369863055890,1217.39735617144830753890,43.47847700612316
2025-10-01,2025-10-01,0,persona,Retail,ALL,157,157,0,0,0,100.0,0.0,0.0,0.0,64.86458333300000000000,896.90945574952166740000,3863.34000000000000000000,251.35046619780821480562,5076.46450528032988220562,32.334168823441594
2025-10-01,2025-10-01,0,persona,Wholesale,ALL,23,23,0,0,0,100.0,0.0,0.0,0.0,16.31250000000000000000,94.52938752665105618000,276.00000000000000000000,69.02076236931507083746,455.86264989596612701746,19.820115212868092
2025-10-01,2025-10-01,0,persona_x_initial_plan,Automobile_Trade_Repair,business,5,5,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,115.10495104322153423000,0.00000000000000000000,14.43951172602739678680,129.54446276924893101680,25.908892553849785
2025-10-01,2025-10-01,0,persona_x_initial_plan,Automobile_Trade_Repair,free,15,15,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,155.92155986880653430000,264.00000000000000000000,36.85969401753424962486,456.78125388634078392486,30.452083592422717
2025-10-01,2025-10-01,0,persona_x_initial_plan,Automobile_Trade_Repair,plus,11,11,0,0,0,100.0,0.0,0.0,0.0,16.87500000000000000000,302.65077066863400030000,138.00000000000000000000,71.67619202958903548200,529.20196269822303578200,48.1092693362021
2025-10-01,2025-10-01,0,persona_x_initial_plan,Automobile_Trade_Repair,start,22,22,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,1909.08690671662742700000,438.00000000000000000000,23.89966171123287652640,2370.98656842786030352640,107.77211674672093
2025-10-01,2025-10-01,0,persona_x_initial_plan,BTP,business,8,8,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,669.85667136297194200000,0.00000000000000000000,74.03988364493149735000,743.89655500790343935000,92.98706937598793
2025-10-01,2025-10-01,0,persona_x_initial_plan,BTP,free,73,73,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,863.72852959903144439300,540.00000000000000000000,654.23399662904107805090,2057.96252622807252244390,28.191267482576336
2025-10-01,2025-10-01,0,persona_x_initial_plan,BTP,plus,68,67,0,0,1,98.53,0.0,0.0,1.47,5.62500000000000000000,1436.89313033541545307000,378.00000000000000000000,293.75983710739724207613,2114.27796744281269514613,31.092323050629595
2025-10-01,2025-10-01,0,persona_x_initial_plan,BTP,start,91,91,0,0,0,100.0,0.0,0.0,0.0,66.40625000000000000000,570.96881441887632768000,672.00000000000000000000,850.10967476767124548765,2159.48473918654757316765,23.7306015295225
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bankers_Insurance,free,8,8,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,276.00000000000000000000,23.11712315013698272220,299.11712315013698272220,37.389640393767124
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bankers_Insurance,start,7,7,0,0,0,100.0,0.0,0.0,0.0,20.46875000000000000000,252.53642193246836006000,143.06000000000000000000,4.83044673643835619000,420.89561866890671625000,60.12794552412953
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bikers_Drivers,business,5,5,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,87.70934475144056100000,138.00000000000000000000,71.47720615506849267970,297.18655090650905367970,59.43731018130181
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bikers_Drivers,free,36,35,0,0,1,97.22,0.0,0.0,2.78,0.00000000000000000000,222.78137949479908834000,760.00000000000000000000,18.06228800602739666702,1000.84366750082648500702,27.80121298613407
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bikers_Drivers,plus,26,26,0,0,0,100.0,0.0,0.0,0.0,16.25000000000000000000,617.12767549788502549000,118.00000000000000000000,23.78432826739725852490,775.16200376528228401490,29.813923221741625
2025-10-01,2025-10-01,0,persona_x_initial_plan,Bikers_Drivers,start,33,33,0,0,0,100.0,0.0,0.0,0.0,14.21875000000000000000,239.78036236728894742300,650.00000000000000000000,10.81300965643835623888,914.81212202372730366188,27.721579455264465
2025-10-01,2025-10-01,0,persona_x_initial_plan,Cleaning_CallCenters,free,4,4,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,138.00000000000000000000,1.62245045698630113484,139.62245045698630113484,34.90561261424658
2025-10-01,2025-10-01,0,persona_x_initial_plan,Cleaning_CallCenters,start,2,2,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,9.61854984821917610000,9.61854984821917610000,4.809274924109588
2025-10-01,2025-10-01,0,persona_x_initial_plan,Consultant,business,2,2,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4.81070023616438436301,4.81070023616438436301,2.4053501180821923
2025-10-01,2025-10-01,0,persona_x_initial_plan,Consultant,free,80,80,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,260.70444103746833117300,2062.00000000000000000000,160.75720237369861890528,2483.46164341116695007828,31.043270542639583
2025-10-01,2025-10-01,0,persona_x_initial_plan,Consultant,plus,15,15,0,0,0,100.0,0.0,0.0,0.0,17.50000000000000000000,123.16442603235815640000,142.00000000000000000000,48.40949322410959713040,331.07391925646775353040,22.07159461709785
2025-10-01,2025-10-01,0,persona_x_initial_plan,Consultant,start,105,105,0,0,0,100.0,0.0,0.0,0.0,150.82358871000000000000,423.96507685046268678800,1184.00000000000000000000,481.39410298794518041814,2240.18276854840786720614,21.33507398617531
2025-10-01,2025-10-01,0,persona_x_initial_plan,Developer_IT,free,35,35,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,22.08577237391380847000,816.00000000000000000000,67.86026224273973093470,905.94603461665353940470,25.88417241761867
2025-10-01,2025-10-01,0,persona_x_initial_plan,Developer_IT,plus,13,13,0,0,0,100.0,0.0,0.0,0.0,48.38541666600000000000,168.05071470680476960000,276.00000000000000000000,16.68922552547945126180,509.12535689828422086180,39.16348899217571
2025-10-01,2025-10-01,0,persona_x_initial_plan,Developer_IT,start,43,42,0,0,1,97.67,0.0,0.0,2.33,55.40625000000000000000,213.59383692427595436000,1526.00000000000000000000,74.22985201589040964790,1869.22993894016636400790,43.47046369628294
2025-10-01,2025-10-01,0,persona_x_initial_plan,Media_Publishing,free,15,15,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.80083658888885267000,256.00000000000000000000,8.37711434958903961299,265.17795093847789228299,17.678530062565194
2025-10-01,2025-10-01,0,persona_x_initial_plan,Media_Publishing,plus,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,26.91862734335986900000,0.00000000000000000000,59.69368183780821400000,86.61230918116808300000,86.61230918116809
2025-10-01,2025-10-01,0,persona_x_initial_plan,Media_Publishing,start,18,18,0,0,0,100.0,0.0,0.0,0.0,26.37500000000000000000,167.01899012981652010000,0.00000000000000000000,165.70166582082191566966,359.09565595063843576966,19.949758663924356
2025-10-01,2025-10-01,0,persona_x_initial_plan,Medical_Professionals,free,5,5,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,1.28789509909026000000,4.00000000000000000000,3.37116048712328764900,8.65905558621354764900,1.7318111172427095
2025-10-01,2025-10-01,0,persona_x_initial_plan,Medical_Professionals,plus,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.02746849315068492600,0.02746849315068492600,0.027468493150684926
2025-10-01,2025-10-01,0,persona_x_initial_plan,Medical_Professionals,start,8,8,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,5.73619497961862260000,0.00000000000000000000,11.33934915999999968443,17.07554413961862228443,2.1344430174523277
2025-10-01,2025-10-01,0,persona_x_initial_plan,Others,business,6,6,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,199.81001418193461110000,260.00000000000000000000,18.14254948328766763000,477.95256366522227873000,79.65876061087037
2025-10-01,2025-10-01,0,persona_x_initial_plan,Others,free,59,59,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,466.25487569216967860000,1146.00000000000000000000,94.97696213369862428093,1707.23183782586830288093,28.936132844506243
2025-10-01,2025-10-01,0,persona_x_initial_plan,Others,plus,34,34,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,304.64676862761222875000,778.00000000000000000000,35.64808926136985607427,1118.29485788898208482427,32.89102523202888
2025-10-01,2025-10-01,0,persona_x_initial_plan,Others,start,92,92,0,0,0,100.0,0.0,0.0,0.0,38.37500000000000000000,593.75999414017401582300,906.00000000000000000000,129.33039760931506465036,1667.46539174948908047336,18.12462382336401
2025-10-01,2025-10-01,0,persona_x_initial_plan,Professeur,free,12,12,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,1.09287098408516360000,122.00000000000000000000,5.17652300876712264650,128.26939399285228624650,10.689116166071024
2025-10-01,2025-10-01,0,persona_x_initial_plan,Professeur,plus,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.54936986301369872000,0.54936986301369872000,0.5493698630136987
2025-10-01,2025-10-01,0,persona_x_initial_plan,Professeur,start,21,21,0,0,0,100.0,0.0,0.0,0.0,17.15625000000000000000,31.86446143585256671000,0.00000000000000000000,29.39250786684931370900,78.41321930270188041900,3.7339628239381843
2025-10-01,2025-10-01,0,persona_x_initial_plan,Repair,free,3,3,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,133.81062820444026381000,4.00000000000000000000,0.73355484657534239280,138.54418305101560620280,46.181394350338536
