activation_month,observation_month,months_since_activation,persona,initial_subscription_group,segment_level,activated_cohort_size,active_companies,continuously_active_companies,reactivated_active_companies,active_share_pct,continuously_active_share_pct,reactivated_active_share_pct,average_current_streak_among_active,total_revenue,monthly_revenue_per_original_activated_company
2025-10-01,2025-10-01,0,ALL,business,initial_plan,28,28,28,0,100.0,100.0,0.0,1.0,1802.48041352295706503951,64.37430048296275
2025-10-01,2025-10-01,0,ALL,free,initial_plan,409,408,408,0,99.76,99.76,0.0,1.0,11132.18962929544522884208,27.218067553289593
2025-10-01,2025-10-01,0,ALL,plus,initial_plan,211,210,210,0,99.53,99.53,0.0,1.0,8606.70509217430842841483,40.790071526892454
2025-10-01,2025-10-01,0,ALL,start,initial_plan,548,547,547,0,99.82,99.82,0.0,1.0,14063.50712963112283309501,25.663334178158983
2025-10-01,2025-10-01,0,ALL,ALL,overall,1196,1193,1193,0,99.75,99.75,0.0,1.0,35604.88226462383355539143,29.769968448682135
2025-10-01,2025-10-01,0,Automobile_Trade_Repair,ALL,persona,53,53,53,0,100.0,100.0,0.0,1.0,3486.51424778167305425006,65.78328769399383
2025-10-01,2025-10-01,0,BTP,ALL,persona,240,239,239,0,99.58,99.58,0.0,1.0,7075.62178786533623010768,29.4817574494389
2025-10-01,2025-10-01,0,Bankers_Insurance,ALL,persona,15,15,15,0,100.0,100.0,0.0,1.0,720.01274181904369897220,48.000849454602914
2025-10-01,2025-10-01,0,Bikers_Drivers,ALL,persona,100,99,99,0,99.0,99.0,0.0,1.0,2988.00434419634512636350,29.88004344196345
2025-10-01,2025-10-01,0,Cleaning_CallCenters,ALL,persona,6,6,6,0,100.0,100.0,0.0,1.0,149.24100030520547723484,24.87350005086758
2025-10-01,2025-10-01,0,Consultant,ALL,persona,202,202,202,0,100.0,100.0,0.0,1.0,5059.52903145220695517783,25.047173423030728
2025-10-01,2025-10-01,0,Developer_IT,ALL,persona,91,90,90,0,98.9,98.9,0.0,1.0,3284.30133045510412427440,36.09122341159455
2025-10-01,2025-10-01,0,Media_Publishing,ALL,persona,34,34,34,0,100.0,100.0,0.0,1.0,710.88591607028441105265,20.908409296184836
2025-10-01,2025-10-01,0,Medical_Professionals,ALL,persona,14,14,14,0,100.0,100.0,0.0,1.0,25.76206821898285485943,1.8401477299273468
2025-10-01,2025-10-01,0,Others,ALL,persona,191,191,191,0,100.0,100.0,0.0,1.0,4970.94465112956174690856,26.025888225809226
2025-10-01,2025-10-01,0,Professeur,ALL,persona,34,34,34,0,100.0,100.0,0.0,1.0,207.23198315856786538550,6.095058328193172
2025-10-01,2025-10-01,0,Repair,ALL,persona,8,8,8,0,100.0,100.0,0.0,1.0,177.10865082377769404280,22.138581352972214
2025-10-01,2025-10-01,0,Restauration,ALL,persona,28,28,28,0,100.0,100.0,0.0,1.0,1217.39735617144830753890,43.47847700612316
2025-10-01,2025-10-01,0,Retail,ALL,persona,157,157,157,0,100.0,100.0,0.0,1.0,5076.46450528032988220562,32.334168823441594
2025-10-01,2025-10-01,0,Wholesale,ALL,persona,23,23,23,0,100.0,100.0,0.0,1.0,455.86264989596612701746,19.820115212868092
2025-10-01,2025-10-01,0,Automobile_Trade_Repair,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,129.54446276924893101680,25.908892553849785
2025-10-01,2025-10-01,0,Automobile_Trade_Repair,free,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,1.0,456.78125388634078392486,30.452083592422717
2025-10-01,2025-10-01,0,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,11,11,0,100.0,100.0,0.0,1.0,529.20196269822303578200,48.1092693362021
2025-10-01,2025-10-01,0,Automobile_Trade_Repair,start,persona_x_initial_plan,22,22,22,0,100.0,100.0,0.0,1.0,2370.98656842786030352640,107.77211674672093
2025-10-01,2025-10-01,0,BTP,business,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,1.0,743.89655500790343935000,92.98706937598793
2025-10-01,2025-10-01,0,BTP,free,persona_x_initial_plan,73,73,73,0,100.0,100.0,0.0,1.0,2057.96252622807252244390,28.191267482576336
2025-10-01,2025-10-01,0,BTP,plus,persona_x_initial_plan,68,67,67,0,98.53,98.53,0.0,1.0,2114.27796744281269514613,31.092323050629595
2025-10-01,2025-10-01,0,BTP,start,persona_x_initial_plan,91,91,91,0,100.0,100.0,0.0,1.0,2159.48473918654757316765,23.7306015295225
2025-10-01,2025-10-01,0,Bankers_Insurance,free,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,1.0,299.11712315013698272220,37.389640393767124
2025-10-01,2025-10-01,0,Bankers_Insurance,start,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,420.89561866890671625000,60.12794552412953
2025-10-01,2025-10-01,0,Bikers_Drivers,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,297.18655090650905367970,59.43731018130181
2025-10-01,2025-10-01,0,Bikers_Drivers,free,persona_x_initial_plan,36,35,35,0,97.22,97.22,0.0,1.0,1000.84366750082648500702,27.80121298613407
2025-10-01,2025-10-01,0,Bikers_Drivers,plus,persona_x_initial_plan,26,26,26,0,100.0,100.0,0.0,1.0,775.16200376528228401490,29.813923221741625
2025-10-01,2025-10-01,0,Bikers_Drivers,start,persona_x_initial_plan,33,33,33,0,100.0,100.0,0.0,1.0,914.81212202372730366188,27.721579455264465
