account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,comparable_segment_companies,comparable_segment_company_share_pct
Healthy revenue account,ALL,business,initial_plan,66,13795.83289605640032952162,55069.77215716890570251836,143,46.15
Watch - revenue declining,ALL,business,initial_plan,15,2772.59817980382675308076,21871.47879043609231007766,143,10.49
At-risk,ALL,business,initial_plan,13,0.00000000000000000000,8952.47102347456619003452,143,9.09
Churned proxy,ALL,business,initial_plan,49,0.00000000000000000000,10607.16824587999885999888,143,34.27
Healthy revenue account,ALL,free,initial_plan,1922,49653.88222726400813664472,229591.06578368267026507498,2464,78.0
Watch - revenue declining,ALL,free,initial_plan,186,5138.21298480985522758791,67642.49306565858774606495,2464,7.55
Recovered / monitor,ALL,free,initial_plan,47,309.48493769753347645616,2516.53286790406966320443,2464,1.91
At-risk,ALL,free,initial_plan,108,0.00000000000000000000,5766.83588652240638263332,2464,4.38
Churned proxy,ALL,free,initial_plan,194,0.00000000000000000000,8856.46210255718255792317,2464,7.87
Never monetized,ALL,free,initial_plan,7,0.00000000000000000000,,2464,0.28
Healthy revenue account,ALL,plus,initial_plan,595,58961.26806018935415308206,260178.89976450981656122351,929,64.05
Watch - revenue declining,ALL,plus,initial_plan,142,9703.59176375060500668842,107077.74634817958618580082,929,15.29
Recovered / monitor,ALL,plus,initial_plan,22,801.58022771177999853970,3964.73242778456530577746,929,2.37
At-risk,ALL,plus,initial_plan,55,0.00000000000000000000,9432.22400163310057896439,929,5.92
Churned proxy,ALL,plus,initial_plan,113,0.00000000000000000000,11821.03298662551456527697,929,12.16
Never monetized,ALL,plus,initial_plan,2,0.00000000000000000000,,929,0.22
Healthy revenue account,ALL,start,initial_plan,2152,110286.56458185183621896712,482863.31542015641079712572,2801,76.83
Watch - revenue declining,ALL,start,initial_plan,330,14030.98761547886872549353,152494.29823682164254359620,2801,11.78
Recovered / monitor,ALL,start,initial_plan,25,368.57125874246520807222,2182.39749399613512672254,2801,0.89
At-risk,ALL,start,initial_plan,104,0.00000000000000000000,15515.05709994000904693685,2801,3.71
Churned proxy,ALL,start,initial_plan,182,0.00000000000000000000,10769.72989789935571057427,2801,6.5
Never monetized,ALL,start,initial_plan,8,0.00000000000000000000,,2801,0.29
Healthy revenue account,ALL,ALL,overall,4735,232697.54776536159883821552,1027703.05312551780332594257,6337,74.72
Watch - revenue declining,ALL,ALL,overall,673,31645.39054384315571285062,349086.01644109590878553963,6337,10.62
Recovered / monitor,ALL,ALL,overall,94,1479.63642415177868306808,8663.66278968477009570443,6337,1.48
At-risk,ALL,ALL,overall,280,0.00000000000000000000,39666.58801157008219856908,6337,4.42
Churned proxy,ALL,ALL,overall,538,0.00000000000000000000,42054.39323296205169377329,6337,8.49
Never monetized,ALL,ALL,overall,17,0.00000000000000000000,,6337,0.27
Healthy revenue account,Automobile_Trade_Repair,ALL,persona,169,11221.91967828442759696999,45769.54239832562604986418,270,62.59
Watch - revenue declining,Automobile_Trade_Repair,ALL,persona,45,1566.14273374629848857505,23925.82577179116125785542,270,16.67
Recovered / monitor,Automobile_Trade_Repair,ALL,persona,2,50.03139189041095889910,240.98739911981735866916,270,0.74
At-risk,Automobile_Trade_Repair,ALL,persona,20,0.00000000000000000000,1172.14878393255304680222,270,7.41
