persona,initial_subscription_group,segment_level,eligible_companies,top_20pct_companies,segment_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_company_mix_pct,company_representation_index,share_of_all_top_20pct_revenue_pct
ALL,start,initial_plan,4012,775,490328.41435340808305014889,306353.86120380953226498209,19.32,42.63,44.15,0.97,39.7
ALL,plus,initial_plan,1286,560,313731.15183375395610330588,257886.05283760046263118275,43.55,30.8,14.15,2.18,33.42
ALL,free,initial_plan,3594,344,217993.78431532312115102546,132703.09906427328819371289,9.57,18.92,39.55,0.48,17.2
ALL,business,initial_plan,196,139,76382.66965657827292002571,74637.53869046612163456601,70.92,7.65,2.16,3.55,9.67
ALL,ALL,overall,9088,1818,1098436.02015906343322450594,771580.55179614940472444374,20.0,100.0,100.0,1.0,100.0
BTP,ALL,persona,1642,482,293676.09948692293064312804,233623.24953631403856783939,29.35,26.51,18.07,1.47,30.28
Consultant,ALL,persona,1585,274,174115.11046255930138266334,115071.05568499378415091880,17.29,15.07,17.44,0.86,14.91
Others,ALL,persona,1441,222,134482.74960873033784418024,82399.51806101950557049814,15.41,12.21,15.86,0.77,10.68
Retail,ALL,persona,1254,200,133929.25003784307678748407,89293.45700223265114277679,15.95,11.0,13.8,0.8,11.57
Developer_IT,ALL,persona,763,157,77016.91651754510780763205,48988.56385959433148421910,20.58,8.64,8.4,1.03,6.35
Automobile_Trade_Repair,ALL,persona,396,108,63502.51279402257454652717,49795.32626079204234922211,27.27,5.94,4.36,1.36,6.45
Bikers_Drivers,ALL,persona,563,95,54449.61340119415476091408,34729.92369539808605795220,16.87,5.23,6.19,0.84,4.5
Restauration,ALL,persona,246,67,36206.18962163501970621709,28163.84273109345065415800,27.24,3.69,2.71,1.36,3.65
Wholesale,ALL,persona,210,58,36854.42561200011551329751,29209.86910795291314130370,27.62,3.19,2.31,1.38,3.79
Media_Publishing,ALL,persona,337,55,31459.81495497727982546420,20130.95252126801337757150,16.32,3.03,3.71,0.82,2.61
Professeur,ALL,persona,278,37,22555.18126792262157515393,13330.62566061905760674961,13.31,2.04,3.06,0.67,1.73
Bankers_Insurance,ALL,persona,133,25,16437.71108719194273398467,12423.65736092810163199140,18.8,1.38,1.46,0.94,1.61
Medical_Professionals,ALL,persona,101,12,10660.01375697798987957817,5828.40500597327929158100,11.88,0.66,1.11,0.59,0.76
Cleaning_CallCenters,ALL,persona,44,10,4669.45463191278453117288,3638.13966725405403604200,22.73,0.55,0.48,1.14,0.47
Repair_Installation,ALL,persona,26,10,4636.44680588165111283800,3519.42043356064976774000,38.46,0.55,0.29,1.92,0.46
Repair,ALL,persona,69,6,3784.53011174654457427050,1434.54520715544589388000,8.7,0.33,0.76,0.43,0.19
BTP,start,persona_x_initial_plan,652,175,103352.96716665743335532325,73202.10677963044593084810,26.84,9.63,7.17,1.34,9.49
BTP,plus,persona_x_initial_plan,348,170,96008.33332687780940807070,80781.59800813032630753090,48.85,9.35,3.83,2.44,10.47
Consultant,start,persona_x_initial_plan,735,143,96926.58683887827940440371,60948.33407496906652652700,19.46,7.87,8.09,0.97,7.9
Others,start,persona_x_initial_plan,628,95,60984.67244141112633648554,32845.34016196433374498169,15.13,5.23,6.91,0.76,4.26
BTP,free,persona_x_initial_plan,586,91,64450.49913260569566459270,49954.94931666606203916000,15.53,5.01,6.45,0.78,6.47
