signup_month,persona,initial_subscription_group,segment_level,new_companies
2025-10-01,ALL,business,initial_plan,199
2025-10-01,ALL,free,initial_plan,2170
2025-10-01,ALL,plus,initial_plan,886
2025-10-01,ALL,start,initial_plan,2303
2025-10-01,ALL,ALL,overall,5558
2025-10-01,Automobile_Trade_Repair,ALL,persona,243
2025-10-01,BTP,ALL,persona,1110
2025-10-01,Bankers_Insurance,ALL,persona,51
2025-10-01,Bikers_Drivers,ALL,persona,405
2025-10-01,Cleaning_CallCenters,ALL,persona,27
2025-10-01,Consultant,ALL,persona,814
2025-10-01,Developer_IT,ALL,persona,399
2025-10-01,Media_Publishing,ALL,persona,143
2025-10-01,Medical_Professionals,ALL,persona,56
2025-10-01,Others,ALL,persona,1120
2025-10-01,Professeur,ALL,persona,132
2025-10-01,Repair,ALL,persona,40
2025-10-01,Repair_Installation,ALL,persona,11
2025-10-01,Restauration,ALL,persona,154
2025-10-01,Retail,ALL,persona,674
2025-10-01,Wholesale,ALL,persona,179
2025-10-01,Automobile_Trade_Repair,business,persona_x_initial_plan,18
2025-10-01,Automobile_Trade_Repair,free,persona_x_initial_plan,67
2025-10-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,50
2025-10-01,Automobile_Trade_Repair,start,persona_x_initial_plan,108
2025-10-01,BTP,business,persona_x_initial_plan,65
2025-10-01,BTP,free,persona_x_initial_plan,362
2025-10-01,BTP,plus,persona_x_initial_plan,254
2025-10-01,BTP,start,persona_x_initial_plan,429
2025-10-01,Bankers_Insurance,business,persona_x_initial_plan,1
2025-10-01,Bankers_Insurance,free,persona_x_initial_plan,27
2025-10-01,Bankers_Insurance,start,persona_x_initial_plan,23
2025-10-01,Bikers_Drivers,business,persona_x_initial_plan,18
2025-10-01,Bikers_Drivers,free,persona_x_initial_plan,162
2025-10-01,Bikers_Drivers,plus,persona_x_initial_plan,79
2025-10-01,Bikers_Drivers,start,persona_x_initial_plan,146
2025-10-01,Cleaning_CallCenters,business,persona_x_initial_plan,1
2025-10-01,Cleaning_CallCenters,free,persona_x_initial_plan,8
2025-10-01,Cleaning_CallCenters,plus,persona_x_initial_plan,5
2025-10-01,Cleaning_CallCenters,start,persona_x_initial_plan,13
2025-10-01,Consultant,business,persona_x_initial_plan,13
2025-10-01,Consultant,free,persona_x_initial_plan,396
2025-10-01,Consultant,plus,persona_x_initial_plan,69
2025-10-01,Consultant,start,persona_x_initial_plan,336
2025-10-01,Developer_IT,business,persona_x_initial_plan,11
2025-10-01,Developer_IT,free,persona_x_initial_plan,176
2025-10-01,Developer_IT,plus,persona_x_initial_plan,40
2025-10-01,Developer_IT,start,persona_x_initial_plan,172
2025-10-01,Media_Publishing,business,persona_x_initial_plan,2
2025-10-01,Media_Publishing,free,persona_x_initial_plan,69
2025-10-01,Media_Publishing,plus,persona_x_initial_plan,10
2025-10-01,Media_Publishing,start,persona_x_initial_plan,62
2025-10-01,Medical_Professionals,business,persona_x_initial_plan,3
2025-10-01,Medical_Professionals,free,persona_x_initial_plan,27
2025-10-01,Medical_Professionals,plus,persona_x_initial_plan,2
2025-10-01,Medical_Professionals,start,persona_x_initial_plan,24
2025-10-01,Others,business,persona_x_initial_plan,30
2025-10-01,Others,free,persona_x_initial_plan,421
2025-10-01,Others,plus,persona_x_initial_plan,199
2025-10-01,Others,start,persona_x_initial_plan,470
2025-10-01,Professeur,free,persona_x_initial_plan,63
2025-10-01,Professeur,plus,persona_x_initial_plan,13
2025-10-01,Professeur,start,persona_x_initial_plan,56
2025-10-01,Repair,business,persona_x_initial_plan,5
2025-10-01,Repair,free,persona_x_initial_plan,12
2025-10-01,Repair,plus,persona_x_initial_plan,5
2025-10-01,Repair,start,persona_x_initial_plan,18
2025-10-01,Repair_Installation,business,persona_x_initial_plan,1
2025-10-01,Repair_Installation,plus,persona_x_initial_plan,1
2025-10-01,Repair_Installation,start,persona_x_initial_plan,9
2025-10-01,Restauration,business,persona_x_initial_plan,1
2025-10-01,Restauration,free,persona_x_initial_plan,62
2025-10-01,Restauration,plus,persona_x_initial_plan,27
2025-10-01,Restauration,start,persona_x_initial_plan,64
2025-10-01,Retail,business,persona_x_initial_plan,20
2025-10-01,Retail,free,persona_x_initial_plan,259
2025-10-01,Retail,plus,persona_x_initial_plan,99
2025-10-01,Retail,start,persona_x_initial_plan,296
2025-10-01,Wholesale,business,persona_x_initial_plan,10
2025-10-01,Wholesale,free,persona_x_initial_plan,59
2025-10-01,Wholesale,plus,persona_x_initial_plan,33
2025-10-01,Wholesale,start,persona_x_initial_plan,77
2025-11-01,ALL,business,initial_plan,169
2025-11-01,ALL,free,initial_plan,2357
2025-11-01,ALL,plus,initial_plan,786
2025-11-01,ALL,start,initial_plan,2282
2025-11-01,ALL,ALL,overall,5594
2025-11-01,Automobile_Trade_Repair,ALL,persona,228
2025-11-01,BTP,ALL,persona,1090
2025-11-01,Bankers_Insurance,ALL,persona,63
2025-11-01,Bikers_Drivers,ALL,persona,340
2025-11-01,Cleaning_CallCenters,ALL,persona,33
2025-11-01,Consultant,ALL,persona,808
2025-11-01,Developer_IT,ALL,persona,396
