month_start,persona,initial_subscription_group,segment_level,active_at_start,post_activation_closed_during_month,activated_during_month,activated_and_closed_same_month,active_at_end,monthly_post_activation_closure_rate_pct
2025-10-01,ALL,business,initial_plan,0,0,28,2,26,
2025-10-01,ALL,free,initial_plan,0,0,409,4,405,
2025-10-01,ALL,plus,initial_plan,0,0,211,3,208,
2025-10-01,ALL,start,initial_plan,0,0,548,0,548,
2025-10-01,ALL,ALL,overall,0,0,1196,9,1187,
2025-10-01,Automobile_Trade_Repair,ALL,persona,0,0,53,0,53,
2025-10-01,BTP,ALL,persona,0,0,240,2,238,
2025-10-01,Bankers_Insurance,ALL,persona,0,0,15,0,15,
2025-10-01,Bikers_Drivers,ALL,persona,0,0,100,2,98,
2025-10-01,Cleaning_CallCenters,ALL,persona,0,0,6,0,6,
2025-10-01,Consultant,ALL,persona,0,0,202,1,201,
2025-10-01,Developer_IT,ALL,persona,0,0,91,2,89,
2025-10-01,Media_Publishing,ALL,persona,0,0,34,0,34,
2025-10-01,Medical_Professionals,ALL,persona,0,0,14,0,14,
2025-10-01,Others,ALL,persona,0,0,191,1,190,
2025-10-01,Professeur,ALL,persona,0,0,34,0,34,
2025-10-01,Repair,ALL,persona,0,0,8,0,8,
2025-10-01,Restauration,ALL,persona,0,0,28,0,28,
2025-10-01,Retail,ALL,persona,0,0,157,1,156,
2025-10-01,Wholesale,ALL,persona,0,0,23,0,23,
2025-10-01,Automobile_Trade_Repair,business,persona_x_initial_plan,0,0,5,0,5,
2025-10-01,Automobile_Trade_Repair,free,persona_x_initial_plan,0,0,15,0,15,
2025-10-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,0,0,11,0,11,
2025-10-01,Automobile_Trade_Repair,start,persona_x_initial_plan,0,0,22,0,22,
2025-10-01,BTP,business,persona_x_initial_plan,0,0,8,0,8,
2025-10-01,BTP,free,persona_x_initial_plan,0,0,73,1,72,
2025-10-01,BTP,plus,persona_x_initial_plan,0,0,68,1,67,
2025-10-01,BTP,start,persona_x_initial_plan,0,0,91,0,91,
2025-10-01,Bankers_Insurance,free,persona_x_initial_plan,0,0,8,0,8,
2025-10-01,Bankers_Insurance,start,persona_x_initial_plan,0,0,7,0,7,
2025-10-01,Bikers_Drivers,business,persona_x_initial_plan,0,0,5,0,5,
2025-10-01,Bikers_Drivers,free,persona_x_initial_plan,0,0,36,1,35,
2025-10-01,Bikers_Drivers,plus,persona_x_initial_plan,0,0,26,1,25,
2025-10-01,Bikers_Drivers,start,persona_x_initial_plan,0,0,33,0,33,
2025-10-01,Cleaning_CallCenters,free,persona_x_initial_plan,0,0,4,0,4,
2025-10-01,Cleaning_CallCenters,start,persona_x_initial_plan,0,0,2,0,2,
2025-10-01,Consultant,business,persona_x_initial_plan,0,0,2,0,2,
2025-10-01,Consultant,free,persona_x_initial_plan,0,0,80,1,79,
2025-10-01,Consultant,plus,persona_x_initial_plan,0,0,15,0,15,
2025-10-01,Consultant,start,persona_x_initial_plan,0,0,105,0,105,
2025-10-01,Developer_IT,free,persona_x_initial_plan,0,0,35,1,34,
2025-10-01,Developer_IT,plus,persona_x_initial_plan,0,0,13,1,12,
2025-10-01,Developer_IT,start,persona_x_initial_plan,0,0,43,0,43,
2025-10-01,Media_Publishing,free,persona_x_initial_plan,0,0,15,0,15,
2025-10-01,Media_Publishing,plus,persona_x_initial_plan,0,0,1,0,1,
2025-10-01,Media_Publishing,start,persona_x_initial_plan,0,0,18,0,18,
2025-10-01,Medical_Professionals,free,persona_x_initial_plan,0,0,5,0,5,
2025-10-01,Medical_Professionals,plus,persona_x_initial_plan,0,0,1,0,1,
2025-10-01,Medical_Professionals,start,persona_x_initial_plan,0,0,8,0,8,
2025-10-01,Others,business,persona_x_initial_plan,0,0,6,1,5,
2025-10-01,Others,free,persona_x_initial_plan,0,0,59,0,59,
2025-10-01,Others,plus,persona_x_initial_plan,0,0,34,0,34,
2025-10-01,Others,start,persona_x_initial_plan,0,0,92,0,92,
2025-10-01,Professeur,free,persona_x_initial_plan,0,0,12,0,12,
2025-10-01,Professeur,plus,persona_x_initial_plan,0,0,1,0,1,
2025-10-01,Professeur,start,persona_x_initial_plan,0,0,21,0,21,
2025-10-01,Repair,free,persona_x_initial_plan,0,0,3,0,3,
2025-10-01,Repair,plus,persona_x_initial_plan,0,0,1,0,1,
2025-10-01,Repair,start,persona_x_initial_plan,0,0,4,0,4,
2025-10-01,Restauration,free,persona_x_initial_plan,0,0,9,0,9,
2025-10-01,Restauration,plus,persona_x_initial_plan,0,0,12,0,12,
2025-10-01,Restauration,start,persona_x_initial_plan,0,0,7,0,7,
2025-10-01,Retail,business,persona_x_initial_plan,0,0,1,1,0,
2025-10-01,Retail,free,persona_x_initial_plan,0,0,49,0,49,
2025-10-01,Retail,plus,persona_x_initial_plan,0,0,25,0,25,
2025-10-01,Retail,start,persona_x_initial_plan,0,0,82,0,82,
2025-10-01,Wholesale,business,persona_x_initial_plan,0,0,1,0,1,
2025-10-01,Wholesale,free,persona_x_initial_plan,0,0,6,0,6,
2025-10-01,Wholesale,plus,persona_x_initial_plan,0,0,3,0,3,
2025-10-01,Wholesale,start,persona_x_initial_plan,0,0,13,0,13,
2025-11-01,ALL,business,initial_plan,26,3,50,2,71,11.54
2025-11-01,ALL,free,initial_plan,405,10,926,4,1317,2.47
2025-11-01,ALL,plus,initial_plan,208,10,361,5,554,4.81
2025-11-01,ALL,start,initial_plan,548,11,1098,6,1629,2.01
2025-11-01,ALL,ALL,overall,1187,34,2435,17,3571,2.86
2025-11-01,Automobile_Trade_Repair,ALL,persona,53,2,94,1,144,3.77
2025-11-01,BTP,ALL,persona,238,11,450,3,674,4.62
2025-11-01,Bankers_Insurance,ALL,persona,15,0,32,0,47,0.0
2025-11-01,Bikers_Drivers,ALL,persona,98,5,157,1,249,5.1
2025-11-01,Cleaning_CallCenters,ALL,persona,6,0,16,0,22,0.0
2025-11-01,Consultant,ALL,persona,201,2,436,0,635,1.0
2025-11-01,Developer_IT,ALL,persona,89,4,230,3,312,4.49
2025-11-01,Media_Publishing,ALL,persona,34,0,89,0,123,0.0
2025-11-01,Medical_Professionals,ALL,persona,14,0,29,0,43,0.0
2025-11-01,Others,ALL,persona,190,3,361,5,543,1.58
2025-11-01,Professeur,ALL,persona,34,2,75,1,106,5.88
2025-11-01,Repair,ALL,persona,8,1,15,0,22,12.5
2025-11-01,Repair_Installation,ALL,persona,0,0,9,0,9,
2025-11-01,Restauration,ALL,persona,28,0,59,1,86,0.0
2025-11-01,Retail,ALL,persona,156,3,321,1,473,1.92
2025-11-01,Wholesale,ALL,persona,23,1,62,1,83,4.35
2025-11-01,Automobile_Trade_Repair,business,persona_x_initial_plan,5,0,5,1,9,0.0
2025-11-01,Automobile_Trade_Repair,free,persona_x_initial_plan,15,1,29,0,43,6.67
2025-11-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,0,27,0,38,0.0
2025-11-01,Automobile_Trade_Repair,start,persona_x_initial_plan,22,1,33,0,54,4.55
2025-11-01,BTP,business,persona_x_initial_plan,8,1,12,0,19,12.5
2025-11-01,BTP,free,persona_x_initial_plan,72,1,147,0,218,1.39
2025-11-01,BTP,plus,persona_x_initial_plan,67,6,93,1,153,8.96
2025-11-01,BTP,start,persona_x_initial_plan,91,3,198,2,284,3.3
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,8,0,20,0,28,0.0
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,7,0,12,0,19,0.0
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,5,1,6,0,10,20.0
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,35,1,56,0,90,2.86
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,25,1,33,1,56,4.0
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,33,2,62,0,93,6.06
2025-11-01,Cleaning_CallCenters,business,persona_x_initial_plan,0,0,1,0,1,
