revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,segment_company_share_pct,revenue_type,last_observed_revenue
Active,ALL,business,initial_plan,262,75.29,Banking fees,1194.45999999999999860000
Active,ALL,business,initial_plan,262,75.29,Deposit interest,3876.41320901041123140819
Active,ALL,business,initial_plan,262,75.29,Interchange,22041.81049319987933344000
Active,ALL,business,initial_plan,262,75.29,Subscription,16199.00000000000000000000
Active,ALL,business,initial_plan,262,75.29,Total revenue,43311.68370221029056344819
At-risk,ALL,business,initial_plan,35,10.06,Banking fees,30.65999999999999910000
At-risk,ALL,business,initial_plan,35,10.06,Deposit interest,166.82545415780823379550
At-risk,ALL,business,initial_plan,35,10.06,Interchange,1234.59253199999480177000
At-risk,ALL,business,initial_plan,35,10.06,Subscription,1931.00000000000000000000
At-risk,ALL,business,initial_plan,35,10.06,Total revenue,3363.07798615780303466550
Churned proxy,ALL,business,initial_plan,51,14.66,Banking fees,8.04000000000000000000
Churned proxy,ALL,business,initial_plan,51,14.66,Deposit interest,128.81887200493155072680
Churned proxy,ALL,business,initial_plan,51,14.66,Interchange,6141.40209036503896300000
Churned proxy,ALL,business,initial_plan,51,14.66,Subscription,1200.00000000000000000000
Churned proxy,ALL,business,initial_plan,51,14.66,Total revenue,7478.26096236997051372680
Active,ALL,free,initial_plan,6525,91.81,Banking fees,22047.14000000000000228000
Active,ALL,free,initial_plan,6525,91.81,Deposit interest,66643.59801997863235998460
Active,ALL,free,initial_plan,6525,91.81,Interchange,46180.89959039975010193158
Active,ALL,free,initial_plan,6525,91.81,Subscription,3768.03791774899999600000
Active,ALL,free,initial_plan,6525,91.81,Total revenue,138639.67552812738246019618
At-risk,ALL,free,initial_plan,354,4.98,Banking fees,1226.15999999999999540000
At-risk,ALL,free,initial_plan,354,4.98,Deposit interest,641.54395907890416373347
At-risk,ALL,free,initial_plan,354,4.98,Interchange,918.77284979999590004000
At-risk,ALL,free,initial_plan,354,4.98,Subscription,183.03999999999999900000
At-risk,ALL,free,initial_plan,354,4.98,Total revenue,2969.51680887890005817347
Churned proxy,ALL,free,initial_plan,228,3.21,Banking fees,1864.67999999999999740000
Churned proxy,ALL,free,initial_plan,228,3.21,Deposit interest,653.12018227506856232338
Churned proxy,ALL,free,initial_plan,228,3.21,Interchange,1591.23318645539895171800
Churned proxy,ALL,free,initial_plan,228,3.21,Subscription,46.15000000000000000000
Churned proxy,ALL,free,initial_plan,228,3.21,Total revenue,4155.18336873046751144138
Active,ALL,plus,initial_plan,2027,89.26,Banking fees,8054.48000000000000970000
Active,ALL,plus,initial_plan,2027,89.26,Deposit interest,30533.85916856054796729009
Active,ALL,plus,initial_plan,2027,89.26,Interchange,86989.94620199952730073010
Active,ALL,plus,initial_plan,2027,89.26,Subscription,43233.05206987900000000000
Active,ALL,plus,initial_plan,2027,89.26,Total revenue,168811.33744043907527772019
At-risk,ALL,plus,initial_plan,120,5.28,Banking fees,-7.42000000000000000000
At-risk,ALL,plus,initial_plan,120,5.28,Deposit interest,150.85862049315070469882
At-risk,ALL,plus,initial_plan,120,5.28,Interchange,3936.42512099998409749600
At-risk,ALL,plus,initial_plan,120,5.28,Subscription,1681.90000000000000000000
At-risk,ALL,plus,initial_plan,120,5.28,Total revenue,5761.76374149313480219482
Churned proxy,ALL,plus,initial_plan,124,5.46,Banking fees,-0.61999999999999986000
Churned proxy,ALL,plus,initial_plan,124,5.46,Deposit interest,358.81409009315082934542
Churned proxy,ALL,plus,initial_plan,124,5.46,Interchange,3134.73620393446344169100
Churned proxy,ALL,plus,initial_plan,124,5.46,Subscription,1434.90000000000000000000
Churned proxy,ALL,plus,initial_plan,124,5.46,Total revenue,4927.83029402761427117642
Active,ALL,start,initial_plan,7316,93.29,Banking fees,21234.04000000000002000000
Active,ALL,start,initial_plan,7316,93.29,Deposit interest,82347.60998218082463001875
Active,ALL,start,initial_plan,7316,93.29,Interchange,112691.79741419938886433900
Active,ALL,start,initial_plan,7316,93.29,Subscription,71041.45751662407157150000
Active,ALL,start,initial_plan,7316,93.29,Total revenue,287314.90491300428508585775
At-risk,ALL,start,initial_plan,301,3.84,Banking fees,267.88000000000000078900
At-risk,ALL,start,initial_plan,301,3.84,Deposit interest,665.58435137315074725468
At-risk,ALL,start,initial_plan,301,3.84,Interchange,2704.11988499998828351600
At-risk,ALL,start,initial_plan,301,3.84,Subscription,2239.71875000000000000000
At-risk,ALL,start,initial_plan,301,3.84,Total revenue,5877.30298637313903155968
Churned proxy,ALL,start,initial_plan,225,2.87,Banking fees,410.55999999999999810000
Churned proxy,ALL,start,initial_plan,225,2.87,Deposit interest,414.14359698739741270095
Churned proxy,ALL,start,initial_plan,225,2.87,Interchange,1298.47878845548586011000
Churned proxy,ALL,start,initial_plan,225,2.87,Subscription,1437.77083333300000000000
Churned proxy,ALL,start,initial_plan,225,2.87,Total revenue,3560.95321877588327091095
Active,ALL,ALL,overall,16130,91.81,Banking fees,52530.12000000000003058000
Active,ALL,ALL,overall,16130,91.81,Deposit interest,183401.48037973041618870163
Active,ALL,ALL,overall,16130,91.81,Interchange,267904.45369979854560044068
Active,ALL,ALL,overall,16130,91.81,Subscription,134241.54750425207156750000
Active,ALL,ALL,overall,16130,91.81,Total revenue,638077.60158378103338722231
At-risk,ALL,ALL,overall,810,4.61,Banking fees,1517.27999999999999528900
At-risk,ALL,ALL,overall,810,4.61,Deposit interest,1624.81238510301384948247
At-risk,ALL,ALL,overall,810,4.61,Interchange,8793.91038779996308282200
At-risk,ALL,ALL,overall,810,4.61,Subscription,6035.65874999999999900000
At-risk,ALL,ALL,overall,810,4.61,Total revenue,17971.66152290297692659347
Churned proxy,ALL,ALL,overall,628,3.57,Banking fees,2282.65999999999999564000
Churned proxy,ALL,ALL,overall,628,3.57,Deposit interest,1554.89674136054835509655
Churned proxy,ALL,ALL,overall,628,3.57,Interchange,12165.85026921038721651900
Churned proxy,ALL,ALL,overall,628,3.57,Subscription,4118.82083333300000000000
Churned proxy,ALL,ALL,overall,628,3.57,Total revenue,20122.22784390393556725555
Active,Automobile_Trade_Repair,ALL,persona,657,89.27,Banking fees,1996.46000000000000900000
Active,Automobile_Trade_Repair,ALL,persona,657,89.27,Deposit interest,3941.46205373150708734961
Active,Automobile_Trade_Repair,ALL,persona,657,89.27,Interchange,18539.11768139989943599100
Active,Automobile_Trade_Repair,ALL,persona,657,89.27,Subscription,7886.67478494600000100000
Active,Automobile_Trade_Repair,ALL,persona,657,89.27,Total revenue,32363.71452007740653334061
At-risk,Automobile_Trade_Repair,ALL,persona,45,6.11,Banking fees,55.06000000000000000000
At-risk,Automobile_Trade_Repair,ALL,persona,45,6.11,Deposit interest,66.28684409698630581119
At-risk,Automobile_Trade_Repair,ALL,persona,45,6.11,Interchange,757.73134799999640795400
At-risk,Automobile_Trade_Repair,ALL,persona,45,6.11,Subscription,268.00000000000000000000
At-risk,Automobile_Trade_Repair,ALL,persona,45,6.11,Total revenue,1147.07819209698271376519
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,4.62,Banking fees,48.04000000000000000000
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,4.62,Deposit interest,243.24110601534252602270
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,4.62,Interchange,236.12908738233090680500
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,4.62,Subscription,439.00000000000000000000
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,4.62,Total revenue,966.41019339767343282770
Active,BTP,ALL,persona,2895,92.4,Banking fees,5405.38000000000002000000
Active,BTP,ALL,persona,2895,92.4,Deposit interest,43223.90091280054895023306
Active,BTP,ALL,persona,2895,92.4,Interchange,74729.82748499959474268630
Active,BTP,ALL,persona,2895,92.4,Subscription,30145.36647849264515500000
Active,BTP,ALL,persona,2895,92.4,Total revenue,153504.47487629278886791936
