months_since_activation,current_active_streak_months,persona,initial_subscription_group,segment_level,eligible_active_company_months,active_next_months,next_month_active_rate_pct
0,1,ALL,business,initial_plan,296,257,86.82
0,1,ALL,free,initial_plan,5834,5563,95.35
0,1,ALL,plus,initial_plan,1961,1885,96.12
0,1,ALL,start,initial_plan,6603,6404,96.99
0,1,ALL,ALL,overall,14694,14109,96.02
0,1,Automobile_Trade_Repair,ALL,persona,638,618,96.87
0,1,BTP,ALL,persona,2638,2550,96.66
0,1,Bankers_Insurance,ALL,persona,217,208,95.85
0,1,Bikers_Drivers,ALL,persona,869,793,91.25
0,1,Cleaning_CallCenters,ALL,persona,84,81,96.43
0,1,Consultant,ALL,persona,2582,2500,96.82
0,1,Developer_IT,ALL,persona,1219,1166,95.65
0,1,Media_Publishing,ALL,persona,537,519,96.65
0,1,Medical_Professionals,ALL,persona,179,175,97.77
0,1,Others,ALL,persona,2404,2303,95.8
0,1,Professeur,ALL,persona,449,432,96.21
0,1,Repair,ALL,persona,97,91,93.81
0,1,Repair_Installation,ALL,persona,33,33,100.0
0,1,Restauration,ALL,persona,386,372,96.37
0,1,Retail,ALL,persona,2007,1920,95.67
0,1,Wholesale,ALL,persona,355,348,98.03
0,1,Automobile_Trade_Repair,business,persona_x_initial_plan,23,21,91.3
0,1,Automobile_Trade_Repair,free,persona_x_initial_plan,174,168,96.55
0,1,Automobile_Trade_Repair,plus,persona_x_initial_plan,143,141,98.6
0,1,Automobile_Trade_Repair,start,persona_x_initial_plan,298,288,96.64
0,1,BTP,business,persona_x_initial_plan,90,82,91.11
0,1,BTP,free,persona_x_initial_plan,966,924,95.65
0,1,BTP,plus,persona_x_initial_plan,527,511,96.96
0,1,BTP,start,persona_x_initial_plan,1055,1033,97.91
0,1,Bankers_Insurance,free,persona_x_initial_plan,126,119,94.44
0,1,Bankers_Insurance,plus,persona_x_initial_plan,12,11,91.67
0,1,Bankers_Insurance,start,persona_x_initial_plan,79,78,98.73
0,1,Bikers_Drivers,business,persona_x_initial_plan,32,29,90.63
0,1,Bikers_Drivers,free,persona_x_initial_plan,289,264,91.35
0,1,Bikers_Drivers,plus,persona_x_initial_plan,152,141,92.76
0,1,Bikers_Drivers,start,persona_x_initial_plan,396,359,90.66
0,1,Cleaning_CallCenters,business,persona_x_initial_plan,2,2,100.0
0,1,Cleaning_CallCenters,free,persona_x_initial_plan,32,31,96.88
0,1,Cleaning_CallCenters,plus,persona_x_initial_plan,15,15,100.0
0,1,Cleaning_CallCenters,start,persona_x_initial_plan,35,33,94.29
0,1,Consultant,business,persona_x_initial_plan,28,25,89.29
0,1,Consultant,free,persona_x_initial_plan,1158,1111,95.94
0,1,Consultant,plus,persona_x_initial_plan,204,195,95.59
0,1,Consultant,start,persona_x_initial_plan,1192,1169,98.07
0,1,Developer_IT,business,persona_x_initial_plan,16,14,87.5
0,1,Developer_IT,free,persona_x_initial_plan,544,508,93.38
0,1,Developer_IT,plus,persona_x_initial_plan,98,95,96.94
0,1,Developer_IT,start,persona_x_initial_plan,561,549,97.86
0,1,Media_Publishing,business,persona_x_initial_plan,3,3,100.0
0,1,Media_Publishing,free,persona_x_initial_plan,240,231,96.25
0,1,Media_Publishing,plus,persona_x_initial_plan,33,31,93.94
0,1,Media_Publishing,start,persona_x_initial_plan,261,254,97.32
0,1,Medical_Professionals,free,persona_x_initial_plan,78,78,100.0
0,1,Medical_Professionals,plus,persona_x_initial_plan,10,9,90.0
0,1,Medical_Professionals,start,persona_x_initial_plan,91,88,96.7
0,1,Others,business,persona_x_initial_plan,53,40,75.47
0,1,Others,free,persona_x_initial_plan,923,888,96.21
0,1,Others,plus,persona_x_initial_plan,338,322,95.27
0,1,Others,start,persona_x_initial_plan,1090,1053,96.61
0,1,Professeur,business,persona_x_initial_plan,4,3,75.0
0,1,Professeur,free,persona_x_initial_plan,196,186,94.9
0,1,Professeur,plus,persona_x_initial_plan,27,26,96.3
0,1,Professeur,start,persona_x_initial_plan,222,217,97.75
0,1,Repair,business,persona_x_initial_plan,1,0,0.0
0,1,Repair,free,persona_x_initial_plan,51,47,92.16
0,1,Repair,plus,persona_x_initial_plan,10,10,100.0
0,1,Repair,start,persona_x_initial_plan,35,34,97.14
0,1,Repair_Installation,business,persona_x_initial_plan,1,1,100.0
0,1,Repair_Installation,free,persona_x_initial_plan,11,11,100.0
0,1,Repair_Installation,plus,persona_x_initial_plan,4,4,100.0
0,1,Repair_Installation,start,persona_x_initial_plan,17,17,100.0
0,1,Restauration,business,persona_x_initial_plan,3,2,66.67
0,1,Restauration,free,persona_x_initial_plan,138,131,94.93
0,1,Restauration,plus,persona_x_initial_plan,69,68,98.55
0,1,Restauration,start,persona_x_initial_plan,176,171,97.16
0,1,Retail,business,persona_x_initial_plan,26,21,80.77
0,1,Retail,free,persona_x_initial_plan,806,767,95.16
0,1,Retail,plus,persona_x_initial_plan,242,230,95.04
0,1,Retail,start,persona_x_initial_plan,933,902,96.68
0,1,Wholesale,business,persona_x_initial_plan,14,14,100.0
0,1,Wholesale,free,persona_x_initial_plan,102,99,97.06
0,1,Wholesale,plus,persona_x_initial_plan,77,76,98.7
0,1,Wholesale,start,persona_x_initial_plan,162,159,98.15
1,1,ALL,free,initial_plan,2,2,100.0
1,1,ALL,plus,initial_plan,4,3,75.0
1,1,ALL,start,initial_plan,5,4,80.0
1,1,ALL,ALL,overall,11,9,81.82
1,1,BTP,ALL,persona,2,2,100.0
1,1,Bikers_Drivers,ALL,persona,1,1,100.0
1,1,Consultant,ALL,persona,1,1,100.0
1,1,Media_Publishing,ALL,persona,2,2,100.0
1,1,Others,ALL,persona,3,2,66.67
1,1,Restauration,ALL,persona,1,0,0.0
1,1,Retail,ALL,persona,1,1,100.0
1,1,BTP,plus,persona_x_initial_plan,1,1,100.0
1,1,BTP,start,persona_x_initial_plan,1,1,100.0
1,1,Bikers_Drivers,free,persona_x_initial_plan,1,1,100.0
1,1,Consultant,start,persona_x_initial_plan,1,1,100.0
1,1,Media_Publishing,plus,persona_x_initial_plan,1,1,100.0
1,1,Media_Publishing,start,persona_x_initial_plan,1,1,100.0
1,1,Others,free,persona_x_initial_plan,1,1,100.0
1,1,Others,plus,persona_x_initial_plan,1,1,100.0
1,1,Others,start,persona_x_initial_plan,1,0,0.0
1,1,Restauration,plus,persona_x_initial_plan,1,0,0.0
1,1,Retail,start,persona_x_initial_plan,1,1,100.0
1,2,ALL,business,initial_plan,218,192,88.07
1,2,ALL,free,initial_plan,4649,4449,95.7
1,2,ALL,plus,initial_plan,1607,1523,94.77
1,2,ALL,start,initial_plan,5314,5126,96.46
1,2,ALL,ALL,overall,11788,11290,95.78
1,2,Automobile_Trade_Repair,ALL,persona,508,478,94.09
1,2,BTP,ALL,persona,2190,2102,95.98
1,2,Bankers_Insurance,ALL,persona,183,176,96.17
1,2,Bikers_Drivers,ALL,persona,653,599,91.73
1,2,Cleaning_CallCenters,ALL,persona,67,66,98.51
1,2,Consultant,ALL,persona,2077,2011,96.82
1,2,Developer_IT,ALL,persona,980,950,96.94
1,2,Media_Publishing,ALL,persona,431,421,97.68
1,2,Medical_Professionals,ALL,persona,139,137,98.56
1,2,Others,ALL,persona,1871,1786,95.46
1,2,Professeur,ALL,persona,353,346,98.02
1,2,Repair,ALL,persona,75,71,94.67
1,2,Repair_Installation,ALL,persona,28,28,100.0
1,2,Restauration,ALL,persona,318,303,95.28
1,2,Retail,ALL,persona,1627,1541,94.71
1,2,Wholesale,ALL,persona,288,275,95.49
1,2,Automobile_Trade_Repair,business,persona_x_initial_plan,18,18,100.0
1,2,Automobile_Trade_Repair,free,persona_x_initial_plan,139,131,94.24
1,2,Automobile_Trade_Repair,plus,persona_x_initial_plan,124,115,92.74
1,2,Automobile_Trade_Repair,start,persona_x_initial_plan,227,214,94.27
1,2,BTP,business,persona_x_initial_plan,70,67,95.71
1,2,BTP,free,persona_x_initial_plan,796,762,95.73
1,2,BTP,plus,persona_x_initial_plan,442,425,96.15
1,2,BTP,start,persona_x_initial_plan,882,848,96.15
1,2,Bankers_Insurance,free,persona_x_initial_plan,103,98,95.15
1,2,Bankers_Insurance,plus,persona_x_initial_plan,8,8,100.0
1,2,Bankers_Insurance,start,persona_x_initial_plan,72,70,97.22
1,2,Bikers_Drivers,business,persona_x_initial_plan,27,20,74.07
1,2,Bikers_Drivers,free,persona_x_initial_plan,211,193,91.47
1,2,Bikers_Drivers,plus,persona_x_initial_plan,119,108,90.76
1,2,Bikers_Drivers,start,persona_x_initial_plan,296,278,93.92
1,2,Cleaning_CallCenters,business,persona_x_initial_plan,2,2,100.0
1,2,Cleaning_CallCenters,free,persona_x_initial_plan,23,23,100.0
1,2,Cleaning_CallCenters,plus,persona_x_initial_plan,13,13,100.0
1,2,Cleaning_CallCenters,start,persona_x_initial_plan,29,28,96.55
1,2,Consultant,business,persona_x_initial_plan,18,15,83.33
1,2,Consultant,free,persona_x_initial_plan,933,895,95.93
1,2,Consultant,plus,persona_x_initial_plan,164,158,96.34
1,2,Consultant,start,persona_x_initial_plan,962,943,98.02
1,2,Developer_IT,business,persona_x_initial_plan,12,10,83.33
1,2,Developer_IT,free,persona_x_initial_plan,422,408,96.68
1,2,Developer_IT,plus,persona_x_initial_plan,82,78,95.12
1,2,Developer_IT,start,persona_x_initial_plan,464,454,97.84
1,2,Media_Publishing,business,persona_x_initial_plan,3,2,66.67
1,2,Media_Publishing,free,persona_x_initial_plan,200,193,96.5
1,2,Media_Publishing,plus,persona_x_initial_plan,27,27,100.0
1,2,Media_Publishing,start,persona_x_initial_plan,201,199,99.0
1,2,Medical_Professionals,free,persona_x_initial_plan,55,53,96.36
1,2,Medical_Professionals,plus,persona_x_initial_plan,9,9,100.0
1,2,Medical_Professionals,start,persona_x_initial_plan,75,75,100.0
1,2,Others,business,persona_x_initial_plan,34,29,85.29
1,2,Others,free,persona_x_initial_plan,725,697,96.14
1,2,Others,plus,persona_x_initial_plan,264,249,94.32
1,2,Others,start,persona_x_initial_plan,848,811,95.64
1,2,Professeur,business,persona_x_initial_plan,3,3,100.0
1,2,Professeur,free,persona_x_initial_plan,154,150,97.4
1,2,Professeur,plus,persona_x_initial_plan,19,19,100.0
1,2,Professeur,start,persona_x_initial_plan,177,174,98.31
1,2,Repair,free,persona_x_initial_plan,37,35,94.59
1,2,Repair,plus,persona_x_initial_plan,8,7,87.5
1,2,Repair,start,persona_x_initial_plan,30,29,96.67
1,2,Repair_Installation,free,persona_x_initial_plan,8,8,100.0
1,2,Repair_Installation,plus,persona_x_initial_plan,4,4,100.0
1,2,Repair_Installation,start,persona_x_initial_plan,16,16,100.0
1,2,Restauration,business,persona_x_initial_plan,1,1,100.0
1,2,Restauration,free,persona_x_initial_plan,116,111,95.69
1,2,Restauration,plus,persona_x_initial_plan,59,56,94.92
1,2,Restauration,start,persona_x_initial_plan,142,135,95.07
1,2,Retail,business,persona_x_initial_plan,18,13,72.22
1,2,Retail,free,persona_x_initial_plan,649,618,95.22
1,2,Retail,plus,persona_x_initial_plan,203,188,92.61
1,2,Retail,start,persona_x_initial_plan,757,722,95.38
1,2,Wholesale,business,persona_x_initial_plan,12,12,100.0
1,2,Wholesale,free,persona_x_initial_plan,78,74,94.87
1,2,Wholesale,plus,persona_x_initial_plan,62,59,95.16
1,2,Wholesale,start,persona_x_initial_plan,136,130,95.59
2,1,ALL,free,initial_plan,19,18,94.74
2,1,ALL,plus,initial_plan,10,9,90.0
2,1,ALL,start,initial_plan,12,10,83.33
2,1,ALL,ALL,overall,41,37,90.24
2,1,Automobile_Trade_Repair,ALL,persona,2,1,50.0
2,1,BTP,ALL,persona,4,4,100.0
2,1,Bankers_Insurance,ALL,persona,1,1,100.0
2,1,Bikers_Drivers,ALL,persona,4,4,100.0
2,1,Consultant,ALL,persona,7,7,100.0
2,1,Developer_IT,ALL,persona,2,2,100.0
2,1,Media_Publishing,ALL,persona,5,3,60.0
2,1,Others,ALL,persona,4,4,100.0
2,1,Professeur,ALL,persona,2,2,100.0
2,1,Restauration,ALL,persona,1,1,100.0
2,1,Retail,ALL,persona,9,8,88.89
2,1,Automobile_Trade_Repair,free,persona_x_initial_plan,2,1,50.0
2,1,BTP,free,persona_x_initial_plan,2,2,100.0
2,1,BTP,plus,persona_x_initial_plan,2,2,100.0
2,1,Bankers_Insurance,free,persona_x_initial_plan,1,1,100.0
2,1,Bikers_Drivers,free,persona_x_initial_plan,2,2,100.0
2,1,Bikers_Drivers,start,persona_x_initial_plan,2,2,100.0
2,1,Consultant,free,persona_x_initial_plan,4,4,100.0
2,1,Consultant,start,persona_x_initial_plan,3,3,100.0
2,1,Developer_IT,free,persona_x_initial_plan,1,1,100.0
2,1,Developer_IT,start,persona_x_initial_plan,1,1,100.0
2,1,Media_Publishing,free,persona_x_initial_plan,1,1,100.0
2,1,Media_Publishing,plus,persona_x_initial_plan,1,1,100.0
2,1,Media_Publishing,start,persona_x_initial_plan,3,1,33.33
2,1,Others,free,persona_x_initial_plan,2,2,100.0
2,1,Others,plus,persona_x_initial_plan,1,1,100.0
2,1,Others,start,persona_x_initial_plan,1,1,100.0
2,1,Professeur,free,persona_x_initial_plan,1,1,100.0
2,1,Professeur,plus,persona_x_initial_plan,1,1,100.0
2,1,Restauration,plus,persona_x_initial_plan,1,1,100.0
2,1,Retail,free,persona_x_initial_plan,3,3,100.0
2,1,Retail,plus,persona_x_initial_plan,4,3,75.0
2,1,Retail,start,persona_x_initial_plan,2,2,100.0
2,2,ALL,free,initial_plan,2,1,50.0
2,2,ALL,plus,initial_plan,2,1,50.0
2,2,ALL,start,initial_plan,2,2,100.0
2,2,ALL,ALL,overall,6,4,66.67
2,2,BTP,ALL,persona,2,1,50.0
2,2,Bikers_Drivers,ALL,persona,1,1,100.0
2,2,Media_Publishing,ALL,persona,2,2,100.0
2,2,Others,ALL,persona,1,0,0.0
2,2,BTP,plus,persona_x_initial_plan,1,0,0.0
2,2,BTP,start,persona_x_initial_plan,1,1,100.0
2,2,Bikers_Drivers,free,persona_x_initial_plan,1,1,100.0
2,2,Media_Publishing,plus,persona_x_initial_plan,1,1,100.0
2,2,Media_Publishing,start,persona_x_initial_plan,1,1,100.0
2,2,Others,free,persona_x_initial_plan,1,0,0.0
2,3,ALL,business,initial_plan,145,137,94.48
2,3,ALL,free,initial_plan,3285,3197,97.32
2,3,ALL,plus,initial_plan,1156,1094,94.64
2,3,ALL,start,initial_plan,3746,3649,97.41
2,3,ALL,ALL,overall,8332,8077,96.94
2,3,Automobile_Trade_Repair,ALL,persona,359,343,95.54
2,3,BTP,ALL,persona,1519,1474,97.04
2,3,Bankers_Insurance,ALL,persona,122,117,95.9
2,3,Bikers_Drivers,ALL,persona,466,444,95.28
2,3,Cleaning_CallCenters,ALL,persona,42,42,100.0
2,3,Consultant,ALL,persona,1492,1457,97.65
2,3,Developer_IT,ALL,persona,705,690,97.87
2,3,Media_Publishing,ALL,persona,315,311,98.73
2,3,Medical_Professionals,ALL,persona,99,96,96.97
2,3,Others,ALL,persona,1312,1272,96.95
2,3,Professeur,ALL,persona,263,255,96.96
2,3,Repair,ALL,persona,61,56,91.8
2,3,Repair_Installation,ALL,persona,26,26,100.0
2,3,Restauration,ALL,persona,222,215,96.85
2,3,Retail,ALL,persona,1136,1094,96.3
2,3,Wholesale,ALL,persona,193,185,95.85
2,3,Automobile_Trade_Repair,business,persona_x_initial_plan,15,14,93.33
2,3,Automobile_Trade_Repair,free,persona_x_initial_plan,105,103,98.1
2,3,Automobile_Trade_Repair,plus,persona_x_initial_plan,90,85,94.44
2,3,Automobile_Trade_Repair,start,persona_x_initial_plan,149,141,94.63
2,3,BTP,business,persona_x_initial_plan,46,44,95.65
2,3,BTP,free,persona_x_initial_plan,537,527,98.14
2,3,BTP,plus,persona_x_initial_plan,323,308,95.36
2,3,BTP,start,persona_x_initial_plan,613,595,97.06
2,3,Bankers_Insurance,free,persona_x_initial_plan,72,69,95.83
2,3,Bankers_Insurance,plus,persona_x_initial_plan,6,6,100.0
2,3,Bankers_Insurance,start,persona_x_initial_plan,44,42,95.45
2,3,Bikers_Drivers,business,persona_x_initial_plan,16,16,100.0
2,3,Bikers_Drivers,free,persona_x_initial_plan,162,155,95.68
2,3,Bikers_Drivers,plus,persona_x_initial_plan,81,75,92.59
2,3,Bikers_Drivers,start,persona_x_initial_plan,207,198,95.65
2,3,Cleaning_CallCenters,business,persona_x_initial_plan,1,1,100.0
2,3,Cleaning_CallCenters,free,persona_x_initial_plan,19,19,100.0
2,3,Cleaning_CallCenters,plus,persona_x_initial_plan,8,8,100.0
2,3,Cleaning_CallCenters,start,persona_x_initial_plan,14,14,100.0
2,3,Consultant,business,persona_x_initial_plan,10,10,100.0
2,3,Consultant,free,persona_x_initial_plan,664,646,97.29
2,3,Consultant,plus,persona_x_initial_plan,113,107,94.69
2,3,Consultant,start,persona_x_initial_plan,705,694,98.44
2,3,Developer_IT,business,persona_x_initial_plan,8,8,100.0
2,3,Developer_IT,free,persona_x_initial_plan,297,288,96.97
2,3,Developer_IT,plus,persona_x_initial_plan,56,52,92.86
2,3,Developer_IT,start,persona_x_initial_plan,344,342,99.42
2,3,Media_Publishing,business,persona_x_initial_plan,2,2,100.0
2,3,Media_Publishing,free,persona_x_initial_plan,147,145,98.64
2,3,Media_Publishing,plus,persona_x_initial_plan,19,19,100.0
2,3,Media_Publishing,start,persona_x_initial_plan,147,145,98.64
2,3,Medical_Professionals,free,persona_x_initial_plan,37,36,97.3
2,3,Medical_Professionals,plus,persona_x_initial_plan,7,7,100.0
2,3,Medical_Professionals,start,persona_x_initial_plan,55,53,96.36
2,3,Others,business,persona_x_initial_plan,24,21,87.5
2,3,Others,free,persona_x_initial_plan,517,505,97.68
2,3,Others,plus,persona_x_initial_plan,190,180,94.74
2,3,Others,start,persona_x_initial_plan,581,566,97.42
2,3,Professeur,business,persona_x_initial_plan,2,1,50.0
2,3,Professeur,free,persona_x_initial_plan,115,110,95.65
2,3,Professeur,plus,persona_x_initial_plan,15,15,100.0
2,3,Professeur,start,persona_x_initial_plan,131,129,98.47
2,3,Repair,free,persona_x_initial_plan,29,25,86.21
2,3,Repair,plus,persona_x_initial_plan,5,5,100.0
2,3,Repair,start,persona_x_initial_plan,27,26,96.3
2,3,Repair_Installation,free,persona_x_initial_plan,8,8,100.0
2,3,Repair_Installation,plus,persona_x_initial_plan,4,4,100.0
2,3,Repair_Installation,start,persona_x_initial_plan,14,14,100.0
2,3,Restauration,business,persona_x_initial_plan,1,1,100.0
2,3,Restauration,free,persona_x_initial_plan,81,79,97.53
2,3,Restauration,plus,persona_x_initial_plan,44,42,95.45
2,3,Restauration,start,persona_x_initial_plan,96,93,96.88
2,3,Retail,business,persona_x_initial_plan,9,9,100.0
2,3,Retail,free,persona_x_initial_plan,445,434,97.53
2,3,Retail,plus,persona_x_initial_plan,152,140,92.11
2,3,Retail,start,persona_x_initial_plan,530,511,96.42
2,3,Wholesale,business,persona_x_initial_plan,11,10,90.91
2,3,Wholesale,free,persona_x_initial_plan,50,48,96.0
2,3,Wholesale,plus,persona_x_initial_plan,43,41,95.35
2,3,Wholesale,start,persona_x_initial_plan,89,86,96.63
3,1,ALL,free,initial_plan,19,12,63.16
3,1,ALL,plus,initial_plan,5,3,60.0
3,1,ALL,start,initial_plan,10,9,90.0
3,1,ALL,ALL,overall,34,24,70.59
3,1,Automobile_Trade_Repair,ALL,persona,1,1,100.0
3,1,BTP,ALL,persona,4,2,50.0
3,1,Bankers_Insurance,ALL,persona,1,1,100.0
3,1,Bikers_Drivers,ALL,persona,4,1,25.0
3,1,Consultant,ALL,persona,1,1,100.0
3,1,Developer_IT,ALL,persona,6,5,83.33
3,1,Media_Publishing,ALL,persona,2,2,100.0
3,1,Medical_Professionals,ALL,persona,1,1,100.0
3,1,Others,ALL,persona,5,3,60.0
3,1,Professeur,ALL,persona,2,0,0.0
3,1,Restauration,ALL,persona,2,2,100.0
3,1,Retail,ALL,persona,3,3,100.0
3,1,Wholesale,ALL,persona,2,2,100.0
3,1,Automobile_Trade_Repair,plus,persona_x_initial_plan,1,1,100.0
3,1,BTP,free,persona_x_initial_plan,3,2,66.67
3,1,BTP,start,persona_x_initial_plan,1,0,0.0
3,1,Bankers_Insurance,free,persona_x_initial_plan,1,1,100.0
3,1,Bikers_Drivers,free,persona_x_initial_plan,3,1,33.33
3,1,Bikers_Drivers,plus,persona_x_initial_plan,1,0,0.0
3,1,Consultant,free,persona_x_initial_plan,1,1,100.0
3,1,Developer_IT,free,persona_x_initial_plan,3,2,66.67
3,1,Developer_IT,start,persona_x_initial_plan,3,3,100.0
3,1,Media_Publishing,free,persona_x_initial_plan,1,1,100.0
3,1,Media_Publishing,start,persona_x_initial_plan,1,1,100.0
3,1,Medical_Professionals,free,persona_x_initial_plan,1,1,100.0
3,1,Others,free,persona_x_initial_plan,1,0,0.0
3,1,Others,plus,persona_x_initial_plan,2,1,50.0
3,1,Others,start,persona_x_initial_plan,2,2,100.0
3,1,Professeur,free,persona_x_initial_plan,2,0,0.0
3,1,Restauration,start,persona_x_initial_plan,2,2,100.0
3,1,Retail,free,persona_x_initial_plan,2,2,100.0
3,1,Retail,plus,persona_x_initial_plan,1,1,100.0
3,1,Wholesale,free,persona_x_initial_plan,1,1,100.0
3,1,Wholesale,start,persona_x_initial_plan,1,1,100.0
3,2,ALL,free,initial_plan,17,14,82.35
3,2,ALL,plus,initial_plan,8,7,87.5
3,2,ALL,start,initial_plan,9,5,55.56
3,2,ALL,ALL,overall,34,26,76.47
3,2,Automobile_Trade_Repair,ALL,persona,1,0,0.0
3,2,BTP,ALL,persona,4,4,100.0
3,2,Bankers_Insurance,ALL,persona,1,1,100.0
3,2,Bikers_Drivers,ALL,persona,4,3,75.0
3,2,Consultant,ALL,persona,6,3,50.0
3,2,Developer_IT,ALL,persona,2,2,100.0
3,2,Media_Publishing,ALL,persona,3,2,66.67
3,2,Others,ALL,persona,4,4,100.0
3,2,Professeur,ALL,persona,2,1,50.0
3,2,Restauration,ALL,persona,1,0,0.0
3,2,Retail,ALL,persona,6,6,100.0
3,2,Automobile_Trade_Repair,free,persona_x_initial_plan,1,0,0.0
3,2,BTP,free,persona_x_initial_plan,2,2,100.0
3,2,BTP,plus,persona_x_initial_plan,2,2,100.0
3,2,Bankers_Insurance,free,persona_x_initial_plan,1,1,100.0
3,2,Bikers_Drivers,free,persona_x_initial_plan,2,2,100.0
3,2,Bikers_Drivers,start,persona_x_initial_plan,2,1,50.0
3,2,Consultant,free,persona_x_initial_plan,3,2,66.67
3,2,Consultant,start,persona_x_initial_plan,3,1,33.33
3,2,Developer_IT,free,persona_x_initial_plan,1,1,100.0
3,2,Developer_IT,start,persona_x_initial_plan,1,1,100.0
3,2,Media_Publishing,free,persona_x_initial_plan,1,1,100.0
3,2,Media_Publishing,plus,persona_x_initial_plan,1,1,100.0
3,2,Media_Publishing,start,persona_x_initial_plan,1,0,0.0
3,2,Others,free,persona_x_initial_plan,2,2,100.0
3,2,Others,plus,persona_x_initial_plan,1,1,100.0
3,2,Others,start,persona_x_initial_plan,1,1,100.0
3,2,Professeur,free,persona_x_initial_plan,1,0,0.0
3,2,Professeur,plus,persona_x_initial_plan,1,1,100.0
3,2,Restauration,plus,persona_x_initial_plan,1,0,0.0
3,2,Retail,free,persona_x_initial_plan,3,3,100.0
3,2,Retail,plus,persona_x_initial_plan,2,2,100.0
3,2,Retail,start,persona_x_initial_plan,1,1,100.0
3,3,ALL,free,initial_plan,1,1,100.0
3,3,ALL,plus,initial_plan,1,1,100.0
3,3,ALL,ALL,overall,2,2,100.0
3,3,Bikers_Drivers,ALL,persona,1,1,100.0
3,3,Media_Publishing,ALL,persona,1,1,100.0
3,3,Bikers_Drivers,free,persona_x_initial_plan,1,1,100.0
3,3,Media_Publishing,plus,persona_x_initial_plan,1,1,100.0
3,4,ALL,business,initial_plan,95,87,91.58
3,4,ALL,free,initial_plan,2193,2136,97.4
3,4,ALL,plus,initial_plan,781,756,96.8
3,4,ALL,start,initial_plan,2567,2518,98.09
3,4,ALL,ALL,overall,5636,5497,97.53
3,4,Automobile_Trade_Repair,ALL,persona,229,220,96.07
3,4,BTP,ALL,persona,1032,1006,97.48
3,4,Bankers_Insurance,ALL,persona,73,73,100.0
3,4,Bikers_Drivers,ALL,persona,317,303,95.58
3,4,Cleaning_CallCenters,ALL,persona,31,31,100.0
3,4,Consultant,ALL,persona,1015,994,97.93
3,4,Developer_IT,ALL,persona,503,497,98.81
3,4,Media_Publishing,ALL,persona,215,209,97.21
3,4,Medical_Professionals,ALL,persona,68,68,100.0
3,4,Others,ALL,persona,891,867,97.31
3,4,Professeur,ALL,persona,173,168,97.11
3,4,Repair,ALL,persona,35,35,100.0
3,4,Repair_Installation,ALL,persona,13,12,92.31
3,4,Restauration,ALL,persona,148,146,98.65
3,4,Retail,ALL,persona,758,736,97.1
3,4,Wholesale,ALL,persona,135,132,97.78
3,4,Automobile_Trade_Repair,business,persona_x_initial_plan,11,11,100.0
3,4,Automobile_Trade_Repair,free,persona_x_initial_plan,65,61,93.85
3,4,Automobile_Trade_Repair,plus,persona_x_initial_plan,53,52,98.11
3,4,Automobile_Trade_Repair,start,persona_x_initial_plan,100,96,96.0
3,4,BTP,business,persona_x_initial_plan,30,27,90.0
3,4,BTP,free,persona_x_initial_plan,357,350,98.04
3,4,BTP,plus,persona_x_initial_plan,224,217,96.88
3,4,BTP,start,persona_x_initial_plan,421,412,97.86
3,4,Bankers_Insurance,free,persona_x_initial_plan,43,43,100.0
3,4,Bankers_Insurance,plus,persona_x_initial_plan,3,3,100.0
3,4,Bankers_Insurance,start,persona_x_initial_plan,27,27,100.0
3,4,Bikers_Drivers,business,persona_x_initial_plan,10,9,90.0
3,4,Bikers_Drivers,free,persona_x_initial_plan,116,109,93.97
3,4,Bikers_Drivers,plus,persona_x_initial_plan,60,56,93.33
3,4,Bikers_Drivers,start,persona_x_initial_plan,131,129,98.47
3,4,Cleaning_CallCenters,business,persona_x_initial_plan,1,1,100.0
3,4,Cleaning_CallCenters,free,persona_x_initial_plan,12,12,100.0
3,4,Cleaning_CallCenters,plus,persona_x_initial_plan,7,7,100.0
3,4,Cleaning_CallCenters,start,persona_x_initial_plan,11,11,100.0
