persona,initial_subscription_group,segment_level,eligible_for_1_month_inactivity,inactive_for_at_least_1_month,eligible_for_2_month_inactivity,inactive_for_at_least_2_months,eligible_for_3_month_inactivity,inactive_for_at_least_3_months,sustained_1_month_inactivity_rate_pct,sustained_2_month_inactivity_rate_pct,sustained_3_month_inactivity_rate_pct
ALL,business,initial_plan,296,86,256,67,196,51,29.05,26.17,26.02
ALL,free,initial_plan,5837,582,4866,389,3581,228,9.97,7.99,6.37
ALL,plus,initial_plan,1965,244,1675,187,1282,124,12.42,11.16,9.67
ALL,start,initial_plan,6610,526,5480,370,3996,225,7.96,6.75,5.63
ALL,ALL,overall,14708,1438,12277,1013,9055,628,9.78,8.25,6.94
Automobile_Trade_Repair,ALL,persona,638,79,523,53,393,34,12.38,10.13,8.65
BTP,ALL,persona,2640,238,2263,175,1638,109,9.02,7.73,6.65
Bankers_Insurance,ALL,persona,217,17,190,12,133,10,7.83,6.32,7.52
Bikers_Drivers,ALL,persona,871,162,723,129,559,89,18.6,17.84,15.92
Cleaning_CallCenters,ALL,persona,84,5,69,2,43,1,5.95,2.9,2.33
Consultant,ALL,persona,2583,199,2142,127,1583,74,7.7,5.93,4.67
Developer_IT,ALL,persona,1219,93,1025,67,759,41,7.63,6.54,5.4
Media_Publishing,ALL,persona,540,33,449,17,333,9,6.11,3.79,2.7
Medical_Professionals,ALL,persona,179,9,142,5,101,3,5.03,3.52,2.97
Others,ALL,persona,2407,251,1954,174,1438,107,10.43,8.9,7.44
Professeur,ALL,persona,450,35,369,27,278,15,7.78,7.32,5.4
Repair,ALL,persona,97,15,80,12,69,8,15.46,15.0,11.59
Repair_Installation,ALL,persona,33,1,28,0,26,0,3.03,0.0,0.0
Restauration,ALL,persona,387,38,329,25,245,17,9.82,7.6,6.94
Retail,ALL,persona,2008,231,1697,164,1249,98,11.5,9.66,7.85
Wholesale,ALL,persona,355,32,294,24,208,13,9.01,8.16,6.25
Automobile_Trade_Repair,business,persona_x_initial_plan,23,3,20,3,17,3,13.04,15.0,17.65
Automobile_Trade_Repair,free,persona_x_initial_plan,174,24,144,15,115,7,13.79,10.42,6.09
Automobile_Trade_Repair,plus,persona_x_initial_plan,143,15,126,12,100,8,10.49,9.52,8.0
Automobile_Trade_Repair,start,persona_x_initial_plan,298,37,233,23,161,16,12.42,9.87,9.94
BTP,business,persona_x_initial_plan,90,18,78,16,56,13,20.0,20.51,23.21
BTP,free,persona_x_initial_plan,966,83,826,55,583,34,8.59,6.66,5.83
BTP,plus,persona_x_initial_plan,528,53,457,40,348,26,10.04,8.75,7.47
BTP,start,persona_x_initial_plan,1056,84,902,64,651,36,7.95,7.1,5.53
Bankers_Insurance,business,persona_x_initial_plan,0,0,0,0,0,0,,,
Bankers_Insurance,free,persona_x_initial_plan,126,11,109,9,80,7,8.73,8.26,8.75
Bankers_Insurance,plus,persona_x_initial_plan,12,1,8,0,6,0,8.33,0.0,0.0
Bankers_Insurance,start,persona_x_initial_plan,79,5,73,3,47,3,6.33,4.11,6.38
Bikers_Drivers,business,persona_x_initial_plan,32,10,30,8,23,7,31.25,26.67,30.43
Bikers_Drivers,free,persona_x_initial_plan,290,55,235,46,196,31,18.97,19.57,15.82
Bikers_Drivers,plus,persona_x_initial_plan,152,35,129,25,100,21,23.03,19.38,21.0
Bikers_Drivers,start,persona_x_initial_plan,397,62,329,50,240,30,15.62,15.2,12.5
Cleaning_CallCenters,business,persona_x_initial_plan,2,0,2,0,1,0,0.0,0.0,0.0
Cleaning_CallCenters,free,persona_x_initial_plan,32,1,24,1,19,0,3.13,4.17,0.0
Cleaning_CallCenters,plus,persona_x_initial_plan,15,1,13,0,8,0,6.67,0.0,0.0
Cleaning_CallCenters,start,persona_x_initial_plan,35,3,30,1,15,1,8.57,3.33,6.67
Consultant,business,persona_x_initial_plan,28,6,21,6,16,4,21.43,28.57,25.0
Consultant,free,persona_x_initial_plan,1158,104,970,63,710,33,8.98,6.49,4.65
Consultant,plus,persona_x_initial_plan,204,24,171,17,122,10,11.76,9.94,8.2
Consultant,start,persona_x_initial_plan,1193,65,980,41,735,27,5.45,4.18,3.67
Developer_IT,business,persona_x_initial_plan,16,4,14,2,9,1,25.0,14.29,11.11
Developer_IT,free,persona_x_initial_plan,544,56,451,40,328,26,10.29,8.87,7.93
Developer_IT,plus,persona_x_initial_plan,98,12,84,9,61,6,12.24,10.71,9.84
Developer_IT,start,persona_x_initial_plan,561,21,476,16,361,8,3.74,3.36,2.22
Media_Publishing,business,persona_x_initial_plan,3,1,3,0,2,0,33.33,0.0,0.0
Media_Publishing,free,persona_x_initial_plan,240,18,207,10,157,5,7.5,4.83,3.18
Media_Publishing,plus,persona_x_initial_plan,34,2,30,2,22,1,5.88,6.67,4.55
Media_Publishing,start,persona_x_initial_plan,263,12,209,5,152,3,4.56,2.39,1.97
Medical_Professionals,free,persona_x_initial_plan,78,3,55,0,38,0,3.85,0.0,0.0
Medical_Professionals,plus,persona_x_initial_plan,10,1,10,1,7,0,10.0,10.0,0.0
Medical_Professionals,start,persona_x_initial_plan,91,5,77,4,56,3,5.49,5.19,5.36
Others,business,persona_x_initial_plan,53,28,47,20,41,17,52.83,42.55,41.46
Others,free,persona_x_initial_plan,924,84,750,52,556,30,9.09,6.93,5.4
Others,plus,persona_x_initial_plan,339,47,279,38,214,24,13.86,13.62,11.21
Others,start,persona_x_initial_plan,1091,92,878,64,627,36,8.43,7.29,5.74
Professeur,business,persona_x_initial_plan,4,2,4,2,3,1,50.0,50.0,33.33
Professeur,free,persona_x_initial_plan,197,21,164,16,124,9,10.66,9.76,7.26
Professeur,plus,persona_x_initial_plan,27,1,20,1,16,0,3.7,5.0,0.0
