persona,initial_subscription_group,segment_level,revenue_companies,top_20pct_companies,segment_total_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_revenue_company_mix_pct,company_representation_index,top_20pct_share_of_segment_revenue_pct,share_of_all_top_20pct_revenue_pct
ALL,start,initial_plan,7842,1572,1045961.90722585739712598476,716044.61112734762475639481,20.05,44.74,44.64,1.0,68.46,41.2
ALL,plus,initial_plan,2271,992,634190.98774683042319564342,542380.50672920547345683193,43.68,28.23,12.93,2.18,85.52,31.21
ALL,free,initial_plan,7107,724,511278.14956942753711959201,329302.24070118411658785566,10.19,20.6,40.45,0.51,64.41,18.95
ALL,business,initial_plan,348,226,159400.52506746736332713844,150322.37566665031306166196,64.94,6.43,1.98,3.25,94.3,8.65
ALL,ALL,overall,17568,3514,2350831.56960958272076835863,1738049.73422438752786274436,20.0,100.0,100.0,1.0,73.93,100.0
BTP,ALL,persona,3133,901,597574.14285780026664571493,494144.69304133768354216963,28.76,25.64,17.83,1.44,82.69,28.43
Consultant,ALL,persona,3065,551,384737.73017299417621775337,276448.98304491916529132044,17.98,15.68,17.45,0.9,71.85,15.91
Others,ALL,persona,2929,450,295546.58652269588646269302,191715.54987706331938268470,15.36,12.81,16.67,0.77,64.87,11.03
Retail,ALL,persona,2396,407,291984.67002050045097877659,209797.46040268901062651844,16.99,11.58,13.64,0.85,71.85,12.07
Developer_IT,ALL,persona,1429,314,184854.23736698044952223694,133741.65448282326341855936,21.97,8.94,8.13,1.1,72.35,7.69
Bikers_Drivers,ALL,persona,1043,189,115859.07081072195873283228,75913.62894554429620198388,18.12,5.38,5.94,0.91,65.52,4.37
Automobile_Trade_Repair,ALL,persona,736,188,128453.67403990740925636421,103059.03103226709434346548,25.54,5.35,4.19,1.28,80.23,5.93
Restauration,ALL,persona,469,118,75518.10489373926102290519,58812.58313419612750924327,25.16,3.36,2.67,1.26,77.88,3.38
Media_Publishing,ALL,persona,646,104,72077.45712755294756564133,50902.19526363704889878298,16.1,2.96,3.68,0.8,70.62,2.93
Wholesale,ALL,persona,432,103,72476.35167534423521237810,56486.40249984359644452705,23.84,2.93,2.46,1.19,77.94,3.25
Professeur,ALL,persona,543,70,44232.18846712606142061367,26905.61551746640795386802,12.89,1.99,3.09,0.64,60.83,1.55
Bankers_Insurance,ALL,persona,274,46,40945.84720717612405892190,29783.69399251833513022233,16.79,1.31,1.56,0.84,72.74,1.71
Medical_Professionals,ALL,persona,222,30,22398.07407799487757127998,14769.48251595438021760900,13.51,0.85,1.26,0.68,65.94,0.85
Cleaning_CallCenters,ALL,persona,94,17,9945.62975790755358501655,6737.44610805363367413968,18.09,0.48,0.54,0.9,67.74,0.39
Repair,ALL,persona,119,14,7377.56488327251051066587,3591.63948371537822301710,11.76,0.4,0.68,0.59,48.68,0.21
Repair_Installation,ALL,persona,38,12,6850.23972786855200456470,5239.67488235878700463300,31.58,0.34,0.22,1.58,76.49,0.3
BTP,start,persona_x_initial_plan,1250,348,209827.69375224051539251615,161361.88916904317412902260,27.84,9.9,7.12,1.39,76.9,9.28
BTP,plus,persona_x_initial_plan,607,297,183930.98840290062003172416,160992.28078672438613765042,48.93,8.45,3.46,2.45,87.53,9.26
