persona,initial_subscription_group,segment_level,companies_with_sufficient_history,declining_companies,declining_companies_april_revenue,declining_companies_baseline_revenue,declining_company_share_pct,observed_monthly_revenue_gap
ALL,start,initial_plan,1033,242,12822.08996808325306914783,29256.53024163983361473630,23.43,16434.44027355658054558847
ALL,plus,initial_plan,558,135,9615.46839280116666102638,22807.24806564717705522300,24.19,13191.77967284601039419662
ALL,free,initial_plan,453,101,4581.90530396054113274861,12722.60170806518419405900,22.3,8140.69640410464306131039
ALL,business,initial_plan,80,15,2772.59817980382675308076,5966.57006445258525069750,18.75,3193.97188464875849761674
ALL,ALL,overall,2124,493,29792.06184464878761600358,70752.95007980478011471580,23.21,40960.88823515599249871222
BTP,ALL,persona,515,150,10445.99158988106813480153,24316.76869524840020662930,29.13,13870.77710536733207182777
Retail,ALL,persona,249,61,2626.99961051600684565556,5855.77175593791510375000,24.5,3228.77214542190825809444
Consultant,ALL,persona,357,60,5325.83889831216228755080,10860.37383545352290944750,16.81,5534.53493714136062189670
Others,ALL,persona,270,59,2910.78530190504871553950,6998.26523518528157382700,21.85,4087.47993328023285828750
Automobile_Trade_Repair,ALL,persona,106,36,1520.54336510246290184971,5197.74270881203890244000,33.96,3677.19934370957600059029
Developer_IT,ALL,persona,208,32,1404.57302073862800181650,3038.95179155889824116000,15.38,1634.37877082027023934350
Bikers_Drivers,ALL,persona,115,29,1872.47445694958455861720,3799.31566788820873015200,25.22,1926.84121093862417153480
Wholesale,ALL,persona,60,16,1034.64157589643492823180,3515.00024748765811298000,26.67,2480.35867159122318474820
Restauration,ALL,persona,63,15,858.42776634684691157000,1783.77450843615845317000,23.81,925.34674208931154160000
Media_Publishing,ALL,persona,66,11,581.99063667397144821698,1214.38529102684598787000,16.67,632.39465435287453965302
Professeur,ALL,persona,44,9,295.67601252054726619100,1105.98013318410602670000,20.45,810.30412066355876050900
Bankers_Insurance,ALL,persona,24,6,441.49457554794485717300,1457.15107441862742130000,25.0,1015.65649887068256412700
Cleaning_CallCenters,ALL,persona,11,3,37.06039170191776694000,417.97622077205452900000,27.27,380.91582907013676206000
Repair,ALL,persona,7,3,50.89434346794506645000,163.61963625643810109000,42.86,112.72529278849303464000
Medical_Professionals,ALL,persona,22,2,294.47524822410867340000,878.08578719506468080000,9.09,583.61053897095600740000
Repair_Installation,ALL,persona,7,1,90.19505086410925200000,149.78749094356113440000,14.29,59.59244007945188240000
BTP,start,persona_x_initial_plan,219,66,3418.35393351286732863523,7482.47349049553960557630,30.14,4064.11955698267227694107
BTP,plus,persona_x_initial_plan,173,54,3936.15118020766001561030,8818.32294968219213275300,31.21,4882.17176947453211714270
Retail,start,persona_x_initial_plan,122,35,1365.43052006794155113500,3052.34410484547043180000,28.69,1686.91358477752888066500
Consultant,start,persona_x_initial_plan,206,33,3605.96328273916553943160,6506.35317295121563834000,16.02,2900.38989021205009890840
BTP,free,persona_x_initial_plan,98,26,1903.11481742520339485600,4938.04109508711716230000,26.53,3034.92627766191376744400
Developer_IT,start,persona_x_initial_plan,111,22,1032.66848081917663247700,2267.76706621917349292000,19.82,1235.09858539999686044300
Others,start,persona_x_initial_plan,126,21,774.62691014520403850700,1631.44233118051757203000,16.67,856.81542103531353352300
Others,plus,persona_x_initial_plan,73,20,1454.40557490231172314800,3700.72412250285071274000,27.4,2246.31854760053898959200
